,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Ростов,Динамо,Владимир Москалев,3.4,3.0,2.3,27,0,2,1107,932,175,56,44,8,19,2,3,448,363,69,89,21,12,5,4,64,53,32,37,11,7,3,7,13,11,186,174,12,17,3,8,8,12,4,5,4-3-3,0.0,4-3-3,0.0,9.42,10.23,,,4.0,20,10,10,10,10
1,Химки,Зенит,Евгений Кукуляк,11.0,5.5,1.25,14,1,3,803,1717,-914,39,61,8,6,0,1,357,571,75,75,18,19,10,7,43,48,13,25,17,11,6,8,17,5,154,170,17,13,6,7,10,10,7,3,5-3-2,0.0,4-4-2,0.0,12.2,13.18,,,4.0,20,10,10,10,10
2,Локомотив,Арсенал,Игорь Панин,1.5699999999999998,3.8,6.0,24,3,1,2558,355,2203,77,23,15,9,1,3,654,193,48,52,29,12,17,10,42,51,17,12,11,21,13,6,6,17,136,111,17,5,7,1,13,2,4,3,4-4-2,0.0,4-4-2,0.0,3.18,27.21,,,4.0,20,10,10,10,10
3,Рубин Казань,Спартак,Владислав Безбородов,3.6,3.6,1.95,30,1,0,746,1571,-825,43,57,14,16,6,4,312,394,68,45,7,24,17,9,54,55,21,23,14,13,3,10,23,17,149,172,8,13,5,5,3,8,5,5,4-3-3,0.0,4-2-3-1,0.0,13.5,7.67,,,4.0,20,10,10,10,10
4,Урал,Краснодар,Василий Казарцев,3.4,3.4,2.1,24,0,3,482,1673,-1191,53,47,13,11,2,2,494,430,77,52,17,19,12,11,46,46,13,15,13,12,4,6,5,8,145,142,8,17,3,6,8,8,0,9,4-4-2,0.0,4-2-3-1,0.0,14.25,10.0,,,4.0,20,10,10,10,10
5,Крылья Советов,Ахмат,Кирилл Левников,2.0,3.3,3.75,18,1,2,1592,749,843,67,33,5,13,2,3,588,287,50,65,24,10,27,21,65,51,23,20,12,12,6,4,19,20,162,147,16,14,3,6,13,8,3,6,4-4-2,0.0,4-2-3-1,0.0,7.65,15.62,,,4.0,20,10,10,10,10
6,ЦСКА,Уфа,Сергей Иванов,1.65,3.75,5.5,14,1,0,1307,980,327,49,51,8,6,0,0,444,469,54,65,24,21,7,6,43,44,25,21,9,11,13,2,8,6,127,142,23,15,6,2,19,8,4,7,4-3-3,0.0,3-5-2,0.0,20.54,22.6,,,4.0,20,10,10,10,10
7,Нижний Новгород,Сочи,Шадыханов Павел,4.333333333333334,3.0,2.0,22,1,0,371,1713,-1342,43,57,10,12,2,1,384,478,82,65,9,36,2,13,47,46,19,18,14,10,2,8,11,10,148,157,8,21,2,4,5,9,3,12,5-4-1,0.0,3-4-3,0.0,16.13,10.33,,,4.0,20,10,10,10,10
8,Арсенал,Рубин Казань,Сергей Иванов,3.4,3.2,2.2,20,0,3,952,902,50,47,53,14,6,2,2,415,486,60,75,20,10,13,9,42,45,12,15,15,15,9,2,6,12,155,133,18,20,8,6,12,10,6,10,4-4-2,6.61,4-3-3,7.02,11.08,20.22,,,0.0,14.0,10,9.0,10,14.0
9,Крылья Советов,Спартак,Павел Кукуян,3.6,3.6,2.0,16,0,1,453,1584,-1131,45,55,6,10,3,2,351,428,62,55,21,24,12,20,39,54,14,22,12,13,7,11,15,7,130,128,8,18,0,5,4,13,4,5,4-4-2,6.87,4-2-3-1,6.82,13.89,16.33,,,4.0,20,5.0,5.0,16.0,16.0
10,Уфа,Динамо,Алексей Васильевич Сухой,3.8,3.2,2.05,20,2,3,1016,1150,-134,55,45,12,8,5,3,458,375,81,68,12,15,9,8,57,50,29,21,14,16,4,4,17,13,169,174,9,19,4,7,6,12,3,7,3-5-2,6.87,4-3-3,7.02,10.88,14.89,,,4.0,20,10,6.0,19.0,19.0
11,ЦСКА,Локомотив,Алексей Валерьевич Матюнин,2.15,3.3,3.4,20,1,2,1214,1834,-620,42,58,8,12,3,3,382,525,49,56,17,20,14,19,61,41,19,15,22,12,6,10,13,18,135,145,16,16,4,5,10,13,6,3,4-1-4-1,7.14,4-4-2,7.05,16.32,9.6,,,4.0,20,8.0,8.0,10,15.0
