Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
178,Хоффенхайм,Э. Франкфурт,Дэниел Зиберт,2.7,3.8,2.3,27,0,1,498,1347,-849,46,54,15,12,0,3,461,521,63,59,12,16,19,26,61,60,13,16,25,17,4,7,8,18,143,146,8,9,1,5,5,8,3,1,3-5-2,6.82,3-4-2-1,6.91,11.31,10.45,,,3.75,21.375,13.77777777777778,13.736842105263158,15.2,14.421052631578949
179,Билефельд,Бремен,Маркус Шмидт,3.6,3.3,2.1,21,0,0,2062,368,1694,59,41,12,9,1,2,486,345,73,84,22,7,16,7,63,51,31,21,14,16,9,0,16,14,174,165,26,5,8,2,20,4,6,1,4-2-3-1,6.74,3-4-2-1,6.81,5.76,20.0,,,4.833333333333333,22.5,10.4,12.473684210526317,12.2,12.31578947368421
180,РБ Лейпциг,Аугсбург,Феликс Цвайер,1.2,6.5,15.0,38,2,0,1557,401,1156,59,41,23,15,3,5,567,371,37,59,11,14,14,12,48,49,12,7,10,12,3,4,16,24,143,164,16,4,6,2,7,4,9,0,3-1-4-2,6.98,5-4-1,6.76,7.17,12.55,,,3.6666666666666665,24.0,11.1,11.8,12.0,11.75
181,Леверкузен,Майнц 05,Гвидо Винкманн,1.44,4.5,6.5,29,1,0,1429,1129,300,69,31,13,16,5,1,643,272,88,53,10,19,28,16,56,65,12,20,13,22,2,2,4,19,165,152,11,19,5,5,7,17,4,2,4-3-3,6.96,3-4-1-2,6.74,7.5,10.81,,,4.571428571428571,22.714285714285715,14.5,12.8,13.444444444444445,14.15
182,Дортмунд,Хоффенхайм,Бастиан Данкерт,1.44,4.75,6.5,36,1,1,789,1209,-420,54,46,20,16,3,7,509,419,64,63,15,14,20,11,63,61,22,15,13,20,1,7,14,8,167,176,7,13,3,6,5,10,2,3,4-2-3-1,7.02,5-3-2,6.81,6.87,10.03,,,4.75,27.5,10.11111111111111,10.3,13.7,13.8
183,Штутгарт,Герта,Вред Осмерс,2.15,3.6,3.25,38,1,0,857,1053,-196,52,48,21,17,2,2,477,430,49,71,11,21,23,26,68,63,12,15,25,17,1,5,17,12,128,147,11,10,3,2,7,6,4,4,3-4-3,6.89,4-3-3,6.79,7.41,8.2,,,3.0,24.77777777777778,11.22222222222222,11.9,17.0,15.25
184,Бремен,Фрайбург,Мануэль Грефе,2.5,3.25,2.8,24,0,0,981,680,301,46,54,4,20,0,2,474,541,45,54,18,16,5,11,48,37,12,16,12,12,4,1,10,17,129,129,12,9,4,2,5,6,7,3,3-5-2,6.81,3-4-2-1,6.85,23.19,12.07,,,3.6666666666666665,21.11111111111111,12.444444444444445,12.15,13.22222222222222,12.45
185,Юнион Берлин,Шальке 04,Даниэль Шлагер,1.73,3.6,5.25,29,0,0,1115,776,339,37,63,14,15,3,2,335,561,53,53,16,16,3,26,58,55,16,17,26,9,1,6,11,15,152,187,20,5,3,0,12,2,8,3,3-5-2,6.82,4-2-3-1,6.64,10.59,6.24,,,4.285714285714286,27.857142857142858,12.2,12.95,13.77777777777778,13.1
186,Э. Франкфурт,Кельн,Фрэнк Вилленборг,1.55,4.2,6.0,18,0,0,1720,604,1116,60,40,14,4,3,1,610,398,59,57,23,8,15,11,43,53,17,8,16,26,7,2,17,19,176,172,16,6,7,1,13,3,3,3,3-4-2-1,6.91,3-1-4-2,6.75,7.38,17.43,,,5.142857142857143,28.285714285714285,13.555555555555555,14.3,12.2,13.2
187,Вольфсбург,Мгладбах,Тобиас Стилер,2.4,3.3,2.9,22,0,0,1792,880,912,54,46,11,11,1,3,525,454,62,54,31,16,29,16,65,57,17,17,17,23,9,6,9,13,179,171,17,11,6,3,9,6,8,5,4-2-3-1,6.97,4-2-3-1,6.88,11.77,9.16,,,3.875,28.375,12.77777777777778,12.85,13.11111111111111,12.25
188,Бавария М.,Билефельд,Флориан Бадстабнер,1.14,8.0,17.0,20,0,2,2466,245,2221,64,36,7,13,1,1,619,346,56,67,33,6,41,15,65,53,10,14,16,25,5,2,6,11,173,149,19,7,12,3,13,4,6,3,4-2-3-1,7.08,4-2-3-1,6.76,7.65,19.76,,,3.6666666666666665,26.666666666666668,10.0,9.9,14.77777777777778,12.45
189,Билефельд,Вольфсбург,Феликс Брых,6.0,4.0,1.6,24,0,1,659,1330,-671,45,55,10,14,0,2,406,495,54,64,16,19,7,9,51,50,19,21,16,14,3,8,14,11,136,151,7,12,2,6,4,7,3,5,4-4-1-1,6.76,4-2-3-1,6.98,17.05,14.28,,,2.5,22.9,10.545454545454543,12.476190476190476,12.909090909090908,12.761904761904765
190,Кельн,Штутгарт,Бенджамин Кортус,3.75,3.6,1.95,25,0,0,741,971,-230,52,48,15,10,2,1,544,483,53,54,8,15,6,10,41,43,9,13,19,10,0,6,15,8,138,136,9,9,0,3,4,7,5,2,5-3-2,6.74,3-4-2-1,6.89,13.35,18.79,,,4.857142857142857,27.857142857142858,14.2,12.761904761904765,12.454545454545457,12.333333333333334
191,Мгладбах,Майнц 05,Маркус Шмидт,1.7,3.8,4.75,26,1,1,1474,372,1102,69,31,10,16,1,1,634,276,61,75,16,12,15,10,52,40,15,18,10,9,4,4,17,14,159,161,12,8,4,6,9,5,3,3,3-5-2,6.88,3-4-1-2,6.75,8.31,20.4,,,4.571428571428571,22.285714285714285,11.545454545454543,12.19047619047619,13.7,14.238095238095235
192,Э. Франкфурт,Бавария М.,Саша Стегеманн,4.0,4.2,1.75,19,2,0,532,2039,-1507,40,60,12,7,2,0,378,542,75,58,14,32,16,35,59,56,14,14,26,10,6,10,11,12,146,178,12,22,5,6,7,15,5,7,3-4-2-1,6.92,4-2-3-1,7.07,11.37,11.06,,,3.4,24.3,13.6,14.285714285714286,9.818181818181818,9.761904761904765
193,Фрайбург,Юнион Берлин,Сёрен Аисты,2.38,3.2,3.2,29,0,0,985,1054,-69,64,36,15,14,2,2,556,302,67,65,17,19,17,10,51,58,21,22,10,14,2,4,11,18,148,118,9,15,1,4,3,10,6,5,4-2-2-2,6.85,3-5-2,6.83,7.81,17.9,,,3.857142857142857,28.571428571428573,11.818181818181818,12.80952380952381,13.7,13.0
194,Шальке 04,Дортмунд,Дэниел Зиберт,11.0,6.0,1.25,22,0,2,833,1482,-649,38,62,9,13,2,2,361,599,48,41,10,6,17,15,37,43,6,8,8,16,4,2,17,11,127,127,13,10,2,6,7,8,6,2,4-3-3,6.65,4-2-3-1,7.01,13.32,6.25,,,3.6666666666666665,22.0,12.545454545454543,13.19047619047619,10.454545454545457,10.761904761904765
195,Аугсбург,Леверкузен,Кристиан Дингерт,5.75,4.333333333333334,1.55,30,1,0,195,1941,-1746,26,74,16,14,2,4,242,656,72,66,4,42,12,16,46,46,7,8,21,14,1,4,12,8,137,160,6,10,3,3,3,7,3,3,4-2-3-1,6.75,4-3-3,6.95,29.23,5.13,,,4.857142857142857,23.857142857142858,11.545454545454543,11.904761904761903,11.1,12.80952380952381
196,Герта,РБ Лейпциг,Свен Яблонски,5.75,4.333333333333334,1.53,18,0,1,666,1277,-611,47,53,10,8,1,1,438,485,72,47,12,11,12,5,46,41,10,14,19,14,3,4,17,13,148,150,9,14,4,6,4,9,5,5,3-5-2,6.78,3-4-2-1,6.98,11.05,18.0,,,3.111111111111111,26.55555555555556,13.5,15.333333333333334,12.5,12.333333333333334
197,Хоффенхайм,Бремен,Роберт Шредер,2.2,3.5,3.2,28,2,0,1488,560,928,51,49,16,12,2,2,487,463,81,55,21,15,19,10,54,55,18,20,15,17,6,3,10,8,154,148,12,2,6,1,9,2,3,0,3-4-1-2,6.81,3-5-2,6.82,11.67,10.92,,,3.571428571428572,26.142857142857142,13.9,13.904761904761903,11.909090909090908,11.761904761904765
198,Бремен,Э. Франкфурт,Роберт Хартманн,4.0,3.8,1.75,24,0,1,483,2145,-1662,31,69,9,15,4,3,317,667,64,44,6,40,13,17,62,36,17,11,21,12,2,8,14,14,149,176,9,12,5,4,6,9,3,3,3-4-2-1,6.79,3-4-2-1,6.92,19.72,4.19,,,3.4285714285714284,27.285714285714285,11.6,11.772727272727272,14.909090909090908,14.181818181818182
199,Бавария М.,Кельн,Мартин Петерсен,1.17,7.5,15.0,16,2,0,1490,317,1173,55,45,7,9,2,1,634,502,46,57,14,14,28,14,46,47,11,4,12,28,4,4,15,13,140,159,14,6,7,3,8,6,6,0,4-2-3-1,7.07,3-5-2,6.75,12.74,14.88,,,4.666666666666667,23.0,9.7,9.636363636363637,11.454545454545457,12.863636363636363
200,Дортмунд,Билефельд,Тобиас Райхель,1.22,6.5,13.0,28,0,0,2124,290,1834,62,38,12,16,0,3,617,375,52,48,17,8,18,12,54,46,12,14,12,15,5,2,12,17,114,120,20,8,9,2,16,6,4,2,4-1-4-1,7.02,4-4-2,6.75,13.59,15.76,,,1.6666666666666667,25.33333333333333,11.1,10.863636363636363,14.6,12.363636363636363
201,Штутгарт,Шальке 04,Гвидо Винкманн,1.55,4.75,5.75,33,3,1,1931,957,974,49,51,15,18,2,3,397,416,46,43,27,22,14,11,54,50,13,12,19,16,11,9,5,8,132,134,17,10,10,5,12,6,5,4,3-4-2-1,6.89,4-2-3-1,6.64,10.73,9.35,,,4.75,23.5,12.2,12.227272727272728,13.9,13.0
202,Вольфсбург,Герта,Бастиан Данкерт,1.8,3.8,4.2,29,1,0,888,929,-41,57,43,15,14,5,0,484,349,70,71,18,18,12,12,52,52,17,20,18,15,3,5,8,19,151,156,11,9,2,2,8,5,3,4,4-2-3-1,6.98,3-4-1-2,6.78,10.17,12.39,,,5.333333333333333,28.444444444444443,12.6,12.818181818181818,17.0,15.090909090909092
203,РБ Лейпциг,Мгладбах,Мануэль Грефе,1.53,4.2,6.0,35,0,2,2662,432,2230,66,34,20,15,2,2,649,331,33,68,31,8,12,14,68,55,28,16,19,14,3,4,4,20,169,168,21,5,10,2,13,4,8,1,4-2-3-1,6.98,3-1-4-2,6.88,5.52,12.74,,,3.5,21.4,12.181818181818182,12.136363636363637,12.9,12.090909090909092
204,Юнион Берлин,Хоффенхайм,Тобиас Стилер,2.6,3.3,2.7,25,1,1,670,1390,-720,45,55,13,12,0,2,468,555,73,65,17,16,3,10,54,44,28,23,12,4,3,4,10,10,154,160,5,14,1,3,4,8,1,6,3-1-4-2,6.84,3-4-1-2,6.83,17.21,17.24,,,3.888888888888889,27.666666666666668,12.363636363636363,13.045454545454543,13.909090909090908,14.0
205,Майнц 05,Аугсбург,Даниэль Шлагер,2.0,3.4,3.8,16,0,1,2084,496,1588,61,39,9,7,1,2,471,305,65,87,41,11,5,10,58,55,35,30,16,12,5,3,13,14,218,192,11,9,6,3,6,7,5,2,3-4-1-2,6.74,4-2-3-1,6.75,5.75,16.69,,,4.375,28.0,14.727272727272728,14.318181818181818,12.3,12.090909090909092
206,Леверкузен,Фрайбург,Феликс Цвайер,1.73,4.0,4.5,23,0,0,1885,366,1519,66,34,12,11,2,3,652,325,50,71,25,15,10,3,45,50,23,28,4,11,8,3,7,13,136,133,22,6,5,3,13,4,9,2,4-3-3,6.94,4-2-2-2,6.84,9.69,30.23,,,4.1,25.4,14.363636363636363,12.863636363636363,13.9,12.909090909090908
207,Шальке 04,Майнц 05,Феликс Брых,3.2,3.6,2.15,26,0,0,386,1496,-1110,49,51,10,16,2,2,401,394,57,60,7,31,18,14,73,83,31,35,22,27,2,6,21,11,197,215,2,19,2,2,1,11,1,8,3-4-1-2,6.62,3-5-2,6.75,9.44,4.84,,,2.4545454545454546,23.0,12.25,13.217391304347826,13.909090909090908,14.08695652173913
208,Хоффенхайм,Вольфсбург,Маркус Шмидт,2.7,3.5,2.5,28,2,1,764,1784,-1020,38,62,13,15,2,3,367,573,69,71,13,30,14,13,58,56,21,28,18,8,2,6,23,19,161,171,9,18,4,6,5,10,4,8,3-4-1-2,6.82,4-2-3-1,6.99,12.72,8.89,,,4.25,22.75,14.090909090909092,13.91304347826087,13.0,12.91304347826087
209,Мгладбах,Леверкузен,Дэниел Зиберт,2.4,3.6,2.75,16,0,0,584,1125,-541,42,58,6,10,0,2,427,587,34,55,17,17,12,22,55,43,17,10,22,14,7,8,12,11,131,149,8,13,3,5,6,11,2,2,4-2-3-1,6.87,4-3-3,6.94,16.52,14.26,,,3.7,22.0,11.416666666666666,12.217391304347826,11.363636363636363,12.826086956521738
210,Э. Франкфурт,Штутгарт,Роберт Шредер,1.8,4.1,3.9,32,0,0,1393,749,644,58,42,15,17,2,3,486,339,57,48,36,19,26,14,65,61,14,21,22,19,13,4,17,12,168,159,20,8,7,1,15,4,5,4,3-4-1-2,6.91,3-4-2-1,6.9,5.7,8.18,,,3.625,26.375,13.454545454545457,14.217391304347826,12.25,12.347826086956522
211,Герта,Аугсбург,Флориан Бадстабнер,2.1,3.3,3.6,28,0,1,1941,525,1416,65,35,15,13,2,3,523,280,76,70,33,11,13,9,52,51,16,20,13,13,6,1,10,16,165,154,17,8,7,4,12,6,5,2,3-1-4-2,6.76,4-2-3-1,6.76,4.86,14.55,,,3.4285714285714284,25.714285714285715,13.181818181818182,15.043478260869565,11.818181818181818,11.869565217391305
212,Фрайбург,РБ Лейпциг,Гвидо Винкманн,5.0,4.0,1.62,23,0,1,471,1538,-1067,42,58,10,13,1,1,386,545,76,66,15,11,12,7,42,38,12,13,11,15,1,3,17,11,150,141,5,13,1,7,2,7,3,6,4-2-2-2,6.85,3-1-4-2,6.99,13.86,8.48,,,4.777777777777778,24.55555555555556,12.083333333333334,12.826086956521738,12.090909090909092,12.478260869565217
213,Бавария М.,Дортмунд,Марко Фриц,1.5,4.75,5.5,21,2,2,2804,279,2525,65,35,8,13,1,1,681,360,46,64,26,2,18,8,43,46,9,14,10,18,6,0,13,12,151,137,27,4,9,3,18,2,9,2,4-2-3-1,7.07,3-4-2-1,7.03,8.36,19.33,,,3.5,25.5,9.454545454545457,9.521739130434783,10.666666666666666,10.91304347826087
214,Кельн,Бремен,Матиас Йолленбек,3.1,3.2,2.4,23,0,0,1810,572,1238,68,32,13,10,1,0,632,299,59,65,46,18,17,8,46,54,19,27,10,11,9,3,6,14,166,132,16,12,4,5,9,10,7,2,4-4-1-1,6.73,3-4-1-2,6.8,7.32,25.67,,,2.333333333333333,26.666666666666668,14.272727272727272,12.695652173913045,11.916666666666666,11.652173913043478
215,Билефельд,Юнион Берлин,Вред Осмерс,3.75,3.4,2.0,14,0,0,649,1307,-658,40,60,9,5,0,0,442,642,79,84,14,20,9,11,48,54,30,27,9,13,3,3,9,7,163,147,4,8,2,3,3,7,1,1,4-2-3-1,6.74,4-4-2,6.84,21.36,17.5,,,3.1,26.1,10.5,12.521739130434783,13.727272727272728,13.043478260869565
216,Аугсбург,Мгладбах,Свен Яблонски,4.75,4.0,1.7,16,0,0,362,2353,-1991,35,65,6,10,0,0,357,642,68,46,6,30,9,14,36,54,9,27,11,12,1,10,13,13,144,153,10,26,3,7,8,20,2,6,4-2-3-1,6.76,4-2-3-1,6.87,24.0,8.04,,,3.0,25.7,11.916666666666666,11.916666666666666,13.090909090909092,11.958333333333334
217,Юнион Берлин,Кельн,Дениз Айтекин,2.0,3.25,4.0,33,0,1,1106,914,192,41,59,20,13,2,3,387,568,65,57,22,24,15,9,39,54,15,13,9,18,6,6,12,22,155,142,14,9,7,5,13,4,1,5,3-5-2,6.85,4-2-3-1,6.74,17.62,7.85,,,3.0,20.0,12.416666666666666,12.708333333333334,11.25,12.708333333333334
218,Майнц 05,Фрайбург,Бенджамин Кортус,2.25,3.25,3.3,39,0,0,889,793,96,48,52,24,15,1,3,448,477,62,63,14,15,14,9,48,55,16,14,11,14,0,4,14,13,145,150,11,12,7,2,7,7,4,5,3-4-3,6.76,3-4-3,6.83,7.54,10.52,,,4.625,27.5,14.25,14.166666666666666,13.636363636363637,12.708333333333334
219,Вольфсбург,Шальке 04,Сёрен Аисты,1.4,4.5,8.0,20,1,0,1377,497,880,53,47,12,8,0,1,468,392,76,51,13,17,8,21,44,41,11,7,23,12,3,8,15,21,151,166,16,5,7,1,8,3,8,2,4-2-3-1,6.98,3-5-2,6.64,7.03,12.55,,,3.875,28.625,12.818181818181818,13.0,14.272727272727272,13.083333333333334
220,Бремен,Бавария М.,Мануэль Грефе,13.0,7.0,1.2,14,0,2,319,2362,-2043,43,57,5,9,1,0,512,666,61,45,13,28,10,17,36,42,8,12,13,15,3,8,13,17,150,138,8,21,4,6,6,18,2,3,3-4-2-1,6.82,4-2-3-1,7.08,46.57,7.65,,,3.5454545454545454,22.63636363636364,11.363636363636363,11.583333333333334,9.583333333333334,9.458333333333334
221,Дортмунд,Герта,Мартин Петерсен,1.5,4.333333333333334,6.5,17,0,0,2466,23,2443,71,29,6,11,1,1,800,319,57,55,24,8,16,12,38,42,7,12,13,19,7,0,8,10,140,118,12,3,4,0,7,0,5,3,4-2-3-1,7.01,3-1-4-2,6.77,8.79,47.7,,,4.428571428571429,22.0,11.181818181818182,11.0,16.75,15.041666666666666
222,Леверкузен,Билефельд,Саша Стегеманн,1.4,4.333333333333334,7.0,26,0,1,1911,280,1631,75,25,17,9,2,1,749,249,52,75,29,9,24,11,62,56,22,18,15,18,9,5,5,5,152,133,20,11,5,6,15,9,5,2,4-3-3,6.94,4-4-2,6.74,3.7,19.52,,,3.272727272727273,23.818181818181817,14.166666666666666,12.708333333333334,14.727272727272728,12.375
223,РБ Лейпциг,Э. Франкфурт,Феликс Цвайер,1.6,4.0,5.25,35,0,0,1644,394,1250,56,44,14,21,2,3,481,365,59,55,18,15,18,10,56,47,14,10,13,18,4,3,9,22,158,153,14,5,8,2,7,5,7,0,4-2-3-1,7.0,3-5-1-1,6.92,7.0,10.12,,,4.181818181818182,25.181818181818183,12.833333333333334,12.5,14.916666666666666,14.25
224,Штутгарт,Хоффенхайм,Кристиан Дингерт,2.45,3.8,2.55,23,1,0,754,1515,-761,42,58,14,9,0,2,427,565,51,62,14,29,14,9,43,47,15,14,12,13,4,4,17,18,142,147,7,16,4,5,3,9,4,7,3-4-2-1,6.9,3-4-1-2,6.84,14.29,9.96,,,5.0,24.625,12.454545454545457,12.541666666666666,13.75,13.875
225,Билефельд,РБ Лейпциг,Фрэнк Вилленборг,9.0,4.75,1.36,22,0,0,170,2533,-2363,19,81,10,12,2,1,199,896,65,49,12,17,6,6,44,34,19,19,9,3,1,7,12,5,120,130,7,20,0,8,4,10,3,10,4-3-1-2,6.75,3-4-2-1,6.99,32.56,3.88,,,5.0,27.0,10.384615384615383,12.24,12.166666666666666,12.56
226,Кельн,Дортмунд,Дэниел Зиберт,6.5,4.75,1.45,16,1,1,700,1177,-477,43,57,4,12,1,1,425,570,61,49,21,18,14,14,46,38,7,12,17,12,5,2,11,5,126,125,10,13,2,4,8,9,2,4,4-4-2,6.74,4-1-4-1,7.01,30.46,12.0,,,3.5454545454545454,21.454545454545453,14.166666666666666,12.72,10.846153846153848,10.8
227,Бавария М.,Штутгарт,Даниэль Шлагер,1.2,7.5,11.0,22,4,0,866,1302,-436,42,58,10,12,1,2,450,606,72,32,10,20,19,22,43,50,3,12,16,12,1,3,13,12,139,151,15,12,7,4,11,4,4,8,4-2-3-1,7.09,3-4-2-1,6.91,15.29,8.42,,,4.222222222222222,26.666666666666668,9.333333333333334,9.44,12.615384615384617,12.6
228,Э. Франкфурт,Юнион Берлин,Маркус Шмидт,1.85,3.8,3.9,19,4,2,980,1411,-431,54,46,9,10,1,2,536,434,69,65,12,28,12,14,44,48,13,17,18,14,2,4,13,12,130,143,9,25,5,8,7,21,2,4,3-4-1-2,6.91,3-5-2,6.84,12.52,17.63,,,4.333333333333333,23.33333333333333,13.583333333333334,14.52,13.0,13.0
229,Бремен,Вольфсбург,Роберт Шредер,4.75,3.6,1.75,30,1,2,789,1492,-703,50,50,16,14,3,1,484,457,77,78,11,25,6,14,55,51,20,16,18,15,3,9,24,20,180,191,10,15,4,3,7,8,3,7,3-1-4-2,6.81,4-2-3-1,6.99,8.07,7.78,,,3.7777777777777777,27.0,10.833333333333334,11.32,13.153846153846152,12.96
230,Шальке 04,Мгладбах,Тобиас Стилер,7.0,4.75,1.4,16,0,1,316,2158,-1842,29,71,8,8,1,2,303,729,47,53,10,18,13,15,41,39,11,9,14,10,2,7,6,3,114,126,4,21,1,7,3,15,1,6,3-5-2,6.62,4-2-3-1,6.86,26.44,8.52,,,3.7,27.4,12.076923076923077,12.88,12.833333333333334,11.88
231,Хоффенхайм,Майнц 05,Марко Фриц,1.91,3.75,3.75,26,1,2,905,1322,-417,63,37,14,12,0,0,601,336,100,69,15,16,25,18,52,80,19,29,14,28,2,9,9,16,161,159,8,15,2,7,4,12,4,3,3-4-1-2,6.84,3-4-2-1,6.76,9.06,15.4,,,3.333333333333333,25.0,14.0,13.68,14.083333333333334,14.56
232,Герта,Леверкузен,Феликс Брых,3.5,3.6,2.0,30,3,0,835,1945,-1110,28,72,10,20,0,2,247,590,65,48,9,35,18,21,76,48,18,14,28,15,4,8,13,7,138,154,13,12,9,1,9,10,4,2,3-4-1-2,6.76,4-2-3-1,6.95,14.13,3.31,,,2.583333333333333,23.25,13.333333333333334,14.88,11.25,12.88
233,Фрайбург,Аугсбург,Бастиан Данкерт,1.83,3.6,4.333333333333334,32,0,0,1067,1068,-1,56,44,19,13,7,2,421,314,67,70,19,18,8,16,55,57,27,19,11,14,3,5,16,11,137,142,13,20,5,7,9,10,4,10,4-4-2,6.83,4-4-2,6.76,6.04,17.73,,,5.3,28.5,11.923076923076923,12.8,11.916666666666666,11.68
234,Майнц 05,Билефельд,Дениз Айтекин,1.75,3.6,4.5,35,0,0,1039,673,366,57,43,25,10,4,1,436,323,50,95,18,14,13,10,53,71,26,28,9,13,2,3,4,13,176,175,11,10,6,2,9,4,2,6,3-5-2,6.77,4-3-1-2,6.75,5.38,15.75,,,5.0,33.0,15.0,14.461538461538462,14.25,12.153846153846152
235,Леверкузен,Шальке 04,Свен Яблонски,1.29,5.75,10.0,22,1,0,1405,759,646,64,36,13,9,1,0,735,402,84,44,14,17,21,25,51,66,14,12,17,23,5,4,17,15,134,123,8,6,3,2,6,5,2,1,3-5-1-1,6.93,3-5-2,6.62,8.41,15.57,,,2.727272727272727,24.818181818181817,14.384615384615383,13.153846153846152,13.75,12.692307692307692
236,Дортмунд,Э. Франкфурт,Мануэль Грефе,1.7,4.333333333333334,4.333333333333334,21,1,1,1732,680,1052,57,43,9,12,0,3,521,398,55,51,33,14,22,17,67,53,25,12,17,22,10,2,15,11,172,158,19,14,5,3,13,8,6,6,4-1-4-1,7.01,3-4-1-2,6.92,8.3,9.36,,,3.333333333333333,21.916666666666668,10.75,10.846153846153848,15.384615384615383,14.307692307692308
237,Аугсбург,Хоффенхайм,Гвидо Винкманн,3.5,3.8,1.95,17,2,0,431,2106,-1675,30,70,7,10,1,1,309,692,63,69,7,35,17,13,52,58,17,25,20,24,2,10,17,8,145,176,7,15,2,5,5,11,2,4,4-2-2-2,6.76,3-4-1-2,6.83,21.39,6.68,,,4.5,24.4,11.461538461538462,11.73076923076923,13.384615384615383,13.692307692307692
238,Вольфсбург,Кельн,Роберт Хартманн,1.62,4.0,5.5,29,0,0,1325,1040,285,51,49,18,11,2,1,469,437,56,75,24,21,15,14,54,64,18,20,21,20,5,4,12,12,150,162,12,9,5,1,10,7,2,2,4-2-3-1,6.99,4-1-4-1,6.74,8.17,15.69,,,3.875,26.875,12.75,13.0,11.384615384615383,12.384615384615383
239,РБ Лейпциг,Бавария М.,Дэниел Зиберт,2.63,3.6,2.5,22,0,1,1324,696,628,53,47,13,9,3,2,541,475,56,71,22,11,25,9,53,55,16,15,14,22,8,4,4,14,157,148,14,9,2,5,6,7,8,2,4-3-3,6.99,4-2-3-1,7.08,9.68,8.5,,,3.4166666666666665,21.0,12.923076923076923,12.538461538461538,9.538461538461538,9.461538461538462
240,Мгладбах,Фрайбург,Кристиан Дингерт,1.7,4.0,4.5,25,0,1,1105,772,333,47,53,11,14,1,3,487,514,49,59,11,19,16,14,48,58,15,22,14,17,0,3,18,22,158,170,19,10,6,4,10,7,9,3,4-2-3-1,6.88,5-3-2,6.84,13.28,7.88,,,4.666666666666667,24.444444444444443,11.0,11.73076923076923,13.75,13.038461538461538
241,Штутгарт,Бремен,Феликс Цвайер,1.91,3.6,3.9,17,0,0,1544,351,1193,60,40,8,9,1,2,596,400,50,56,20,12,24,18,65,48,25,9,16,20,6,0,16,12,161,148,14,10,3,2,10,4,4,6,3-4-2-1,6.9,4-2-3-1,6.81,9.57,12.68,,,4.25,26.0,12.583333333333334,12.576923076923077,11.76923076923077,11.5
242,Юнион Берлин,Герта,Саша Стегеманн,2.45,3.25,2.88,25,1,1,1563,719,844,59,41,13,12,2,4,540,380,68,51,26,7,10,10,38,48,8,19,11,10,2,3,7,9,157,140,13,4,3,1,8,2,5,2,3-4-1-2,6.83,4-3-3,6.77,12.32,29.3,,,3.25,24.0,13.0,12.884615384615383,16.307692307692307,14.692307692307692
243,Билефельд,Фрайбург,Мартин Петерсен,2.6,3.2,2.75,18,0,0,1127,628,499,44,56,8,10,3,2,407,508,64,86,17,14,5,5,46,61,28,38,7,11,4,2,9,5,178,164,13,9,4,0,9,5,4,4,4-2-3-1,6.75,3-5-2,6.84,15.6,17.42,,,4.125,21.375,10.357142857142858,12.074074074074074,13.76923076923077,13.074074074074074
244,Бавария М.,Юнион Берлин,Тобиас Стилер,1.8,3.8,4.2,22,0,0,1695,377,1318,59,41,10,12,2,0,606,413,63,68,18,13,28,13,68,61,21,22,17,23,8,1,12,15,160,147,14,7,2,2,11,5,3,2,4-2-3-1,7.08,4-2-3-1,6.83,9.5,19.83,,,3.636363636363636,26.363636363636363,9.384615384615383,9.444444444444445,12.76923076923077,12.88888888888889
245,Э. Франкфурт,Вольфсбург,Марко Фриц,2.4,3.6,2.75,24,2,1,608,1766,-1158,45,55,11,13,3,2,362,423,62,58,13,21,23,16,59,60,15,20,17,19,3,7,16,20,176,171,8,20,5,7,7,11,1,9,3-4-1-2,6.93,4-2-3-1,6.99,9.82,5.1,,,3.0,25.1,13.23076923076923,14.22222222222222,13.214285714285714,13.185185185185183
246,Герта,Мгладбах,Патрик Иттрих,3.2,3.6,2.15,29,1,2,2176,237,1939,62,38,12,17,2,1,562,356,54,53,38,9,14,13,44,37,11,8,8,11,11,3,9,17,139,118,23,7,7,4,11,4,12,3,3-4-3,6.77,3-4-3,6.88,9.76,19.29,,,3.333333333333333,26.666666666666668,13.076923076923077,14.592592592592592,12.461538461538462,11.703703703703704
