Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
136,Хоффенхайм,Билефельд,Марко Фриц,1.7,3.8,5.0,30,0,0,1300,565,735,53,47,9,21,1,1,501,460,60,71,29,11,22,14,60,65,18,23,10,24,5,3,15,11,156,136,12,9,5,2,8,4,4,5,3-5-2,6.78,4-1-3-2,6.75,14.67,8.14,,,4.0,25.666666666666668,15.285714285714286,14.666666666666666,13.571428571428571,11.733333333333333
137,Кельн,Герта,Фрэнк Вилленборг,3.2,3.25,2.3,32,0,0,802,989,-187,48,52,13,19,2,3,421,446,73,90,19,16,20,18,65,57,18,19,19,17,5,4,9,12,150,140,8,13,1,3,6,5,2,8,3-4-2-1,6.7,4-3-1-2,6.81,11.55,7.9,,,5.2,27.4,14.25,13.4,17.125,15.2
138,Дортмунд,Майнц 05,Свен Яблонски,1.2,7.0,13.0,29,0,0,2337,406,1931,73,27,10,19,1,2,725,260,73,50,15,12,21,13,68,41,18,8,14,15,1,2,22,21,134,136,17,9,7,3,11,7,6,2,4-2-3-1,7.05,5-3-2,6.73,3.91,15.26,,,3.333333333333333,28.0,9.857142857142858,10.333333333333334,11.714285714285714,13.466666666666669
139,Вольфсбург,РБ Лейпциг,Тобиас Стилер,4.0,4.0,1.83,25,2,1,983,1327,-344,47,53,16,9,4,3,438,479,51,57,17,18,22,14,53,62,17,29,16,13,6,6,6,14,164,164,9,13,2,9,7,10,2,3,4-2-3-1,6.93,3-4-2-1,6.98,11.64,13.35,,,3.6666666666666665,28.33333333333333,12.285714285714286,12.733333333333333,12.0,11.866666666666667
140,Бремен,Аугсбург,Саша Стегеманн,2.05,3.3,3.8,28,0,0,1231,947,284,49,51,10,18,0,1,460,478,46,48,16,16,4,16,52,51,19,22,12,8,4,4,4,5,135,141,11,6,5,0,7,5,4,1,3-5-2,6.77,3-4-3,6.8,17.11,10.31,,,3.4285714285714284,25.428571428571427,12.857142857142858,12.6,11.142857142857142,11.133333333333333
141,Штутгарт,Мгладбах,Феликс Брых,2.75,3.8,2.4,31,0,1,1491,602,889,60,40,11,20,2,3,617,418,48,59,28,5,28,7,63,44,12,12,12,18,5,2,11,17,146,124,19,8,7,5,14,6,5,2,3-5-2,6.91,4-2-3-1,6.87,13.24,14.59,,,1.8571428571428568,20.0,11.571428571428571,12.533333333333331,12.142857142857142,11.333333333333334
142,Бавария М.,Фрайбург,Кристиан Дингерт,1.22,7.0,11.0,18,1,0,2318,443,1875,59,41,4,14,1,2,551,376,53,58,32,22,24,10,59,35,17,16,10,11,14,3,10,8,119,128,25,8,9,2,14,8,11,0,4-2-3-1,7.04,3-4-3,6.86,14.5,13.76,,,4.75,22.75,10.714285714285714,9.866666666666667,13.571428571428571,12.2
143,Э. Франкфурт,Шальке 04,Мануэль Грефе,1.5,4.5,6.5,18,1,1,2252,158,2094,67,33,8,10,0,1,645,312,25,68,26,12,20,17,49,42,14,10,18,18,8,2,14,15,146,158,17,4,11,1,15,2,2,2,3-4-2-1,6.89,4-4-2,6.63,6.11,25.33,,,4.428571428571429,22.0,13.857142857142858,14.133333333333333,13.428571428571429,13.733333333333333
144,Мгладбах,Бремен,Мартин Петерсен,1.5699999999999998,4.2,5.5,26,0,0,1586,956,630,59,41,15,11,2,2,594,401,51,57,26,15,9,9,34,44,7,13,12,14,7,5,7,18,149,120,11,13,6,3,7,9,4,4,4-2-3-1,6.86,3-5-2,6.78,8.53,33.6,,,5.25,20.5,10.625,11.875,12.375,12.4375
145,Майнц 05,Вольфсбург,Сёрен Аисты,4.333333333333334,4.0,1.75,32,0,0,478,1233,-755,37,63,17,15,1,2,293,500,75,84,13,13,14,17,60,66,24,29,16,13,2,5,4,10,178,179,8,9,0,2,5,7,3,2,3-5-2,6.73,4-2-3-1,6.93,10.3,5.3,,,4.0,27.2,15.0,13.8125,13.125,12.9375
