,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Фиорентина,Торино,Росарио Абиссо,1.8,4.0,4.0,37,0,0,1323,625,698,49,51,17,20,3,1,423,445,56,65,21,7,8,12,46,57,11,10,13,24,4,1,15,11,128,115,15,6,5,3,8,2,7,4,3-5-2,0.0,4-3-1-2,0.0,9.47,6.86,,,4.0,20,10,10,10,10
1,Парма,Наполи,Маурицио Мариани,6.5,4.75,1.45,28,0,0,326,1754,-1428,39,61,16,12,4,1,404,645,54,35,15,12,15,24,47,60,13,15,17,19,4,2,17,7,111,111,6,17,2,6,1,8,5,9,4-3-1-2,0.0,4-3-3,0.0,19.42,12.17,,,4.0,20,10,10,10,10
2,Дженоа,Кротоне,Джованни Айрольди,2.37,3.4,3.0,27,3,1,1009,1113,-104,48,52,13,14,4,2,473,502,62,35,12,16,20,13,48,47,6,11,19,15,6,4,19,6,106,123,14,13,6,3,10,6,4,7,3-5-2,0.0,3-4-1-2,0.0,8.94,9.42,,,4.0,20,10,10,10,10
3,Сассуоло,Кальяри,Ливио Маринелли,1.65,4.333333333333334,4.5,27,0,0,2160,438,1722,67,33,9,18,1,3,659,313,38,47,19,7,20,19,58,43,9,11,19,17,7,3,7,11,105,103,33,8,9,4,14,5,19,3,4-2-3-1,0.0,4-1-4-1,0.0,9.26,18.64,,,4.0,20,10,10,10,10
4,Ювентус,Сампдория,Марко Пиччинини,1.44,4.333333333333334,7.5,24,1,0,1602,536,1066,66,34,15,9,1,1,728,355,56,45,17,18,11,17,44,46,11,10,17,11,6,4,16,12,115,129,20,15,8,1,13,8,7,7,3-4-1-2,0.0,4-1-4-1,0.0,6.79,21.65,,,4.0,20,10,10,10,10
5,Милан,Болонья,Федерико Ла Пенна,1.44,4.75,6.5,33,1,0,2046,621,1425,58,42,13,20,3,5,507,366,53,53,23,15,13,12,60,49,18,10,14,19,7,4,9,11,126,106,17,13,5,4,11,9,6,4,4-2-3-1,0.0,4-2-3-1,0.0,9.26,13.5,,,4.0,20,10,10,10,10
6,Беневенто,Интер,Марко Пиччинини,9.5,5.5,1.3,25,1,4,1044,1839,-795,33,67,10,15,1,0,330,676,49,45,18,8,7,11,39,30,7,8,12,7,5,1,14,12,106,94,11,18,5,8,9,13,2,5,4-3-3,6.82,3-4-1-2,6.96,21.35,7.32,,,2.0,24.0,10,10,10,10
7,Удинезе,Специя,Алессандро Пронтера,1.75,3.6,4.75,30,0,1,1442,681,761,48,52,13,17,0,5,447,489,44,73,20,7,19,6,57,39,11,10,18,16,2,2,3,14,128,124,13,4,3,2,10,4,3,0,3-5-2,6.88,4-3-3,6.43,14.13,12.94,,,4.0,20,10,10,10,10
8,Лацио,Аталанта,Фабио Мареска,2.55,3.75,2.55,27,0,3,1572,946,626,60,40,16,11,6,3,644,418,51,65,20,11,15,11,40,59,13,16,9,22,7,3,14,13,172,144,14,10,6,6,10,9,4,1,3-5-2,7.04,3-4-2-1,7.06,8.07,16.91,,,4.0,20,10,10,10,10
9,Торино,Аталанта,Массимилиано Иррати,4.75,4.5,1.61,23,2,3,484,1963,-1479,44,56,11,12,1,2,443,537,57,71,12,29,16,18,50,56,12,21,15,12,2,6,8,12,136,141,7,18,4,7,4,12,3,6,4-3-1-2,0.0,3-4-1-2,0.0,11.72,10.8,,,4.0,20,10,20.0,11.0,11.0
