,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
112,Бернли,Кристал Пэлас,Саймон Хупер,2.8,3.2,2.63,29,3,3,1041,1415,-374,40,60,14,15,2,3,311,488,71,58,24,20,9,14,66,42,31,16,15,6,3,6,6,3,142,140,15,18,9,8,10,12,5,6,4-4-2,6.87,4-3-3,6.88,11.78,17.88,,,2.5,23.0,10.4,9.363636363636363,8.8,11.181818181818182
113,Ньюкасл,Брентфорд,Роберт Джонс,2.4,3.4,2.9,24,3,3,1571,694,877,52,48,13,11,2,2,354,335,71,77,31,11,24,8,62,50,26,15,13,21,8,2,10,7,167,153,23,10,9,4,16,6,7,4,3-4-3,6.68,3-5-2,6.84,7.7,7.65,,,3.3333333333333335,23.333333333333332,10.2,9.727272727272727,10.6,10.909090909090908
114,Норвич,Саутгемптон,Мартин Аткинсон,3.5,3.5,2.05,17,2,1,960,1609,-649,37,63,8,9,3,2,333,568,68,60,19,26,8,27,52,61,23,24,16,10,5,7,13,14,156,156,8,17,4,5,5,8,3,9,4-3-3,6.69,4-4-2,6.85,10.75,7.76,,,2.125,15.0,8.2,9.090909090909092,10.4,11.272727272727273
115,Уотфорд,Манчестер Юнайтед,Джонатан Мосс,6.5,4.5,1.45,12,4,1,1233,1082,151,39,61,7,5,2,3,335,553,68,60,23,12,11,20,46,51,15,20,22,13,8,3,12,7,155,160,20,9,7,3,15,8,5,1,4-1-4-1,6.72,4-2-3-1,6.86,13.04,24.4,,,2.142857142857143,18.714285714285715,14.4,14.0,11.6,10.545454545454545
116,Вулверхэмптон,Вест Хэм,Майк Дин,3.1,3.25,2.38,15,1,0,1736,922,814,52,48,6,9,1,1,530,482,54,45,25,23,21,21,50,38,11,11,17,12,7,3,14,12,122,118,15,8,5,3,8,3,7,5,3-4-2-1,6.89,4-2-3-1,7.05,21.69,11.71,,,3.5714285714285716,18.714285714285715,10.2,11.454545454545455,7.4,8.909090909090908
117,Ливерпуль,Арсенал,Майкл Оливер,1.5,4.75,5.75,27,4,0,1984,322,1662,63,37,15,12,2,0,639,384,56,51,17,7,24,15,44,52,11,11,14,18,6,1,4,8,125,119,19,5,9,3,16,3,3,2,4-3-3,7.16,4-4-1-1,6.87,6.77,28.13,,,3.111111111111111,20.444444444444443,10.8,9.727272727272727,7.8,9.090909090909092
118,Манчестер Сити,Эвертон,Стюарт Аттвелл,1.2,6.5,15.0,12,3,0,2876,132,2744,77,23,5,7,1,1,861,247,37,55,25,13,15,18,45,38,15,5,15,18,7,1,8,6,118,117,17,4,7,1,12,3,5,1,4-3-3,7.1,4-4-1-1,6.91,6.83,58.0,,,3.2857142857142856,17.142857142857142,9.0,9.454545454545455,9.8,9.272727272727273
119,Тоттенхэм,Лидс,Андре Марринер,1.5699999999999998,4.0,6.0,23,2,1,799,1318,-519,43,57,11,12,1,4,392,521,36,54,17,21,28,24,63,56,21,12,18,20,4,8,13,14,150,149,13,18,4,7,8,9,5,9,3-4-2-1,6.83,3-3-3-1,6.84,9.59,7.42,,,5.333333333333333,19.333333333333332,9.2,9.636363636363637,13.2,11.636363636363637
120,Арсенал,Ньюкасл,Стюарт Аттвелл,1.5,4.5,6.0,18,2,0,2136,438,1698,66,34,6,12,1,3,646,328,42,45,18,14,20,16,52,32,12,5,14,13,4,4,3,11,123,114,24,9,6,5,14,3,10,6,4-4-1-1,6.83,4-4-2,6.7,7.04,16.74,,,3.125,16.5,10.166666666666666,9.333333333333334,9.333333333333334,10.0
121,Кристал Пэлас,Астон Вилла,Солсбери Майкл,2.25,3.3,3.3,22,1,2,1586,757,829,63,37,12,10,3,3,577,340,64,46,30,9,20,9,51,55,13,12,20,24,7,3,9,6,143,119,8,10,3,3,7,5,1,5,4-2-3-1,6.87,4-3-3,6.8,9.05,26.31,,,4.0,20,13.166666666666666,11.5,12.166666666666666,10.416666666666666
122,Ливерпуль,Саутгемптон,Андре Марринер,1.25,6.0,11.0,21,4,0,1700,503,1197,65,35,7,14,0,1,613,338,64,77,16,14,16,18,49,50,14,20,13,16,5,7,6,13,172,160,20,7,6,3,15,7,5,0,4-3-3,7.17,3-4-3,6.85,9.61,15.22,,,5.285714285714286,19.857142857142858,11.5,10.166666666666666,10.166666666666666,11.083333333333334
123,Норвич,Вулверхэмптон,Саймон Хупер,3.5,3.3,2.15,21,0,0,1181,677,504,43,57,11,10,2,2,443,601,51,70,22,9,24,20,52,52,8,11,23,21,4,3,8,10,126,133,14,5,4,2,9,4,5,1,4-1-4-1,6.71,3-4-3,6.91,13.33,16.0,,,3.3333333333333335,25.0,8.166666666666666,9.0,12.5,11.0
124,Брайтон,Лидс,Крэйг Поусон,2.15,3.3,3.4,26,0,0,1842,420,1422,57,43,12,14,1,3,496,379,49,66,19,11,31,12,58,60,17,14,11,28,6,1,11,15,181,167,20,11,4,4,12,7,8,4,4-2-3-1,6.93,4-2-3-1,6.84,9.24,6.84,,,3.5,20.375,10.0,10.083333333333334,13.0,11.666666666666666
125,Брентфорд,Эвертон,Англия Даррен,2.15,3.2,3.6,19,1,0,523,1228,-705,40,60,8,11,4,3,359,536,68,50,11,30,27,24,58,65,12,25,19,19,3,3,11,7,174,162,6,14,4,5,5,10,1,4,3-5-2,6.84,4-4-1-1,6.87,13.21,6.97,,,5.75,18.75,11.166666666666666,10.916666666666666,9.333333333333334,9.083333333333334
126,Лестер,Уотфорд,Энди Мэдли,1.65,3.8,5.25,25,4,2,1444,982,462,57,43,5,20,0,0,410,303,78,64,15,23,13,15,80,51,30,23,22,14,8,6,11,13,173,184,18,17,8,5,13,13,5,4,4-2-3-1,6.81,4-1-4-1,6.75,11.8,5.0,,,3.0,25.5,8.0,8.166666666666666,13.666666666666666,13.416666666666666
127,Манчестер Сити,Вест Хэм,Майкл Оливер,1.25,6.0,10.0,13,2,1,2413,402,2011,69,31,7,6,2,0,728,330,46,55,19,17,15,17,38,47,11,13,15,16,8,4,5,11,121,126,19,5,9,3,13,1,6,4,4-3-3,7.12,4-2-3-1,7.02,7.33,23.88,,,3.0,21.1,8.333333333333334,9.083333333333334,7.666666666666667,8.916666666666666
128,Челси,Манчестер Юнайтед,Энтони Тейлор,1.53,4.0,6.5,27,1,1,2690,145,2545,66,34,13,14,2,5,586,318,50,51,37,8,19,19,49,54,11,11,16,21,15,2,12,9,153,133,24,3,6,2,17,1,7,2,3-4-2-1,7.17,4-3-1-2,6.84,5.38,16.7,,,3.7,20.3,11.5,10.0,10.5,10.083333333333334
129,Бернли,Тоттенхэм,Грэм Скотт,4.5,3.6,1.83,16,1,0,880,1350,-470,34,66,8,8,0,0,326,639,53,42,22,25,23,17,51,54,17,18,11,15,3,7,24,5,119,148,15,12,4,2,8,8,7,4,4-4-2,6.88,3-4-2-1,6.93,12.1,9.5,,,3.6,22.0,11.0,9.75,10.0,9.75
130,Ньюкасл,Норвич,Энди Мэдли,2.0,3.5,3.75,19,1,1,308,1610,-1302,31,69,8,11,0,0,262,569,59,54,7,24,15,8,33,45,7,15,8,17,2,5,10,14,125,118,9,16,1,6,5,10,4,6,4-4-2,6.7,4-1-4-1,6.72,36.63,4.92,,,2.4,25.4,10.666666666666666,10.153846153846153,9.833333333333334,9.153846153846153
131,Лидс,Кристал Пэлас,Кевин Френд,2.2,3.4,3.25,30,1,0,1121,387,734,62,38,15,15,5,3,474,286,45,63,18,16,18,26,53,63,12,9,23,21,7,4,12,13,158,163,15,9,3,1,8,4,7,5,4-1-4-1,6.85,4-3-3,6.87,3.84,12.64,,,5.4,20.2,10.333333333333334,11.846153846153847,9.833333333333334,11.538461538461538
132,Саутгемптон,Лестер,Роберт Джонс,2.25,3.5,3.1,25,2,2,864,1063,-199,45,55,14,11,1,3,356,443,61,71,15,19,18,17,60,72,23,35,12,11,2,4,15,7,159,167,15,15,7,6,11,9,4,6,4-4-2,6.81,4-2-3-1,6.83,10.08,8.83,,,3.5,23.5,12.0,11.307692307692308,8.333333333333334,7.923076923076923
133,Уотфорд,Челси,Дэвид Кут,9.0,5.25,1.33,34,1,2,1058,672,386,50,50,18,16,4,3,399,422,77,60,30,8,14,11,63,73,29,34,10,12,6,0,15,15,198,167,14,8,6,4,6,6,8,2,4-1-4-1,6.73,3-4-2-1,7.15,6.97,7.88,,,5.5,23.666666666666668,13.166666666666666,13.923076923076923,8.5,10.23076923076923
134,Вест Хэм,Брайтон,Крис Кавана,1.95,3.4,4.0,18,1,1,874,1533,-659,34,66,10,8,1,1,271,540,47,40,25,18,17,16,42,53,11,16,13,19,9,5,14,5,130,130,14,9,6,3,8,6,6,3,4-2-3-1,7.0,4-2-3-1,6.94,13.38,3.54,,,4.4,22.8,10.166666666666666,8.692307692307692,10.166666666666666,10.23076923076923
135,Вулверхэмптон,Бернли,Джон Брукс,1.91,3.4,4.2,12,0,0,1421,306,1115,65,35,5,7,2,3,589,306,80,73,27,20,29,16,64,60,28,26,14,19,5,5,10,9,188,164,16,6,2,1,8,2,8,4,3-4-3,6.92,4-4-2,6.87,7.0,14.0,,,4.0,20,9.5,10.923076923076923,8.5,9.615384615384615
136,Астон Вилла,Манчестер Сити,Майк Дин,7.0,4.333333333333334,1.45,20,1,2,606,1777,-1171,36,64,8,12,0,0,333,611,43,50,14,18,10,22,55,41,14,11,25,11,4,10,11,9,101,114,9,17,3,7,8,10,1,7,4-3-3,6.81,4-2-3-1,7.11,15.1,8.73,,,3.375,18.25,8.666666666666666,10.384615384615385,9.833333333333334,8.923076923076923
137,Эвертон,Ливерпуль,Пол Тирни,8.0,5.0,1.36,24,1,4,373,1998,-1625,31,69,8,16,4,3,269,599,67,59,12,21,16,15,47,49,15,22,9,15,3,11,16,9,163,158,8,16,2,7,4,10,4,6,4-4-2,6.86,4-3-3,7.19,15.64,4.46,,,3.7777777777777777,19.0,8.833333333333334,9.23076923076923,8.833333333333334,9.923076923076923
138,Тоттенхэм,Брентфорд,Джонатан Мосс,1.62,3.9,5.5,24,2,0,1375,1103,272,47,53,13,11,0,0,464,521,47,67,17,21,15,6,50,46,25,19,8,10,10,5,12,15,154,154,11,6,6,2,10,4,1,2,3-4-2-1,6.85,3-5-2,6.85,17.5,15.81,,,2.5,17.875,9.5,9.615384615384615,10.666666666666666,10.692307692307692
139,Манчестер Юнайтед,Арсенал,Мартин Аткинсон,2.1,3.5,3.4,19,3,2,1211,1443,-232,45,55,9,10,1,0,431,526,41,56,12,18,9,19,54,48,22,16,18,10,3,8,9,9,114,132,14,17,10,8,9,12,5,5,4-2-3-1,6.83,4-4-1-1,6.86,14.85,11.65,,,2.4444444444444446,15.222222222222221,9.666666666666666,10.384615384615385,8.5,9.076923076923077
140,Вест Хэм,Челси,Андре Марринер,4.75,3.75,1.75,20,3,2,743,1688,-945,36,64,10,10,1,3,335,588,46,48,13,33,7,15,45,39,17,14,13,6,1,9,5,6,121,135,11,19,5,7,9,12,2,7,3-4-2-1,6.98,3-4-2-1,7.14,12.6,9.45,,,4.75,20.0,10.142857142857142,8.785714285714286,9.571428571428571,10.642857142857142
141,Ньюкасл,Бернли,Пол Тирни,2.3,3.4,3.0,20,1,0,964,693,271,48,52,11,9,1,1,322,356,81,79,20,16,11,13,58,64,27,31,13,15,10,3,2,10,162,152,19,10,4,1,12,6,7,4,4-4-2,6.68,4-4-2,6.87,16.25,6.67,,,4.1,19.5,10.285714285714286,10.0,8.285714285714286,9.428571428571429
142,Саутгемптон,Брайтон,Энтони Тейлор,2.6,3.1,2.88,27,1,1,1041,739,302,44,56,15,12,4,2,314,410,49,83,18,12,20,8,55,59,19,17,12,21,6,2,7,6,169,168,14,14,4,4,10,7,4,7,4-4-2,6.82,3-5-2,6.94,8.65,4.24,,,4.0,20.90909090909091,12.285714285714286,11.5,9.857142857142858,10.071428571428571
143,Вулверхэмптон,Ливерпуль,Крис Кавана,8.5,5.0,1.36,11,0,1,161,2377,-2216,33,67,4,7,2,2,320,641,67,42,7,28,15,12,42,38,4,11,21,15,2,8,10,9,145,155,3,17,1,5,1,13,2,4,3-4-3,6.93,4-3-3,7.19,39.63,7.33,,,4.0,22.0,8.857142857142858,10.5,9.857142857142858,10.357142857142858
144,Уотфорд,Манчестер Сити,Кевин Френд,12.0,7.0,1.2,18,1,3,342,2988,-2646,23,77,11,7,3,0,239,830,63,59,14,21,13,20,37,46,11,12,15,15,5,11,11,13,124,121,11,26,4,13,6,22,5,4,4-1-4-1,6.73,4-3-3,7.11,32.13,6.24,,,5.833333333333333,21.833333333333332,13.857142857142858,14.214285714285714,10.142857142857142,9.142857142857142
145,Лидс,Брентфорд,Дэвид Кут,1.83,3.5,4.5,20,2,2,1551,729,822,63,37,11,9,5,3,510,308,65,47,34,13,15,16,52,57,18,19,18,18,5,1,16,15,170,155,13,9,6,3,7,7,6,2,3-4-3,6.85,3-5-2,6.84,4.79,11.09,,,5.714285714285714,25.142857142857142,11.0,12.071428571428571,10.714285714285714,10.714285714285714
146,Манчестер Юнайтед,Кристал Пэлас,Крэйг Поусон,1.5,4.333333333333334,6.5,25,1,0,1726,457,1269,61,39,16,9,2,2,530,331,59,54,20,13,14,10,55,66,17,21,24,23,9,6,8,8,150,146,16,8,3,2,8,4,8,4,4-2-2-2,6.85,4-3-3,6.86,7.0,14.87,,,3.5555555555555554,21.0,9.571428571428571,10.285714285714286,10.571428571428571,11.785714285714286
147,Тоттенхэм,Норвич,Джарред Джиллетт,1.44,4.5,7.0,15,3,0,997,1030,-33,41,59,11,4,1,2,459,667,32,74,12,16,16,13,34,48,11,11,10,18,6,4,11,6,110,123,17,10,7,1,8,7,9,3,3-4-2-1,6.87,5-3-2,6.74,24.05,22.55,,,6.0,28.0,10.0,9.857142857142858,10.0,9.285714285714286
148,Астон Вилла,Лестер,Майкл Оливер,2.2,3.4,3.3,33,2,1,810,1410,-600,41,59,8,25,1,1,359,524,49,53,16,18,10,14,70,53,15,21,21,16,3,6,10,12,141,153,13,12,4,5,11,9,2,3,4-3-3,6.81,4-2-3-1,6.83,13.5,4.08,,,2.909090909090909,20.363636363636363,8.571428571428571,10.214285714285714,8.714285714285714,8.142857142857142
149,Эвертон,Арсенал,Майк Дин,3.6,3.5,2.05,20,2,1,828,1064,-236,36,64,8,12,2,2,329,588,50,62,13,15,14,12,46,52,16,14,13,19,3,3,11,10,157,143,11,10,5,3,7,8,4,2,4-4-1-1,6.83,4-2-3-1,6.86,15.43,9.0,,,3.0,18.444444444444443,8.714285714285714,9.142857142857142,8.714285714285714,9.142857142857142
150,Брентфорд,Уотфорд,Майкл Оливер,2.45,3.3,2.88,30,2,1,1880,453,1427,63,37,12,18,4,0,472,281,71,61,28,11,13,15,68,71,25,36,20,17,8,2,11,8,188,174,14,6,5,2,11,4,3,2,3-5-2,6.84,4-2-3-1,6.73,4.1,10.22,,,2.8333333333333335,21.416666666666668,10.714285714285714,10.6,14.571428571428571,14.0
151,Манчестер Сити,Вулверхэмптон,Джонатан Мосс,1.14,8.0,19.0,17,1,0,3184,40,3144,71,29,12,5,3,4,746,310,38,54,33,4,18,19,34,45,10,10,11,14,14,1,12,17,122,108,24,2,10,1,16,2,8,0,4-3-3,7.12,3-5-2,6.92,6.25,47.43,,,2.2222222222222223,18.555555555555557,8.142857142857142,9.0,12.142857142857142,10.066666666666666
