,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Арсенал,Динамо,Сергей Лапочкин,3.3,3.0,2.37,32,0,1,1301,934,367,53,47,15,17,0,3,413,366,58,79,23,18,24,12,63,58,21,21,11,17,4,4,9,11,146,145,18,15,2,6,7,9,11,6,4-3-3,0.0,4-2-3-1,0.0,8.95,10.4,,,4.0,20,10,10,10,10
1,Урал,Уфа,Сергей Карасев,2.1,3.2,3.6,22,1,0,1068,1138,-70,47,53,13,9,0,1,350,384,56,57,17,20,15,11,59,58,32,22,12,20,8,4,6,4,134,137,13,15,8,4,9,8,4,7,4-2-3-1,0.0,3-4-2-1,0.0,9.6,13.27,,,4.0,20,10,10,10,10
2,Спартак,Сочи,Владимир Москалев,1.4,4.5,7.5,23,0,0,1015,1376,-361,60,40,13,10,4,2,556,361,85,73,17,18,29,15,70,67,29,21,14,27,7,5,14,16,184,158,15,16,5,5,7,6,8,10,4-2-3-1,0.0,5-4-1,0.0,8.1,8.45,,,4.0,20,10,10,10,10
3,Ростов,Оренбург,Владислав Безбородов,2.05,3.1,3.8,34,2,0,1460,670,790,54,46,16,18,2,3,498,411,84,80,22,19,13,6,59,71,29,41,9,10,5,0,11,8,172,162,12,11,4,1,7,5,5,6,4-2-3-1,0.0,3-4-2-1,0.0,9.18,15.33,,,4.0,20,10,10,10,10
4,Крылья Советов,ЦСКА,Кирилл Левников,4.75,3.5,1.75,28,0,0,535,1851,-1316,30,70,14,14,1,3,279,623,65,52,12,24,13,10,53,45,18,21,12,8,2,5,17,9,113,149,9,19,6,2,5,11,4,8,4-5-1,0.0,4-3-3,0.0,18.43,5.87,,,4.0,20,10,10,10,10
5,Зенит,Тамбов,Алексей Еськов,1.16,7.5,13.0,30,0,0,1660,210,1450,63,37,16,14,2,2,645,369,79,63,23,4,24,14,59,63,21,12,11,23,2,1,11,14,136,119,12,7,6,3,9,3,3,4,4-4-2,0.0,4-4-2,0.0,8.54,12.76,,,4.0,20,10,10,10,10
6,Ахмат,Краснодар,Виталий Мешков,3.4,3.2,2.2,45,1,0,919,1347,-428,38,62,24,21,4,3,339,544,60,49,15,18,19,13,67,56,21,14,13,14,4,4,8,9,128,146,13,17,6,3,9,8,4,9,5-3-2,0.0,4-3-3,0.0,10.15,5.41,,,4.0,20,10,10,10,10
7,Локомотив,Рубин Казань,Михаил Вилков,1.55,3.8,6.5,31,0,0,945,886,59,49,51,19,12,2,3,498,511,45,68,12,14,18,8,46,53,10,15,13,17,3,5,14,13,135,141,16,15,4,5,8,8,8,7,4-2-3-1,0.0,4-4-2,0.0,8.22,13.18,,,4.0,20,10,10,10,10
8,Уфа,Краснодар,Алексей Еськов,4.5,3.3,1.85,25,2,0,517,1988,-1471,26,74,11,14,2,2,212,613,64,57,16,18,8,16,56,46,23,18,15,8,6,2,4,17,126,112,14,24,4,5,8,8,6,16,3-4-2-1,6.74,4-3-3,6.81,19.75,2.84,,,4.0,30.0,10,9.0,21.0,21.0
9,Крылья Советов,Арсенал,Павел Кукуян,2.3,3.0,3.4,33,1,2,833,1666,-833,45,55,17,16,3,5,368,441,61,52,16,23,14,6,43,69,17,21,9,27,5,9,12,6,141,132,10,19,4,7,8,7,2,12,4-2-3-1,7.21,4-2-3-1,6.94,11.9,9.7,,,4.0,20,14.0,14.0,10,15.0
