,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Бордо,Нант,Бенуа Бастьен,2.62,2.87,3.1,25,0,0,517,1021,-504,43,57,10,15,2,3,482,618,77,35,9,19,14,13,56,43,19,15,14,13,2,3,9,10,119,116,5,6,1,1,1,0,4,6,4-3-3,0.0,4-4-2,0.0,24.46,13.0,,,4.0,20,10,10,10,10
1,Дижон,Анже,Эрик Ваттелье,3.25,3.1,2.35,23,0,1,894,1520,-626,53,47,15,8,0,0,530,438,41,56,10,26,16,13,50,40,21,7,13,11,3,9,5,10,120,113,9,12,1,4,5,9,4,3,4-3-3,0.0,4-1-4-1,0.0,22.0,24.13,,,4.0,20,10,10,10,10
2,Лилль,Ренн,Клемент Терпин,1.85,3.4,4.2,28,1,0,907,949,-42,51,49,12,16,0,1,501,480,55,49,13,14,8,21,45,50,14,16,16,13,4,2,9,11,127,117,5,16,1,2,1,9,4,7,4-2-2-2,0.0,4-3-3,0.0,16.5,23.07,,,4.0,20,10,10,10,10
3,АС Монако,Реймс,Франсуа Летексье,1.85,3.4,4.333333333333334,22,1,2,2335,256,2079,76,24,8,14,1,3,735,235,48,59,36,6,12,19,63,59,20,12,23,24,8,1,11,11,132,114,22,9,5,3,16,7,6,2,4-3-3,0.0,4-4-2,0.0,3.79,21.19,,,4.0,20,10,10,10,10
4,Лорьян,Страсбург,Йохан Хамель,2.4,3.1,3.1,27,0,1,1520,404,1116,49,51,17,10,3,2,400,419,49,60,23,7,16,10,41,62,6,19,18,20,6,1,15,9,128,129,10,7,7,1,9,1,1,6,4-2-3-1,0.0,4-2-3-1,0.0,7.17,17.4,,,4.0,20,10,10,10,10
5,Ним,Брест,Джереми Пиньяр,2.25,3.2,3.4,31,2,0,1076,787,289,44,56,14,17,2,3,333,418,77,73,13,16,14,21,54,62,15,19,18,18,4,4,14,8,137,151,12,10,5,3,10,6,2,4,4-2-3-1,0.0,4-2-3-1,0.0,8.21,6.07,,,4.0,20,10,10,10,10
6,Ницца,Ленс,Джером Мигельгорри,2.0,3.3,3.9,35,1,1,576,1236,-660,57,43,17,18,2,3,515,353,50,60,5,29,9,15,45,47,10,14,12,6,1,7,11,18,111,114,4,16,2,4,2,12,2,4,4-3-3,0.0,3-4-1-2,0.0,7.27,12.41,,,4.0,20,10,10,10,10
7,Монпелье,Лион,Франсуа Летексье,3.5,3.6,2.05,26,1,0,795,1661,-866,44,56,13,13,3,2,391,488,55,50,16,26,10,28,47,70,21,19,12,17,4,11,9,7,127,127,10,19,3,7,7,12,3,7,3-5-2,6.92,3-4-1-2,7.1,11.09,8.74,,,4.0,22.0,10,10,10,10
8,ПСЖ,Мец,Микаэль Лесаж,1.22,5.25,12.0,14,0,0,2506,119,2387,71,29,8,6,3,2,638,254,47,64,31,9,14,19,41,54,15,17,12,16,8,2,9,13,135,127,20,7,8,1,12,4,8,3,4-3-3,6.74,3-4-1-2,6.81,6.94,36.3,,,4.0,20,10,10,10,10
9,Марсель,Сент-Этьен,Рудди Буке,1.8,3.5,4.75,28,0,1,1415,927,488,59,41,13,15,2,2,519,344,52,61,20,18,17,14,50,52,10,15,16,20,7,6,14,15,157,143,13,12,2,5,10,8,3,4,4-3-3,6.83,4-4-2,7.08,8.77,10.17,,,4.0,20,10,10,10,10
10,Лион,Дижон,Бенуа Милло,1.25,5.5,12.0,19,3,1,3065,125,2940,64,36,12,7,3,3,538,311,45,60,45,9,29,12,59,51,24,6,13,23,13,2,13,18,135,124,27,6,12,2,22,2,5,4,3-4-1-2,0.0,4-2-3-1,0.0,6.0,28.6,,,4.0,20,10,13.0,10,15.0
11,Ренн,Монпелье,Вилли Делайод,1.8,3.5,4.5,34,1,0,1572,564,1008,66,34,18,16,3,2,611,293,54,69,8,12,20,18,66,62,19,19,21,17,2,1,8,13,130,129,16,10,7,3,7,6,9,4,4-3-3,0.0,3-5-1-1,0.0,5.11,13.27,,,4.0,20,10,16.0,10,13.0
