,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Манчестер Юнайтед,Лестер,Андре Марринер,1.55,4.0,7.5,19,1,0,1136,1537,-401,46,54,11,8,2,1,485,543,57,54,12,27,14,18,53,47,10,13,26,14,2,5,17,12,139,164,8,13,6,4,5,5,3,8,4-3-3,0.0,4-2-3-1,0.0,15.83,11.46,,,3.0,20,10,10,10,10
1,Ньюкасл,Тоттенхэм,Мартин Аткинсон,4.75,3.6,1.85,23,1,2,1290,1576,-286,40,60,11,12,2,2,387,573,73,63,12,17,28,9,75,62,33,21,15,27,3,5,21,10,184,166,15,15,2,5,9,12,6,3,4-4-1-1,0.0,4-3-2-1,0.0,17.45,5.66,,,3.0,20,10,10,10,10
2,Борнмут,Кардифф,Кевин Френд,1.85,3.6,4.75,20,1,0,1659,691,968,62,38,11,9,1,1,502,287,57,77,11,18,21,17,62,73,32,31,11,22,7,4,4,15,168,158,12,10,4,1,10,8,2,2,4-4-2,0.0,4-1-4-1,0.0,5.63,15.82,,,3.0,20,10,10,10,10
3,Фулхэм,Кристал Пэлас,Майк Дин,2.6,3.4,2.87,20,0,1,1442,747,695,66,34,9,11,1,2,672,347,70,55,32,12,15,22,55,63,10,20,25,21,5,5,15,14,144,143,15,12,6,10,6,8,9,4,4-3-3,0.0,4-4-2,0.0,4.53,22.79,,,3.0,20,10,10,10,10
4,Хаддерсфилд,Челси,Крис Кавана,7.0,4.0,1.5699999999999998,17,0,2,1270,1671,-401,37,63,9,8,2,1,372,658,87,52,23,11,11,21,60,53,22,17,25,12,2,5,16,9,145,134,6,13,1,4,4,10,2,3,3-5-1-1,0.0,4-3-3,0.0,11.55,12.67,,,3.0,20,10,10,10,10
5,Уотфорд,Брайтон,Джонатан Мосс,2.5,3.1,3.3,26,1,0,1901,386,1515,53,47,10,16,2,2,437,385,79,79,20,15,14,11,55,60,16,24,17,17,8,2,11,17,159,139,19,6,5,0,12,5,7,1,4-2-2-2,0.0,4-4-1-1,0.0,8.7,14.25,,,3.0,20,10,10,10,10
6,Вулверхэмптон,Эвертон,Крэйг Поусон,2.4,3.25,3.3,15,1,1,1440,1035,405,57,43,8,7,0,1,547,409,69,68,25,15,18,7,50,55,21,24,13,23,3,6,9,11,162,152,11,8,4,5,3,7,8,1,3-4-3,0.0,4-2-3-1,0.0,25.33,15.6,,,3.0,20,10,10,10,10
7,Ливерпуль,Вест Хэм,Энтони Тейлор,1.25,7.0,12.0,23,2,0,2522,337,2185,64,36,14,9,1,2,673,360,43,54,21,12,15,15,38,54,7,10,19,23,5,4,9,11,124,113,18,5,8,2,13,4,5,1,4-3-3,0.0,4-2-3-1,0.0,8.03,25.19,,,3.0,20,10,10,10,10
8,Саутгемптон,Бернли,Грэм Скотт,2.0,3.3,4.5,19,0,0,1595,1734,-139,47,53,10,9,0,1,369,408,61,69,20,20,14,11,57,50,25,28,16,9,8,5,4,5,132,144,18,16,3,6,9,10,9,6,3-4-2-1,0.0,4-4-1-1,0.0,16.58,7.81,,,3.0,20,10,10,10,10
9,Арсенал,Манчестер Сити,Майкл Оливер,4.333333333333334,4.0,1.83,25,0,1,779,1907,-1128,42,58,11,14,2,2,401,555,53,52,12,15,7,15,54,34,14,8,22,6,2,9,12,12,127,144,9,17,3,8,5,8,4,9,4-2-3-1,0.0,4-2-3-1,0.0,13.56,10.95,,,3.0,20,10,10,10,10
10,Кардифф,Ньюкасл,Крэйг Поусон,3.3,3.1,2.5,30,0,0,1123,934,189,51,49,14,16,2,2,314,305,71,74,23,11,9,9,80,61,34,33,22,12,5,5,12,8,165,185,12,12,1,6,7,10,5,2,4-3-3,0.0,4-4-1-1,0.0,5.03,6.29,,,1.0,15.0,10,9.0,10,11.0
11,Эвертон,Саутгемптон,Ли Мейсон,1.85,3.5,5.0,28,2,0,1690,1133,557,58,42,8,20,0,5,423,299,69,76,19,16,12,7,68,54,22,31,18,11,2,5,14,13,155,168,13,15,7,4,9,9,4,6,4-2-3-1,0.0,4-4-2,0.0,5.07,9.82,,,3.0,20,10,7.0,10,10.0
12,Лестер,Вулверхэмптон,Майк Дин,2.14,3.4,3.75,18,2,0,476,2099,-1623,42,58,10,8,2,1,382,500,45,54,13,29,31,20,71,56,18,19,24,18,1,9,13,11,125,160,6,11,2,3,1,6,5,5,4-2-3-1,0.0,3-4-2-1,0.0,15.39,7.13,,,3.0,20.0,10,8.0,10,8.0
13,Тоттенхэм,Фулхэм,Энтони Тейлор,1.28,6.0,12.0,14,1,0,3264,612,2652,59,41,9,5,0,0,629,435,51,62,27,7,12,12,37,40,14,7,12,13,5,2,12,10,120,119,25,10,11,3,18,5,7,5,3-1-4-2,0.0,4-3-3,0.0,8.38,89.5,,,3.0,23.0,10,12.0,10,9.0
14,Вест Хэм,Борнмут,Стюарт Аттвелл,2.14,3.5,3.6,24,1,0,1602,1212,390,61,39,14,10,6,2,494,321,64,45,23,11,16,22,67,54,26,19,21,11,6,4,9,6,137,124,11,12,5,5,6,8,5,4,4-4-2,0.0,4-4-2,0.0,6.77,15.41,,,3.0,20,10,9.0,10,11.0
15,Челси,Арсенал,Мартин Аткинсон,1.85,3.8,4.5,21,2,2,2490,896,1594,62,38,12,9,0,2,720,429,58,62,15,12,12,12,49,43,15,12,16,14,5,1,7,12,123,118,24,15,11,6,12,9,12,6,4-3-3,0.0,4-2-3-1,0.0,10.76,18.14,,,4.0,23.0,10,8.0,10,11.0
16,Бернли,Уотфорд,Пол Тирни,2.45,3.1,3.4,27,1,1,1287,1017,270,58,42,8,19,1,2,461,345,94,74,32,7,9,11,68,56,32,26,15,18,5,2,10,13,181,158,8,9,3,6,5,5,3,4,4-4-1-1,0.0,4-2-2-2,0.0,7.84,8.73,,,3.0,20,10,9.0,10,10.0
17,Манчестер Сити,Хаддерсфилд,Андре Марринер,1.08,13.0,34.0,13,3,1,4014,363,3651,76,24,9,4,0,2,760,224,43,63,24,12,23,4,44,46,17,19,5,16,10,3,5,7,104,109,32,5,14,1,20,3,12,2,3-1-4-2,0.0,4-4-2,0.0,9.18,35.22,,,3.0,19.0,10,14.0,10,9.0
18,Брайтон,Манчестер Юнайтед,Кевин Френд,6.0,3.6,1.72,29,3,1,858,1759,-901,33,67,16,13,1,1,283,572,77,56,13,17,6,20,56,58,12,23,28,12,3,5,10,4,140,159,6,9,3,3,5,6,1,3,4-4-1-1,0.0,4-3-3,0.0,11.03,9.36,,,2.0,20.0,10,16.0,10,11.0
19,Кристал Пэлас,Ливерпуль,Майкл Оливер,8.0,5.25,1.4,19,0,1,618,1956,-1338,36,64,6,13,1,1,359,625,58,49,16,23,27,21,63,56,19,13,14,22,6,7,14,10,127,124,8,16,2,6,4,9,4,7,4-4-2,0.0,4-3-3,0.0,30.08,7.43,,,4.0,25.0,10,11.0,10,14.0
20,Вулверхэмптон,Манчестер Сити,Мартин Аткинсон,12.0,5.75,1.3,21,0,0,550,2694,-2144,28,72,13,8,1,2,260,644,57,36,14,30,12,20,48,51,15,13,19,9,5,9,10,7,120,137,11,18,2,6,7,9,4,9,3-4-2-1,0.0,4-3-3,0.0,22.88,6.83,,,3.0,22.0,8.0,8.0,14.0,11.5
21,Арсенал,Вест Хэм,Грэм Скотт,1.4,5.5,8.0,29,1,1,2032,918,1114,61,39,16,13,1,3,544,341,45,49,21,15,15,24,51,61,14,15,15,14,7,2,6,17,134,131,17,13,10,5,9,6,8,7,4-2-3-1,0.0,4-4-1-1,0.0,5.03,17.72,,,1.0,19.0,11.0,10.0,9.0,11.5
22,Борнмут,Эвертон,Ли Проберт,2.6,3.5,2.8,22,0,0,2082,1132,950,49,51,12,10,0,3,382,389,47,73,22,15,15,15,50,58,16,19,18,21,6,2,8,13,139,136,17,11,5,3,12,5,5,6,4-4-2,0.0,4-4-1-1,0.0,9.35,9.45,,,3.0,20,11.0,10.5,7.0,7.5
23,Хаддерсфилд,Кардифф,Майкл Оливер,2.45,3.0,3.5,18,0,0,1225,1469,-244,58,42,8,10,0,1,396,289,70,61,26,15,3,8,53,65,27,35,14,19,7,7,6,11,166,156,5,14,1,4,3,8,2,6,4-2-3-1,0.0,4-1-4-1,0.0,8.83,8.48,,,3.0,22.0,9.0,6.5,9.0,11.5
24,Саутгемптон,Лестер,Джонатан Мосс,2.35,3.4,3.3,24,0,0,1771,933,838,51,49,13,11,3,1,447,425,61,59,28,15,17,8,60,48,21,20,18,14,10,3,13,8,134,128,11,8,5,5,5,5,6,3,4-4-2,0.0,4-2-3-1,0.0,7.77,13.29,,,4.0,26.0,10.0,15.0,8.0,9.0
25,Ливерпуль,Брайтон,Крис Кавана,1.14,9.0,23.0,22,1,0,2814,282,2532,70,30,8,14,1,1,765,327,47,60,24,11,15,14,61,54,18,19,21,21,8,5,9,29,160,143,22,6,8,2,16,4,6,2,4-3-3,0.0,4-5-1,0.0,6.69,19.64,,,3.0,17.0,14.0,13.5,16.0,16.0
26,Уотфорд,Кристал Пэлас,Энтони Тейлор,2.37,3.3,3.3,25,0,0,1315,1107,208,43,57,14,11,4,2,331,436,72,79,18,9,17,12,69,57,24,24,26,19,6,3,19,5,168,175,13,9,5,3,8,8,5,1,4-2-2-2,0.0,4-4-2,0.0,9.59,6.6,,,1.5,18.5,10.0,14.5,11.0,8.5
27,Фулхэм,Бернли,Дэвид Кут,2.25,3.25,3.6,19,3,2,2288,692,1596,63,37,11,8,2,1,572,301,72,78,16,27,13,11,34,55,14,17,9,21,6,4,4,11,129,131,25,12,12,2,8,9,17,3,4-3-3,0.0,4-4-1-1,0.0,11.71,18.58,,,3.0,20,9.0,7.0,9.0,8.5
28,Ньюкасл,Челси,Пол Тирни,6.5,4.2,1.5699999999999998,24,0,0,497,2836,-2339,18,82,16,8,3,1,200,913,60,33,17,23,8,12,42,53,12,13,21,17,4,5,17,5,117,130,6,15,2,3,2,10,4,5,5-4-1,0.0,4-3-3,0.0,24.14,4.44,,,3.0,27.0,11.0,13.5,8.0,10.0
29,Манчестер Юнайтед,Тоттенхэм,Крэйг Поусон,2.62,3.3,2.9,27,0,0,2284,846,1438,57,43,11,16,2,3,488,382,79,69,26,6,11,11,58,51,24,13,11,23,5,2,10,21,176,163,23,9,5,5,16,8,7,1,3-5-1-1,0.0,4-3-1-2,0.0,9.43,8.41,,,2.5,22.5,11.0,12.0,12.0,10.5
30,Лестер,Ливерпуль,Пол Тирни,7.5,5.0,1.44,21,0,2,1453,1280,173,51,49,9,12,3,2,496,473,59,58,17,8,17,15,63,52,17,17,23,18,4,4,6,10,153,158,12,10,5,4,3,7,9,3,4-2-3-1,0.0,4-3-3,0.0,13.0,9.89,,,3.5,25.5,10.0,9.666666666666666,13.0,11.666666666666666
31,Брайтон,Фулхэм,Ли Проберт,2.14,3.5,3.6,26,0,1,1756,1015,741,41,59,12,14,3,3,370,551,66,57,29,10,16,19,50,52,15,15,17,14,7,1,18,9,147,134,15,10,5,5,12,7,3,3,4-4-1-1,0.0,4-3-3,0.0,11.48,13.64,,,3.0,22.0,16.0,15.333333333333334,5.0,8.333333333333334
