,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
47,Нант,Реймс,Вилли Делайод,2.15,3.1,3.75,33,0,0,1006,653,353,53,47,18,15,1,3,484,413,55,67,15,15,15,21,64,61,23,23,20,16,7,5,10,10,146,147,8,9,4,1,6,7,2,2,4-2-3-1,7.0,4-3-3,6.99,8.61,15.05,,,6.5,35.0,15.0,15.0,11.0,14.75
48,Сент-Этьен,Тулуза,Джереми Стинат,1.5699999999999998,4.0,6.0,28,1,2,1754,744,1010,59,41,15,13,3,0,447,320,52,44,37,11,16,16,51,57,16,14,13,19,9,7,13,12,123,116,14,10,4,7,8,6,6,4,4-2-3-1,6.81,4-2-3-1,6.83,6.44,19.33,,,2.0,22.0,16.0,11.25,13.5,13.25
49,АС Монако,Марсель,Энтони Готье,2.0,3.6,3.6,23,2,2,1478,1099,379,43,57,9,14,3,3,378,506,42,48,23,17,18,14,47,48,13,16,10,14,6,4,13,7,115,111,12,13,8,6,9,10,3,3,4-4-2,6.61,4-3-3,6.8,17.42,9.24,,,4.666666666666667,26.0,12.0,12.0,15.5,16.25
50,Страсбург,Нант,Флоран Батта,2.25,3.0,3.5,27,0,1,1885,358,1527,60,40,11,16,2,2,513,334,72,61,28,11,12,9,68,40,27,11,18,15,9,2,5,6,145,127,17,10,5,3,12,5,5,5,3-4-1-2,6.82,4-4-1-1,7.0,8.62,13.38,,,1.5,30.0,11.0,12.8,15.0,15.6
51,Марсель,Монпелье,Амори Делерю,1.95,3.2,4.333333333333334,28,0,1,2613,222,2391,65,35,11,17,3,3,576,310,36,76,38,8,29,19,73,58,16,24,19,15,15,1,4,13,151,138,24,2,5,1,9,1,15,1,4-3-3,6.83,3-4-1-2,6.89,8.13,10.74,,,3.5,27.5,17.0,15.8,16.5,16.8
52,Бордо,Брест,Бенуа Милло,1.72,3.5,5.25,20,1,2,1182,1188,-6,55,45,9,11,4,3,510,392,44,64,21,29,18,8,49,40,20,8,10,17,5,9,6,8,133,138,18,13,5,3,8,8,10,5,3-4-3,6.78,4-2-3-1,6.81,13.24,22.21,,,5.0,22.0,16.5,16.0,12.5,12.8
53,Мец,Амьен,Хаким Бен эль Салем Хадж,2.15,3.1,3.75,25,0,1,1066,982,84,51,49,13,12,1,1,459,462,60,76,32,14,29,13,72,60,24,19,23,25,4,6,14,13,167,154,13,9,4,5,6,5,7,4,4-3-3,6.75,4-2-3-1,6.67,10.56,10.04,,,2.5,29.0,13.0,12.2,8.0,10.0
54,Ним,Тулуза,Карим Абед,2.0,3.5,3.75,25,1,0,1150,886,264,40,60,14,11,1,3,344,502,71,57,15,22,10,24,66,61,26,19,27,17,5,7,12,9,125,166,19,9,4,2,11,5,8,4,4-2-3-1,6.79,4-2-3-1,6.83,11.41,12.27,,,3.0,23.0,16.0,13.6,13.333333333333334,13.2
55,Ницца,Дижон,Вилли Делайод,1.75,3.3,5.25,20,1,1,1389,712,677,66,34,7,13,2,3,604,307,44,60,10,9,34,13,58,49,8,9,18,25,6,3,14,13,143,119,16,13,6,7,9,9,7,4,4-3-3,6.82,4-2-3-1,6.78,5.79,14.54,,,5.666666666666667,34.333333333333336,8.5,10.6,11.0,13.0
56,Реймс,АС Монако,Оливье Туаль,2.5,3.3,2.9,26,0,0,1011,931,80,45,55,16,10,0,2,382,471,56,37,20,15,18,14,47,45,9,5,19,19,6,3,15,3,114,121,16,12,4,4,10,4,6,8,4-2-3-1,6.92,3-5-2,6.59,9.32,15.94,,,1.3333333333333333,24.666666666666668,18.5,14.8,12.0,11.4
57,Ренн,Лилль,Бризар Джером,2.9,3.0,2.55,25,0,0,936,1170,-234,50,50,14,11,2,2,443,430,51,59,19,17,22,21,53,63,15,22,18,20,4,8,4,9,130,116,11,15,3,6,4,7,7,8,4-4-2,6.81,4-2-3-1,6.85,16.25,11.96,,,1.0,23.5,14.0,14.4,11.0,9.4
58,Анже,Сент-Этьен,Фрэнк Шнайдер,2.0,3.3,3.8,25,0,1,1141,836,305,50,50,13,12,1,1,475,464,63,59,14,17,16,22,56,55,18,13,18,16,5,4,21,12,126,140,14,6,5,2,10,4,4,2,4-1-4-1,6.7,4-2-3-1,6.82,9.25,12.78,,,2.0,30.0,12.333333333333334,13.4,9.666666666666666,12.0
59,Лион,ПСЖ,Рудди Буке,3.5,4.2,1.85,14,0,0,346,1811,-1465,37,63,8,6,1,1,396,678,33,48,12,19,23,21,39,58,5,4,17,32,2,11,5,6,99,106,12,21,0,7,3,13,9,8,3-5-2,6.98,4-3-3,7.03,21.47,7.89,,,3.75,22.0,9.5,12.2,16.0,13.8
60,Дижон,Марсель,Джереми Стинат,3.25,3.4,2.2,23,0,0,1229,847,382,44,56,9,14,3,3,399,494,67,59,15,14,24,21,60,66,19,28,16,21,8,3,17,15,155,140,18,9,6,2,10,7,8,2,4-2-3-1,6.76,4-3-3,6.85,12.44,5.93,,,2.5,25.0,14.333333333333334,13.0,15.0,15.0
