,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
68,Фюрт,Бохум,Бастиан Данкерт,2.25,3.5,3.1,32,0,1,1157,723,434,56,44,16,16,2,4,448,344,85,108,11,17,15,14,55,74,15,35,17,16,4,3,9,13,176,178,11,10,3,2,6,7,5,3,4-3-1-2,6.62,4-3-3,6.63,5.3,9.04,,,5.0,26.5,16.0,14.428571428571429,13.25,13.0
69,Мгладбах,Штутгарт,Феликс Брых,1.45,4.75,6.0,35,1,1,2130,417,1713,59,41,14,21,3,3,617,434,41,51,19,6,12,16,63,52,14,16,19,16,9,1,7,15,143,143,31,5,9,2,18,2,13,3,3-4-2-1,6.87,3-1-4-2,6.85,9.54,12.22,,,3.0,19.0,11.333333333333334,10.0,12.0,11.571428571428571
70,Леверкузен,Бавария М.,Свен Яблонски,4.5,4.5,1.62,18,1,5,461,2563,-2102,41,59,9,9,0,0,446,661,39,28,8,17,24,19,38,54,5,9,13,25,4,7,14,15,126,125,6,27,4,11,4,18,2,9,4-2-3-1,6.99,4-2-3-1,7.09,26.38,9.3,,,4.0,18.666666666666668,10.333333333333334,9.142857142857142,10.0,8.428571428571429
71,Аугсбург,Билефельд,Роберт Шредер,2.05,3.2,3.8,23,1,1,1359,914,445,50,50,8,15,3,1,369,382,79,64,24,20,7,11,58,50,26,22,15,14,9,5,12,16,168,174,14,10,6,2,7,3,7,7,3-5-2,6.66,4-3-1-2,6.74,9.78,7.32,,,4.333333333333333,28.333333333333332,10.666666666666666,12.0,12.333333333333334,13.285714285714286
72,Майнц 05,Аугсбург,Роберт Хартманн,1.6,3.75,6.0,20,4,1,1824,483,1341,55,45,9,11,1,3,485,407,50,83,19,12,19,21,58,52,21,9,15,22,6,2,14,12,160,167,21,6,9,2,17,2,4,4,3-5-2,6.84,3-4-1-2,6.68,8.04,9.83,,,4.333333333333333,30.0,16.0,15.5,13.0,11.5
73,Билефельд,Дортмунд,Бенджамин Брэнд,6.0,4.75,1.5,22,1,3,819,1381,-562,31,69,13,9,1,0,348,825,58,71,17,6,15,25,53,57,13,10,23,21,7,2,15,11,152,142,16,14,7,7,6,9,10,5,3-4-1-2,6.75,3-4-2-1,6.91,22.42,6.83,,,2.0,28.0,14.0,13.5,13.333333333333334,10.125
74,Бавария М.,Хоффенхайм,Матиас Йолленбек,1.14,9.0,15.0,22,4,0,1832,556,1276,61,39,4,18,0,4,654,410,53,44,11,13,26,9,55,32,8,9,15,16,4,2,5,14,147,139,15,9,7,2,10,6,5,3,4-2-3-1,7.14,3-4-2-1,6.9,18.38,15.3,,,3.0,31.0,7.25,8.5,8.75,10.75
75,РБ Лейпциг,Фюрт,Кристиан Дингерт,1.13,8.5,21.0,27,4,1,1337,828,509,57,43,15,12,2,0,519,388,59,70,18,24,17,17,63,60,20,18,22,19,3,4,13,15,179,183,13,9,5,4,9,5,4,4,3-4-2-1,6.96,4-2-3-1,6.63,6.83,9.86,,,7.0,28.0,9.25,10.75,13.25,14.625
76,Вольфсбург,Фрайбург,Тобиас Вельц,2.1,3.3,3.6,32,0,2,1167,684,483,57,43,17,15,3,0,427,344,70,72,36,14,16,5,61,47,25,17,10,13,7,1,13,9,154,144,18,11,4,4,13,7,5,4,4-3-3,6.86,3-4-3,6.92,6.34,12.0,,,3.0,19.5,13.25,14.375,13.75,12.875
77,Герта,Мгладбах,Бенджамин Кортус,3.5,3.5,2.05,32,1,0,598,1200,-602,42,58,11,21,2,2,379,518,57,46,10,17,15,25,62,51,10,18,25,13,2,6,13,9,155,165,10,10,4,1,7,7,3,3,4-2-3-1,6.62,3-4-1-2,6.89,12.46,7.34,,,4.0,27.0,13.666666666666666,13.75,9.0,10.5
78,Кельн,Леверкузен,Феликс Цвайер,3.3,4.0,2.0,25,2,2,2112,834,1278,62,38,10,15,1,3,461,290,49,72,28,9,15,32,53,58,17,12,19,17,6,6,11,16,178,164,19,9,5,6,12,8,7,1,4-3-1-2,6.86,4-2-3-1,6.9,3.48,12.68,,,4.75,22.5,14.25,13.25,8.25,9.125
79,Штутгарт,Юнион Берлин,Флориан Бадстабнер,2.3,3.4,3.1,29,1,1,725,1035,-310,55,45,16,13,3,1,579,458,56,55,12,19,20,9,56,50,15,10,13,18,1,2,14,22,131,134,8,12,2,3,7,8,1,4,3-1-4-2,6.86,3-5-2,6.87,10.59,13.41,,,3.0,18.666666666666668,11.25,12.75,9.333333333333334,10.25
80,Бохум,Э. Франкфурт,Марко Фриц,3.6,3.7,1.95,20,2,0,898,1284,-386,41,59,9,11,0,2,333,486,84,63,13,16,20,24,65,54,24,16,19,17,4,7,16,4,175,179,19,16,7,6,11,10,8,6,4-3-3,6.67,3-4-1-2,6.76,11.28,7.8,,,2.0,18.666666666666668,12.666666666666666,13.375,14.0,13.25
81,Хоффенхайм,Герта,Свен Яблонски,1.7,3.9,4.75,23,2,0,1650,770,880,54,46,14,9,2,1,521,451,63,47,26,15,10,16,48,51,15,14,20,15,9,4,12,14,134,143,13,5,3,2,12,3,1,2,3-4-1-2,6.85,4-2-3-1,6.66,7.92,19.94,,,3.0,18.5,12.75,11.555555555555555,13.8,13.444444444444445
82,Юнион Берлин,Бавария М.,Вред Осмерс,9.0,5.5,1.3,16,2,5,930,1473,-543,39,61,9,7,1,1,375,601,58,60,24,13,13,22,40,46,9,17,14,10,6,1,8,9,141,137,9,11,6,6,4,9,5,2,3-5-2,6.86,4-2-3-1,7.15,27.43,13.94,,,3.6666666666666665,23.333333333333332,10.8,10.555555555555555,9.75,8.0
83,Билефельд,Майнц 05,Бастиан Данкерт,3.5,3.4,2.1,25,1,2,770,1217,-447,49,51,16,9,2,3,447,447,84,55,16,21,16,16,62,65,26,27,17,15,6,6,7,10,184,170,14,16,5,5,5,12,9,4,3-1-4-2,6.74,3-1-4-2,6.87,12.45,13.81,,,5.333333333333333,28.333333333333332,13.8,13.444444444444445,15.0,14.777777777777779
84,Леверкузен,Вольфсбург,Дениз Айтекин,1.91,3.75,3.8,26,0,2,1829,884,945,66,34,11,15,3,2,508,266,51,51,26,11,28,13,61,65,13,16,20,29,10,2,7,14,156,132,13,12,1,8,7,9,6,3,3-4-2-1,6.89,3-4-2-1,6.85,4.1,8.41,,,4.25,26.5,10.0,9.777777777777779,15.5,14.666666666666666
85,Дортмунд,Кельн,Мартин Петерсен,1.45,4.75,6.5,21,2,0,851,1617,-766,42,58,10,11,2,3,402,537,63,63,8,22,18,14,53,44,13,11,18,19,4,3,8,14,147,154,8,21,5,5,6,13,2,8,3-4-2-1,6.93,4-1-3-2,6.87,13.83,6.26,,,3.3333333333333335,25.333333333333332,8.2,10.0,12.25,12.88888888888889
86,Фрайбург,Фюрт,Феликс Брых,1.36,4.75,8.0,23,3,1,1226,768,458,51,49,10,13,0,2,422,415,56,54,10,9,17,18,62,55,20,17,22,19,5,2,8,10,142,153,12,8,5,4,5,3,7,5,4-2-3-1,6.92,4-3-3,6.6,10.0,9.46,,,3.75,23.0,12.0,13.11111111111111,13.0,14.333333333333334
87,Э. Франкфурт,РБ Лейпциг,Даниэль Шлагер,4.333333333333334,4.0,1.75,20,1,1,667,1388,-721,46,54,11,9,1,1,456,525,73,72,11,18,10,11,45,55,14,25,19,14,5,5,9,14,179,170,11,14,3,6,5,13,6,1,3-4-2-1,6.75,3-4-2-1,6.97,12.0,11.26,,,4.333333333333333,23.333333333333332,12.5,13.0,12.25,11.222222222222221
88,Аугсбург,Штутгарт,Патрик Иттрих,2.7,3.2,2.63,27,4,1,1083,1114,-31,33,67,15,12,3,4,271,583,56,38,20,19,20,26,51,65,12,14,17,19,7,5,10,12,143,147,18,13,10,3,10,8,8,5,4-4-2,6.67,3-1-4-2,6.85,13.14,7.67,,,4.333333333333333,28.333333333333332,10.0,11.444444444444445,14.25,13.11111111111111
89,Мгладбах,Бохум,Тобиас Райхель,1.3,5.5,9.0,22,2,1,1651,782,869,66,34,7,15,1,1,622,324,50,71,19,11,23,7,49,37,10,8,13,21,9,1,5,15,154,140,15,12,5,4,11,8,4,4,4-2-3-1,6.86,4-3-3,6.73,15.42,12.84,,,2.3333333333333335,24.666666666666668,12.0,11.666666666666666,13.8,12.88888888888889
90,Майнц 05,Мгладбах,Роберт Шредер,2.63,3.6,2.55,23,1,1,1335,703,632,47,53,15,8,3,3,423,491,61,75,22,6,15,27,50,58,11,11,19,16,9,1,16,11,158,152,19,12,8,5,11,7,8,5,3-5-2,6.87,3-4-2-1,6.88,7.12,15.56,,,4.25,27.0,14.6,14.2,11.4,11.2
91,Бавария М.,Фрайбург,Саша Стегеманн,1.14,9.0,15.0,18,2,1,1968,520,1448,63,37,5,13,0,0,641,357,65,57,19,21,28,21,55,63,18,22,10,23,6,4,9,9,141,155,29,13,11,3,22,7,7,6,4-2-3-1,7.13,3-4-3,6.92,15.8,13.45,,,3.5,24.25,6.6,7.9,14.0,12.8
92,Штутгарт,Билефельд,Кристиан Дингерт,1.91,3.6,4.0,22,0,1,1290,633,657,66,34,11,11,0,3,681,343,59,56,18,19,15,16,59,50,24,21,18,11,8,4,8,27,182,159,9,15,3,3,5,8,4,7,3-4-1-2,6.83,4-2-3-1,6.73,8.2,15.96,,,4.5,27.5,12.2,13.0,13.0,13.7
93,Бохум,Хоффенхайм,Фрэнк Вилленборг,3.8,3.8,1.91,27,2,0,734,889,-155,38,62,7,20,1,5,330,545,114,57,12,22,8,13,58,39,20,17,15,10,2,4,13,5,151,161,12,10,5,1,7,3,5,7,4-3-3,6.72,3-1-4-2,6.86,18.67,6.56,,,5.0,22.333333333333332,11.75,13.1,10.6,11.8
94,Вольфсбург,Аугсбург,Марко Фриц,1.5699999999999998,4.0,6.0,27,1,0,1113,775,338,62,38,14,13,2,3,584,344,48,60,13,22,9,9,52,42,25,16,10,7,0,8,11,7,129,142,8,10,3,3,6,5,2,5,3-4-2-1,6.86,4-4-1-1,6.7,8.73,28.29,,,2.0,19.0,14.0,14.7,12.6,11.8
95,РБ Лейпциг,Дортмунд,Феликс Цвайер,1.8,3.8,4.2,30,2,1,1511,565,946,54,46,12,18,3,5,494,425,62,60,15,14,25,16,59,52,15,15,10,18,5,6,13,10,162,162,14,11,6,3,11,8,3,3,3-4-2-1,6.96,3-4-2-1,6.94,10.61,8.82,,,4.6,23.0,10.4,11.0,12.25,10.0
96,Герта,Леверкузен,Роберт Хартманн,3.4,3.6,2.1,25,1,1,1034,1028,6,46,54,13,12,1,3,392,452,53,59,13,17,12,19,61,47,18,12,22,12,5,6,10,8,149,153,15,9,5,4,7,5,8,4,4-2-3-1,6.65,4-2-3-1,6.87,11.08,9.48,,,4.25,27.5,13.0,13.0,9.6,9.9
97,Кельн,Юнион Берлин,Тобиас Стилер,1.95,3.5,3.8,28,2,2,1970,332,1638,70,30,9,19,2,2,582,251,88,70,28,8,8,9,53,45,31,18,6,11,5,2,16,9,155,153,18,10,5,3,13,6,5,4,4-2-3-1,6.85,3-5-2,6.82,6.19,15.67,,,3.75,24.0,13.4,12.7,10.25,10.4
98,Фюрт,Э. Франкфурт,Дэниел Зиберт,3.4,3.75,2.05,29,1,2,959,739,220,54,46,12,17,4,1,440,379,72,62,25,12,17,9,58,53,17,20,13,16,6,3,11,6,157,165,20,16,2,4,14,7,6,9,4-3-3,6.6,3-4-2-1,6.76,10.0,11.13,,,4.5,22.0,16.0,14.2,13.4,12.8
99,Аугсбург,Бавария М.,Дэниел Зиберт,15.0,8.0,1.17,27,2,1,300,3150,-2850,21,79,18,9,2,1,201,779,68,55,11,31,12,31,55,67,18,19,24,13,1,10,9,6,131,162,5,18,3,4,4,12,1,6,4-4-2,6.7,4-2-3-1,7.12,26.69,4.63,,,4.6,23.4,11.0,11.909090909090908,9.2,7.636363636363637
100,Хоффенхайм,РБ Лейпциг,Тобиас Вельц,4.333333333333334,4.2,1.7,35,2,0,1555,491,1064,41,59,17,18,2,2,366,530,61,42,19,14,15,16,67,46,12,11,26,13,7,2,15,9,145,156,23,5,8,0,21,3,2,2,3-4-3,6.84,3-4-2-1,6.97,10.45,6.48,,,3.0,23.666666666666668,13.0,12.545454545454545,11.6,11.090909090909092
101,Билефельд,Вольфсбург,Мартин Петерсен,3.8,3.4,2.0,24,2,2,682,1680,-998,37,63,15,9,4,1,313,538,73,60,17,21,18,21,42,74,13,26,15,20,6,5,17,8,152,161,10,13,3,5,4,8,6,5,4-2-3-1,6.75,3-4-2-1,6.88,13.77,6.2,,,3.75,24.25,14.166666666666666,13.454545454545455,15.4,14.636363636363637
102,Леверкузен,Бохум,Даниэль Шлагер,1.44,4.75,6.5,23,1,0,979,996,-17,55,45,10,13,3,2,485,393,71,65,10,19,33,13,54,58,14,15,12,24,7,7,4,7,163,148,11,21,5,7,6,10,5,11,4-4-2,6.86,4-3-3,6.76,12.22,9.28,,,3.75,22.5,10.2,10.090909090909092,14.0,12.545454545454545
103,Дортмунд,Штутгарт,Вред Осмерс,1.3,5.5,9.0,27,2,1,1849,629,1220,64,36,11,16,0,2,677,381,43,48,13,9,24,12,56,47,9,11,18,18,2,3,10,21,128,113,21,13,5,4,11,9,10,4,4-2-3-1,6.92,3-1-4-2,6.83,7.19,16.57,,,3.25,21.5,8.5,10.727272727272727,13.8,12.818181818181818
104,Мгладбах,Фюрт,Бенджамин Брэнд,1.25,6.0,11.0,24,4,0,1689,475,1214,57,43,11,13,1,3,485,355,45,48,12,23,13,18,51,36,14,5,17,12,7,7,7,12,135,143,18,5,11,1,12,5,6,0,3-4-2-1,6.88,4-2-3-1,6.62,12.31,13.36,,,1.6666666666666667,26.0,11.0,10.909090909090908,13.0,14.0
105,Юнион Берлин,Герта,Феликс Брых,1.91,3.5,4.0,30,2,0,1026,1036,-10,43,57,17,13,1,1,356,468,58,63,16,26,9,21,63,54,21,18,25,10,7,6,24,18,143,165,15,8,5,2,10,6,5,2,3-5-2,6.81,4-2-3-1,6.67,7.94,8.74,,,3.4,23.0,10.5,11.181818181818182,13.0,13.0
