,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,АС Монако,Нант,Энтони Готье,1.4,4.75,7.5,20,1,1,2252,193,2059,75,25,6,14,0,0,737,243,48,57,20,7,22,20,60,49,15,14,20,19,5,2,11,14,151,139,15,5,3,1,10,3,5,2,4-4-2,0.0,4-1-4-1,0.0,3.96,26.0,,,4.0,20,10,10,10,10
1,Лион,Брест,Микаэль Лесаж,1.36,5.0,8.5,22,1,1,1907,736,1171,69,31,10,12,1,1,681,298,38,61,23,14,11,9,48,45,16,18,16,16,9,4,7,15,137,127,17,13,4,8,13,9,4,4,4-3-3,0.0,4-2-3-1,0.0,8.32,30.0,,,4.0,20,10,10,10,10
2,Труа,ПСЖ,Амори Делерю,9.5,5.25,1.3,18,1,2,774,1285,-511,43,57,3,15,1,4,443,605,53,35,26,12,7,22,37,33,2,10,17,10,9,1,8,14,111,94,15,12,7,3,8,8,7,4,5-4-1,0.0,4-4-2,0.0,66.8,10.77,,,4.0,20,10,10,10,10
3,Ренн,Ленс,Бастьен Дешепи,1.85,3.4,4.2,24,1,1,810,1025,-215,60,40,10,14,0,2,526,343,64,56,13,22,17,18,46,48,10,12,15,18,3,9,7,5,102,106,10,11,2,6,5,6,5,5,4-3-3,0.0,3-4-1-2,0.0,7.48,16.76,,,4.0,20,10,10,10,10
4,Бордо,Клермон,Флоран Батта,2.45,3.3,2.8,22,0,2,651,1584,-933,44,56,13,9,1,0,439,552,56,57,18,20,15,16,44,58,10,18,19,18,5,10,11,9,117,136,10,19,6,10,5,16,5,3,4-2-3-1,0.0,4-2-3-1,0.0,10.73,14.0,,,4.0,20,10,10,10,10
5,Ницца,Реймс,Йохан Хамель,1.75,3.6,4.75,18,0,0,1386,188,1198,61,39,10,8,1,1,554,346,51,57,14,8,27,14,61,44,14,12,21,18,4,2,11,11,121,130,12,5,2,0,9,2,3,3,4-4-2,0.0,5-3-2,0.0,6.74,16.81,,,4.0,20,10,10,10,10
6,Страсбург,Анже,Джереми Стинат,2.0,3.4,3.75,36,0,2,1146,595,551,57,43,18,18,2,3,513,391,77,68,24,9,15,27,67,54,17,14,27,18,5,4,8,11,163,146,7,9,1,2,4,7,3,2,4-4-2,0.0,3-4-1-2,0.0,8.19,11.36,,,4.0,20,10,10,10,10
7,Сент-Этьен,Лорьян,Томас Леонард,2.1,3.5,3.4,24,1,1,1620,674,946,61,39,10,14,2,3,546,352,57,64,29,14,33,15,74,52,17,13,23,23,8,4,12,10,151,149,20,12,3,3,10,8,10,4,4-4-1-1,0.0,5-3-2,0.0,7.92,12.62,,,4.0,20,10,10,10,10
8,Мец,Лилль,Эрик Ваттелье,5.0,3.4,1.8,19,3,3,938,1469,-531,38,62,9,10,1,2,335,538,59,45,18,24,16,16,46,54,16,16,16,21,4,5,19,10,151,157,12,17,5,6,6,9,6,8,3-4-1-2,0.0,4-4-2,0.0,12.88,7.64,,,4.0,20,10,10,10,10
9,Монпелье,Марсель,Джереми Пиньяр,3.75,3.5,2.0,15,2,3,469,2018,-1549,41,59,10,5,0,1,351,530,57,45,22,28,10,16,42,45,12,14,19,11,6,11,12,15,129,125,8,21,1,7,5,14,3,7,4-2-3-1,0.0,3-2-4-1,0.0,13.0,10.68,,,4.0,20,10,10,10,10
10,Лорьян,АС Монако,Хаким Бен эль Салем Хадж,4.0,3.75,1.85,32,1,0,94,2249,-2155,28,72,17,15,3,2,253,636,63,74,3,28,18,26,60,72,14,17,23,29,0,6,13,15,160,167,2,12,2,3,1,8,1,4,5-3-2,6.75,3-4-3,6.84,13.2,2.43,,,4.0,20,10,14.0,10,6.0
11,Лилль,Ницца,Бризар Джером,1.8,3.4,4.75,22,0,4,1491,839,652,62,38,9,13,3,1,591,358,58,49,18,11,20,18,48,60,13,17,14,21,8,7,7,17,141,124,11,11,2,7,8,8,3,3,4-4-2,6.98,4-4-2,7.0,10.0,19.32,,,4.0,20,10,10.0,10,10.0
12,ПСЖ,Страсбург,Вилли Делайод,1.22,6.5,12.0,24,4,2,1784,599,1185,65,35,6,18,1,4,697,364,46,48,14,18,24,6,54,33,10,9,10,16,4,4,9,10,97,93,11,8,5,2,8,5,3,3,4-3-3,7.22,5-3-2,6.69,12.71,18.92,,,4.0,20,10,15.0,10,18.0
13,Анже,Лион,Клемент Терпин,4.5,3.75,1.8,28,3,0,1364,672,692,42,58,11,17,1,5,365,509,44,59,17,19,35,22,71,64,10,12,28,28,6,4,11,11,138,129,13,8,6,3,6,5,7,3,3-4-1-2,6.96,4-3-3,7.08,11.24,5.83,,,4.0,20,10,18.0,10,10.0
14,Клермон,Труа,Ромен Лиссорг,1.91,3.6,4.0,17,2,0,2316,420,1896,64,36,6,11,1,3,633,358,44,52,27,13,22,9,35,39,6,9,9,19,9,2,6,5,96,91,18,6,8,1,11,5,7,1,4-2-3-1,7.26,5-4-1,6.85,13.2,32.46,,,4.0,20,10,9.0,10,3.0
15,Нант,Мец,Йохан Хамель,2.1,3.2,3.75,29,2,0,783,1392,-609,36,64,18,11,2,0,305,570,69,61,18,16,20,21,66,73,24,20,17,23,6,6,11,5,166,164,11,10,7,5,7,6,4,4,4-2-3-1,6.67,3-5-1-1,6.79,13.78,5.65,,,2.0,18.0,10,14.0,10,9.0
16,Брест,Ренн,Бенуа Бастьен,3.5,3.4,2.05,23,1,1,1064,1399,-335,41,59,7,16,2,3,344,520,63,34,25,19,11,22,55,43,17,13,19,11,6,11,7,6,130,135,10,6,5,2,8,5,2,1,4-2-3-1,6.87,4-3-3,6.77,20.17,6.19,,,4.0,20,10,12.0,10,10.0
17,Реймс,Монпелье,Джереми Стинат,2.45,3.4,2.8,24,3,3,1760,810,950,57,43,12,12,2,1,465,348,60,54,31,20,17,12,54,49,19,18,12,13,8,7,11,11,123,128,19,15,9,5,12,8,7,7,3-4-3,6.72,4-2-3-1,6.63,8.68,11.81,,,5.0,36.0,10,8.0,10,10.0
18,Ленс,Сент-Этьен,Амори Делерю,2.0,3.6,3.6,27,2,2,1633,955,678,58,42,10,17,1,6,486,361,38,62,24,12,23,14,78,54,22,17,23,20,7,2,20,9,161,170,22,12,7,7,14,6,8,6,3-4-1-2,6.77,4-3-3,7.09,5.35,9.39,,,5.0,18.0,10,14.0,10,10.0
19,Марсель,Бордо,Рудди Буке,1.45,4.333333333333334,7.0,17,2,2,1262,537,725,68,32,6,11,2,2,701,327,54,59,11,14,16,10,45,28,11,3,14,15,3,4,8,14,102,101,10,8,2,2,6,5,4,3,3-2-4-1,7.05,5-3-2,6.76,16.69,17.19,,,4.0,20,10,5.0,10,13.0
20,Брест,ПСЖ,Эрик Ваттелье,9.5,5.25,1.33,15,2,4,509,2187,-1678,26,74,8,7,1,2,274,822,51,32,15,17,16,21,40,47,9,9,16,16,3,9,8,2,97,115,11,16,3,8,6,7,5,9,4-2-3-1,6.81,4-3-1-2,7.14,34.64,8.06,,,3.0,19.0,7.0,9.5,15.0,10.5
21,АС Монако,Ленс,Джереми Пиньяр,1.73,3.75,4.75,25,0,2,1934,256,1678,71,29,11,14,1,1,583,239,53,50,27,8,18,12,62,43,11,14,24,13,13,3,1,16,139,112,9,4,2,2,2,3,7,1,4-4-1-1,6.85,3-4-1-2,6.96,6.05,13.33,,,1.0,15.0,6.0,10.5,14.0,12.0
22,Сент-Этьен,Лилль,Микаэль Лесаж,3.1,3.2,2.4,24,1,1,608,695,-87,48,52,14,10,1,3,427,477,53,50,15,12,26,19,44,64,11,18,14,25,5,3,19,8,146,157,10,8,2,6,5,6,5,2,4-3-3,6.86,4-4-2,6.67,8.23,11.45,,,2.0,22.0,10.0,13.5,10.0,9.5
23,Лион,Клермон,Томас Леонард,1.5699999999999998,4.5,5.0,16,3,3,1453,841,612,55,45,10,6,2,2,543,436,44,35,15,24,28,17,63,45,13,11,25,20,5,8,15,14,124,139,21,17,9,5,15,11,6,6,4-2-3-1,6.76,4-2-3-1,7.13,8.65,14.82,,,5.0,24.0,10.0,13.5,9.0,7.5
24,Бордо,Анже,Пьер Гайюст,3.4,3.2,2.25,24,1,1,1171,866,305,53,47,19,5,2,0,505,451,54,50,26,10,22,25,56,62,13,10,29,25,3,3,9,12,137,126,14,6,5,3,6,5,8,1,5-3-2,6.69,3-4-1-2,7.07,7.35,22.67,,,4.0,20,13.0,12.0,18.0,14.5
25,Мец,Реймс,Флоран Батта,2.2,3.2,3.5,33,1,1,1079,1330,-251,58,42,19,14,4,2,449,306,48,63,17,32,10,14,61,52,22,20,17,11,5,8,9,4,128,150,10,13,4,3,3,11,7,2,4-3-3,6.77,3-4-2-1,6.84,8.11,13.41,,,1.0,22.0,9.0,10.0,8.0,10.0
26,Монпелье,Лорьян,Бастьен Дешепи,2.15,3.5,3.3,21,3,1,2230,278,1952,57,43,8,13,0,6,460,363,43,62,31,10,16,15,58,35,14,9,23,14,5,1,8,7,115,120,32,5,11,4,22,2,10,3,4-2-3-1,6.7,5-3-2,6.76,9.74,20.33,,,2.0,24.0,10.0,11.0,14.0,15.5
27,Страсбург,Труа,Бризар Джером,1.91,3.4,4.0,33,1,1,2069,549,1520,60,40,16,17,3,1,564,387,49,81,32,8,21,15,60,47,17,14,15,16,6,3,10,11,149,141,13,10,4,6,10,8,3,2,5-3-2,6.5,3-4-2-1,6.66,7.48,16.25,,,4.0,22.0,18.0,18.0,11.0,7.0
28,Ренн,Нант,Стефани Фраппар,1.65,3.75,5.5,26,1,0,1563,425,1138,62,38,13,13,2,2,523,310,58,46,22,17,19,7,52,53,22,18,9,21,6,2,6,8,137,123,14,4,5,1,8,2,6,2,4-2-3-1,6.76,4-4-2,6.86,9.38,18.94,,,4.0,20,10.0,13.0,14.0,16.0
