,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Верона,Сассуоло,Мануэль Вольпи,2.5,3.4,2.75,23,2,3,1187,1213,-26,39,61,11,12,3,2,312,525,49,45,26,5,9,17,40,39,9,9,12,7,7,4,7,5,95,86,15,18,4,7,11,9,4,9,3-4-2-1,0.0,4-2-3-1,0.0,13.26,16.0,,,4.0,20,10,10,10,10
1,Интер,Дженоа,Валерио Марини,1.29,5.75,11.0,25,4,0,2144,751,1393,60,40,18,7,1,2,592,399,45,39,25,11,13,17,40,49,8,8,18,13,8,2,5,15,100,96,16,10,8,4,12,5,4,5,3-5-1-1,0.0,3-4-1-2,0.0,8.94,22.63,,,4.0,20,10,10,10,10
2,Эмполи,Лацио,Симона Соцца,3.75,3.8,1.91,23,1,3,1291,1086,205,45,55,13,10,2,1,451,567,48,56,20,11,16,18,42,54,6,7,23,26,5,3,12,15,134,125,16,8,4,4,11,8,5,0,4-3-1-2,0.0,4-3-3,0.0,8.21,8.84,,,4.0,20,10,10,10,10
3,Торино,Аталанта,Даниэле Чиффи,6.0,4.5,1.5,30,1,2,1705,558,1147,48,52,17,13,2,2,380,418,72,68,16,4,21,14,62,86,23,43,14,17,5,1,13,8,165,164,21,7,8,2,10,5,11,2,3-4-3,0.0,3-4-2-1,0.0,7.97,7.67,,,4.0,20,10,10,10,10
4,Болонья,Салернитана,Антонио Рапуано,1.5,4.5,6.0,28,3,2,1871,573,1298,73,27,13,15,6,3,549,196,37,51,18,16,15,4,49,47,18,15,12,15,9,4,6,7,135,139,18,10,7,4,10,6,8,4,4-2-3-1,0.0,3-5-2,0.0,2.61,13.36,,,4.0,20,10,10,10,10
5,Удинезе,Ювентус,Ивано Пеццуто,7.0,4.0,1.5,27,2,2,1027,1035,-8,44,56,13,14,1,3,396,524,35,56,17,8,7,11,39,39,9,9,11,12,3,3,8,13,101,105,12,10,6,3,9,7,3,3,3-5-1-1,0.0,4-4-2,0.0,19.06,11.21,,,4.0,20,10,10,10,10
6,Наполи,Венеция,Джанлука Аурелиано,1.2,6.5,13.0,27,2,0,1318,579,739,56,44,5,22,1,7,560,424,34,33,7,17,11,14,44,23,6,5,13,10,2,2,12,10,85,86,13,8,4,4,6,5,7,3,4-3-3,0.0,4-3-3,0.0,15.65,16.41,,,4.0,20,10,10,10,10
7,Рома,Фиорентина,Лука Дж. Пайретто,1.6,4.2,5.25,27,3,1,871,1163,-292,42,58,12,15,3,2,365,515,59,50,11,14,22,14,51,39,12,9,13,12,4,4,11,13,100,105,11,11,6,8,8,8,3,3,4-2-3-1,0.0,4-3-3,0.0,16.0,12.26,,,4.0,20,10,10,10,10
8,Кальяри,Специя,Франческо Фурно,1.8,3.6,4.5,32,2,2,1930,644,1286,59,41,17,15,2,3,476,338,57,52,25,13,21,15,56,60,17,21,12,15,11,4,11,10,148,127,20,12,9,4,16,3,4,9,3-4-3,0.0,3-4-3,0.0,6.7,10.07,,,4.0,20,10,10,10,10
9,Сампдория,Милан,Марко Гуида,3.6,3.5,2.0,32,0,1,1071,828,243,50,50,17,15,3,1,395,409,55,56,21,14,7,17,54,54,19,17,18,16,8,3,7,9,140,137,16,11,3,4,10,5,6,6,4-4-2,0.0,4-2-3-1,0.0,8.21,7.54,,,4.0,20,10,10,10,10
