Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Бавария М.,Герта,Вред Осмерс,1.14,8.0,15.0,24,1,2,2556,338,2218,70,30,6,18,3,3,661,282,46,62,34,8,19,7,50,37,13,12,7,14,12,0,5,12,142,109,17,6,7,3,12,2,5,4,4-3-3,0.0,3-4-1-2,0.0,10.5,16.22,,,3.0,20.0,10.0,10.0,10.0,10.0
1,Леверкузен,Падерборн,Тобиас Стилер,1.22,6.5,11.0,21,2,2,1815,462,1353,73,27,8,13,2,0,763,267,73,48,20,11,25,27,56,56,16,12,18,19,6,6,10,19,164,147,13,9,4,6,10,4,3,5,3-4-3,0.0,4-4-2,0.0,3.84,17.38,,,3.0,20.0,10.0,10.0,10.0,10.0
2,Дортмунд,Аугсбург,Фрэнк Вилленборг,1.12,8.0,26.0,15,1,1,3409,118,3291,78,22,8,7,0,0,886,246,53,55,21,5,34,13,46,50,10,7,13,28,10,0,7,16,121,104,22,5,10,1,15,5,7,0,4-2-3-1,0.0,4-2-3-1,0.0,5.91,22.67,,,3.0,20.0,10.0,10.0,10.0,10.0
3,Фрайбург,Майнц 05,Роберт Хартманн,2.5,3.3,2.75,20,0,0,1629,981,648,52,48,6,14,1,3,400,372,60,57,22,12,18,14,67,43,26,16,14,16,5,5,5,9,144,134,19,19,8,5,10,8,9,11,3-4-1-2,0.0,4-3-1-2,0.0,20.2,10.39,,,3.0,20.0,10.0,10.0,10.0,10.0
4,Вольфсбург,Кельн,Свен Яблонски,2.05,3.4,3.6,33,1,0,809,1090,-281,47,53,15,18,1,3,377,411,56,67,12,24,17,14,65,64,19,18,17,22,2,6,9,11,157,162,15,11,5,2,4,6,11,5,3-4-2-1,0.0,4-2-3-1,0.0,8.56,7.1,,,3.0,20.0,10.0,10.0,10.0,10.0
5,Бремен,Фортуна,Феликс Цвайер,1.66,4.2,4.5,22,0,1,2137,659,1478,66,34,9,13,0,2,639,308,39,66,34,21,9,8,46,44,20,15,9,16,14,5,5,11,141,117,24,12,10,7,18,7,6,5,4-3-3,0.0,4-2-3-1,0.0,11.87,21.0,,,3.0,20.0,10.0,10.0,10.0,10.0
6,Мгладбах,Шальке 04,Феликс Брых,2.15,3.6,3.2,21,0,0,1459,469,990,59,41,10,11,3,2,519,351,34,62,17,10,27,15,57,61,12,23,20,23,8,3,14,21,161,146,16,8,4,1,8,5,8,3,4-3-1-2,0.0,4-2-3-1,0.0,5.76,15.29,,,3.0,20.0,10.0,10.0,10.0,10.0
7,Э. Франкфурт,Хоффенхайм,Дэниел Зиберт,2.05,3.75,3.3,28,1,0,1067,982,85,31,69,19,9,3,1,250,567,57,56,22,14,23,20,58,64,15,24,21,15,10,5,7,9,151,159,15,9,8,1,11,7,4,2,3-4-2-1,0.0,3-4-2-1,0.0,11.45,6.44,,,3.0,20.0,10.0,10.0,10.0,10.0
8,Юнион Берлин,РБ Лейпциг,Маркус Шмидт,4.5,4.0,1.72,21,0,3,693,1682,-989,35,65,14,7,1,0,325,605,54,48,17,9,18,17,48,55,18,17,15,14,3,6,16,13,146,137,13,14,2,8,6,13,7,1,4-2-3-1,0.0,3-4-3,0.0,15.77,8.23,,,3.0,20.0,10.0,10.0,10.0,10.0
9,Кельн,Дортмунд,Кристиан Дингерт,5.5,4.75,1.5,23,1,0,605,1650,-1045,26,74,12,11,2,1,232,675,55,37,16,14,14,21,51,57,11,15,23,18,7,8,13,11,131,135,13,14,1,6,11,8,2,6,4-4-2,6.66,4-2-3-1,7.36,16.63,4.57,,,3.0,20.0,10.0,18.0,10.0,8.0
