,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
130,Ростов,Уфа,Евгений Кукуляк,2.05,3.1,4.0,26,0,0,1279,719,560,58,42,9,17,3,3,493,349,96,63,20,17,7,8,43,51,10,19,13,20,6,8,7,9,166,136,10,12,2,4,4,7,6,5,4-2-3-1,6.85,5-3-2,6.7,9.57,16.43,,,6.166666666666667,28.5,11.5,13.2,15.0,15.25
131,Динамо,Арсенал,Василий Казарцев,1.55,3.9,6.0,26,1,0,1268,885,383,46,54,12,14,2,1,449,524,74,73,14,9,7,7,53,52,17,22,17,15,5,2,30,7,154,165,20,11,4,2,12,6,8,5,4-1-4-1,6.94,4-3-3,6.73,9.1,19.33,,,6.25,23.25,15.125,13.5,16.285714285714285,14.1875
132,ЦСКА,Химки,Кирилл Левников,1.44,4.333333333333334,7.0,15,1,0,2095,368,1727,59,41,5,10,1,3,569,401,60,65,26,6,18,13,53,36,19,8,14,16,7,2,7,21,189,169,31,10,11,5,15,7,16,3,4-2-3-1,6.96,5-3-2,6.78,10.76,14.82,,,6.333333333333333,24.0,10.0,11.8125,14.75,13.6875
133,Сочи,Ахмат,Сергей Лапочкин,2.7,3.1,2.7,30,2,0,1138,1102,36,47,53,12,18,3,1,427,486,69,75,22,19,6,15,51,44,10,20,22,9,5,3,14,10,151,170,10,7,5,3,7,5,3,2,3-4-2-1,6.86,4-2-3-1,6.85,10.28,11.9,,,6.555555555555555,25.88888888888889,12.285714285714286,11.8125,17.25,16.625
134,Химки,Арсенал,Иван Сиденков,2.4,3.2,2.87,31,1,0,343,1957,-1614,35,65,15,16,3,2,354,640,70,75,10,24,8,20,61,51,27,18,16,9,2,9,17,5,158,184,7,17,2,5,3,9,4,8,3-4-2-1,6.79,4-2-3-1,6.73,12.46,10.27,,,4.0,20,12.625,13.470588235294118,16.0,14.176470588235293
135,Ротор,Уфа,Василий Казарцев,3.3,3.0,2.37,39,0,0,803,1039,-236,51,49,23,16,7,8,402,357,82,61,9,25,11,14,51,58,14,16,16,17,5,4,5,16,162,159,8,12,3,3,5,8,3,4,4-2-3-1,6.69,5-3-2,6.72,5.61,6.72,,,5.6,23.8,14.0,14.333333333333334,15.25,15.352941176470589
136,Сочи,Спартак,Игорь Панин,2.9,3.2,2.45,27,0,0,718,1640,-922,41,59,13,14,5,3,348,480,64,63,11,32,3,11,42,45,15,17,14,7,2,8,17,7,122,154,10,15,5,1,7,12,3,3,3-5-2,6.88,3-4-1-2,7.07,10.25,10.35,,,7.142857142857143,28.714285714285715,12.25,11.823529411764707,14.375,14.176470588235293
137,Зенит,Динамо,Сергей Иванов,1.6,3.8,5.5,21,2,0,1338,459,879,55,45,11,10,2,2,539,434,74,58,12,6,6,6,30,40,9,12,10,15,3,0,23,26,148,126,10,10,5,4,7,4,3,6,4-3-1-2,7.08,5-4-1,6.95,10.78,16.65,,,6.1,25.8,8.625,9.058823529411764,11.875,13.411764705882353
138,Тамбов,Рубин Казань,Кирилл Левников,15.0,8.0,1.12,16,0,1,245,1481,-1236,40,60,8,8,2,2,399,582,64,84,9,21,22,20,50,53,10,18,16,18,0,6,17,16,151,157,7,19,1,5,2,13,5,6,3-5-1-1,6.74,4-3-3,6.82,13.83,10.39,,,6.1,23.1,13.5,12.647058823529411,11.75,11.470588235294118
139,Краснодар,Локомотив,Владимир Москалев,1.66,3.75,5.0,30,2,0,1393,778,615,54,46,16,14,4,3,530,429,55,57,6,15,9,9,34,44,8,13,8,11,1,4,14,20,136,132,14,15,10,5,11,9,3,6,4-2-3-1,6.99,4-4-2,6.92,10.33,11.46,,,5.25,23.375,11.75,11.0625,13.5,13.117647058823529
