,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
128,Лечче,Кальяри,Маурицио Мариани,3.2,3.5,2.2,32,0,1,2059,451,1608,57,43,14,18,2,2,488,376,64,62,41,10,11,15,50,51,16,14,12,16,11,2,7,9,135,128,28,7,8,2,19,3,9,4,4-3-1-2,6.72,4-3-1-2,6.88,7.07,9.61,,,6.0,30.333333333333332,12.0,12.75,14.0,14.166666666666666
129,СПАЛ,Дженоа,Пьеро Джакомелли,2.45,3.3,2.9,26,0,0,1016,1154,-138,40,60,12,14,2,1,309,471,52,48,30,23,15,18,58,45,14,10,25,18,5,4,6,8,129,118,16,14,6,5,10,8,6,6,3-5-2,6.78,4-3-3,6.72,13.64,8.47,,,4.8,30.0,12.666666666666666,13.666666666666666,13.0,15.166666666666666
130,Брешиа,Аталанта,Даниэле Довери,7.0,4.75,1.45,30,0,1,407,2017,-1610,31,69,15,15,1,3,268,583,48,61,8,23,12,24,60,48,13,13,22,7,2,11,10,8,132,134,15,24,4,10,7,15,8,9,3-5-2,6.74,3-4-1-2,6.99,11.75,5.15,,,5.0,31.5,14.833333333333334,14.23076923076923,13.571428571428571,13.76923076923077
131,Дженоа,Торино,Давиде Масса,2.5,3.25,2.9,33,0,0,1140,622,518,62,38,14,19,2,3,544,320,54,52,21,13,14,18,76,55,30,16,21,16,6,4,8,17,166,142,13,12,1,3,8,8,5,4,4-3-3,6.73,4-4-1-1,6.89,4.77,8.73,,,7.2,31.2,17.333333333333332,15.076923076923077,15.666666666666666,15.307692307692308
132,Фиорентина,Лечче,Марко Пиччинини,1.44,4.5,7.0,33,0,0,2516,312,2204,62,38,13,20,1,3,575,348,39,65,39,12,23,10,63,53,16,19,14,15,9,2,9,13,146,133,19,6,6,5,14,3,5,3,3-5-2,6.86,4-3-1-2,6.72,7.88,9.37,,,6.0,27.5,14.0,14.0,13.285714285714286,12.846153846153847
133,Ювентус,Сассуоло,Федерико Ла Пенна,1.16,7.5,17.0,25,1,1,2148,634,1514,56,44,11,14,1,5,562,441,41,52,28,6,21,20,52,43,9,7,21,17,9,2,13,11,130,129,29,9,9,4,19,4,10,5,4-3-1-2,7.01,4-4-1-1,6.84,8.5,19.0,,,4.571428571428571,27.857142857142858,15.0,14.615384615384615,13.166666666666666,13.692307692307692
134,Интер,СПАЛ,Массимилиано Иррати,1.25,6.0,12.0,32,2,0,1811,390,1421,54,46,15,17,1,4,524,430,66,57,21,16,11,11,46,46,14,10,15,16,8,0,3,14,126,112,19,12,8,3,13,9,6,3,3-5-2,7.02,3-5-2,6.79,8.67,19.81,,,5.2,31.4,12.833333333333334,15.384615384615385,14.666666666666666,13.538461538461538
135,Лацио,Удинезе,Марко Ди Белло,1.3,5.5,10.0,24,3,0,1333,400,933,51,49,11,13,0,1,602,562,49,54,7,10,20,15,46,39,7,3,15,17,2,2,12,9,104,117,21,10,6,0,11,7,10,3,3-5-2,7.06,3-5-2,6.8,13.96,14.26,,,3.8,27.6,10.833333333333334,11.76923076923077,14.0,15.461538461538462
136,Парма,Милан,Паоло Валери,3.8,3.3,2.05,27,0,0,180,2275,-2095,33,67,11,16,1,3,311,603,58,41,7,28,13,28,54,51,14,6,18,15,1,7,15,19,119,118,8,27,0,8,5,17,3,10,4-3-3,6.87,4-3-3,6.83,12.46,4.41,,,4.8,27.8,14.285714285714286,14.153846153846153,14.833333333333334,14.461538461538462
137,Наполи,Болонья,Фабрицио Паскуа,1.44,4.5,7.0,22,1,0,1862,323,1539,61,39,12,10,1,5,561,368,32,54,33,9,29,12,62,42,16,13,13,13,7,0,6,19,127,118,30,11,6,5,13,9,17,2,4-3-3,6.99,4-1-4-1,6.79,10.9,10.04,,,3.6,26.8,11.333333333333334,12.23076923076923,16.428571428571427,15.307692307692308
