,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
57,Эйбар,Севилья,Пабло Гонсалес Фуэртес,3.25,3.3,2.2,30,0,2,1237,565,672,46,54,11,19,3,4,398,486,79,90,26,5,18,15,52,52,17,20,10,15,3,1,9,9,161,151,11,7,4,4,5,5,6,2,4-2-3-1,6.7,4-3-3,6.93,9.76,8.91,,,5.5,28.0,14.0,13.2,12.666666666666666,14.0
58,Сельта,Эспаньол,Хосе Мария Санчес Мартинес,1.75,3.5,4.75,22,0,0,1673,426,1247,63,37,5,17,2,5,663,388,47,64,32,12,24,16,58,45,15,11,14,17,6,4,9,9,136,123,14,10,3,4,9,7,5,3,4-4-2,6.69,4-4-2,6.66,8.7,15.2,,,3.5,24.5,12.0,11.4,13.0,10.0
59,Реал Сосьедад,Алавес,Давид Меди Хименес,1.5,4.0,7.5,27,3,0,1974,332,1642,58,42,7,20,1,4,495,347,42,48,19,8,25,16,58,61,13,23,18,22,5,3,7,7,133,117,21,5,7,0,18,5,3,0,4-3-3,6.86,4-1-4-1,6.73,9.26,12.64,,,5.0,26.0,13.0,13.6,18.0,16.0
60,Вильярреал,Бетис,Хавьер Эстрада Фернандес,1.72,4.0,4.5,21,1,0,715,1149,-434,42,58,13,8,2,2,382,516,54,67,14,17,17,20,45,50,13,9,17,16,3,7,9,8,107,124,17,11,10,6,15,7,2,4,4-2-3-1,6.87,4-4-2,6.78,9.86,11.21,,,6.666666666666667,33.666666666666664,10.0,10.5,10.5,11.333333333333334
61,Атлетик,Валенсия,Марио Мелеро Лопес,2.0,3.3,4.2,26,0,1,1390,929,461,50,50,14,12,2,5,399,411,57,59,44,15,15,12,51,47,22,12,9,14,7,7,7,10,119,109,14,10,3,6,12,7,2,3,4-2-3-1,6.83,4-4-2,6.79,9.31,11.1,,,5.666666666666667,27.0,14.333333333333334,14.0,11.5,11.666666666666666
62,Хетафе,футбольный клуб Барселона,Хесус Хиль Мансано,4.0,3.3,2.05,40,0,1,767,976,-209,38,62,23,17,4,4,287,468,66,83,13,6,10,17,41,60,10,15,12,14,4,1,6,9,139,135,9,10,1,6,6,6,3,4,4-4-2,6.67,4-3-3,6.94,7.97,5.65,,,5.666666666666667,26.333333333333332,13.666666666666666,19.5,10.0,9.833333333333334
63,Гранада,Леганес,Адриан Кордеро Вега,2.5,2.87,3.4,31,1,0,1187,804,383,50,50,19,12,3,4,331,328,81,66,24,11,10,11,52,66,26,26,10,16,8,3,10,11,154,126,11,15,4,6,6,8,5,7,4-2-3-1,6.82,3-1-4-2,6.66,7.2,7.4,,,3.0,21.333333333333332,17.5,15.833333333333334,19.0,15.333333333333334
64,Атл. Мадрид,Реал Мадрид,Хосе Луис Гонсалес Гонсалес,2.25,3.3,3.25,28,0,0,736,1147,-411,44,56,14,14,1,2,451,565,46,58,18,27,24,10,59,46,14,17,18,16,5,7,11,5,122,130,7,14,1,3,6,4,1,10,4-4-2,6.9,4-1-4-1,7.05,14.0,9.19,,,4.0,29.333333333333332,14.0,13.333333333333334,13.666666666666666,13.166666666666666
65,Эспаньол,Вальядолид,Гильермо Куадра Фернандес,2.1,3.2,3.75,29,0,1,1180,935,245,59,41,16,13,2,0,495,342,68,75,24,11,11,15,47,49,14,15,15,10,4,3,5,11,140,125,16,9,2,6,11,8,5,1,4-4-1-1,6.67,4-4-2,6.67,5.87,13.45,,,6.0,34.666666666666664,8.0,11.166666666666666,12.0,13.0
66,Эйбар,Сельта,Хуан Мартинес Мунуэра,2.37,3.4,2.9,32,0,0,940,649,291,39,61,17,15,3,1,301,482,62,75,20,14,12,20,57,61,20,21,18,15,6,5,9,9,148,145,7,3,3,2,5,3,2,0,4-3-3,6.7,4-4-2,6.73,11.04,4.83,,,5.333333333333333,28.0,12.5,12.833333333333334,10.5,10.333333333333334
