,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Валенсия,Хетафе,Хесус Хиль Мансано,2.38,3.0,3.3,39,1,0,366,2375,-2009,26,74,24,15,6,2,177,483,53,45,7,32,10,13,48,47,21,8,7,5,1,9,12,3,95,116,4,22,2,4,3,11,1,11,4-4-2,0.0,5-3-2,0.0,10.15,4.44,,,4.0,20,10,10,10,10
1,Кадис,Леванте,Сантьяго Хайме Латре,3.3,3.25,2.2,26,1,1,653,1173,-520,43,57,10,16,1,5,315,421,65,47,19,19,14,12,60,40,20,13,14,11,2,4,11,12,125,118,7,12,2,3,4,6,3,6,4-2-3-1,0.0,4-4-2,0.0,17.44,7.29,,,4.0,20,10,10,10,10
2,Мальорка,Бетис,Антонио Матеу,2.45,3.1,3.1,30,1,1,511,1193,-682,34,66,12,18,1,3,288,568,41,50,13,18,8,13,49,39,11,11,17,11,3,3,6,10,104,114,6,9,2,0,4,7,2,2,4-3-3,0.0,4-2-3-1,0.0,18.72,6.72,,,4.0,20,10,10,10,10
3,Алавес,Реал Мадрид,Сесар Сото Градо,6.0,4.2,1.5699999999999998,24,1,4,481,1555,-1074,41,59,14,10,1,2,394,584,52,54,18,13,7,19,33,41,12,3,8,10,0,4,8,16,109,99,11,19,4,7,7,10,4,9,4-2-3-1,0.0,4-3-3,0.0,15.05,12.5,,,4.0,20,10,10,10,10
4,Осасуна,Эспаньол,Мигель Анхель Ортис Ариас,2.55,3.2,2.88,30,0,0,1098,618,480,53,47,18,12,3,3,384,352,67,77,36,18,17,25,73,77,32,25,20,19,4,6,6,6,158,161,14,10,1,3,8,5,6,5,4-4-2,0.0,4-4-2,0.0,5.03,7.2,,,4.0,20,10,10,10,10
5,Сельта,Атл. Мадрид,Хосе Луис Мунуэра Монтеро,3.5,3.25,2.15,20,1,2,720,904,-184,53,47,11,9,5,5,479,429,58,68,21,9,14,29,41,67,5,20,19,12,2,5,11,4,139,143,10,13,2,5,7,10,3,3,4-1-3-2,0.0,3-1-4-2,0.0,7.33,15.74,,,4.0,20,10,10,10,10
6,футбольный клуб Барселона,Реал Сосьедад,Алехандро Эрнандес,1.65,3.8,5.0,29,4,2,1932,704,1228,62,38,11,18,2,4,540,330,55,34,11,10,17,15,60,57,11,13,20,22,5,3,14,5,112,117,13,11,8,3,11,8,2,3,4-3-3,0.0,4-2-3-1,0.0,6.86,12.0,,,4.0,20,10,10,10,10
7,Севилья,Райо Вальекано,Исидро Диас де Мера Эскудерос,1.36,4.75,10.0,21,3,0,1885,174,1711,75,25,14,7,1,0,749,242,62,53,15,4,13,12,33,43,9,14,10,10,4,0,5,11,89,104,21,4,8,3,12,2,9,2,3-4-2-1,0.0,4-2-3-1,0.0,5.82,33.0,,,4.0,20,10,10,10,10
8,Вильярреал,Гранада,Пабло Гонсалес Фуэртес,1.53,4.333333333333334,5.75,40,0,0,1524,299,1225,61,39,19,21,4,1,477,307,48,63,21,16,15,16,68,51,21,11,19,16,6,2,9,19,127,121,14,6,4,1,8,3,6,3,4-4-2,0.0,4-3-3,0.0,4.3,9.19,,,4.0,20,10,10,10,10
9,Эльче,Атлетик,Адриан Кордеро Вега,3.6,3.1,2.2,32,0,0,683,1102,-419,50,50,13,19,2,2,373,373,73,56,22,22,12,20,45,52,11,16,7,9,6,8,8,7,128,122,8,9,2,3,4,6,4,3,3-5-2,0.0,4-4-2,0.0,12.13,8.24,,,4.0,20,10,10,10,10
10,Бетис,Кадис,Валентин Писарро Гомес,1.45,4.5,6.5,22,1,1,1764,331,1433,74,26,12,10,4,0,648,208,37,56,21,25,34,14,55,59,16,18,14,23,4,5,10,12,119,133,16,8,7,3,8,6,8,2,4-2-3-1,6.68,4-4-2,6.75,3.52,30.33,,,4.0,20,10,18.0,10,10.0
11,Алавес,Мальорка,Алехандро Мунис Руис,2.2,3.2,3.6,29,0,1,796,959,-163,47,53,14,15,3,3,319,353,76,51,12,12,10,19,58,50,11,20,24,8,1,8,6,5,129,135,9,12,4,2,8,4,1,8,4-2-3-1,6.46,4-2-3-1,6.73,8.32,8.53,,,4.0,20,14.0,14.0,10,12.0
12,Эспаньол,Вильярреал,Хорхе Фигероа Васкес,2.9,3.25,2.5,20,0,0,1039,977,62,40,60,10,10,3,4,282,432,50,29,21,14,6,13,34,38,9,14,12,8,9,7,10,9,98,93,14,12,3,2,8,9,6,3,4-4-2,6.84,4-4-2,6.92,14.88,7.52,,,4.0,20,10,12.0,10,19.0
13,Гранада,Валенсия,Карлос Дель Серро Гранде,2.5,3.2,2.88,26,1,1,603,1441,-838,46,54,14,12,4,2,276,310,74,84,13,21,11,6,48,57,22,22,9,16,2,6,11,4,166,151,9,18,2,7,4,10,5,8,5-3-2,6.86,4-4-2,6.61,8.0,5.89,,,4.0,20,10,21.0,10,24.0
