Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
113,Манчестер Юнайтед,Манчестер Сити,Крис Кавана,4.5,4.333333333333334,1.66,19,0,0,538,1111,-573,46,54,13,6,1,1,502,580,47,61,6,11,14,25,49,40,10,8,23,6,4,3,11,13,101,128,11,9,2,2,7,6,4,3,4-2-3-1,6.85,4-2-3-1,6.98,3.571428571428572,25.714285714285715,11.8,12.818181818181818,10.2,11.545454545454543,16.05,18.53,,
114,Эвертон,Челси,Джонатан Мосс,4.5,4.333333333333334,1.66,21,1,0,569,1620,-1051,28,72,10,11,2,3,241,639,55,56,17,32,20,17,62,60,22,20,13,17,6,6,26,6,149,166,9,10,4,3,8,4,1,6,4-3-3,6.97,4-3-3,7.03,2.625,22.625,11.4,10.818181818181818,12.4,12.454545454545457,18.75,4.12,,
115,Саутгемптон,Шеффилд Юнайтед,Энди Мэдли,1.61,3.8,5.25,22,1,0,2337,467,1870,68,32,8,14,0,1,572,259,54,61,19,16,13,14,65,46,22,15,21,17,8,4,9,13,124,126,16,3,6,0,11,3,5,0,4-4-2,6.9,5-3-2,6.71,2.333333333333333,23.666666666666668,14.2,13.090909090909092,12.0,11.818181818181818,5.22,13.21,,
116,Кристал Пэлас,Тоттенхэм,Кевин Френд,4.0,3.8,1.85,26,0,1,956,1438,-482,42,58,15,11,1,1,344,457,56,56,14,19,13,10,50,49,22,10,11,20,4,7,16,4,121,140,16,14,5,6,11,7,5,7,4-4-2,6.82,4-2-3-1,6.96,2.571428571428572,26.0,12.2,11.272727272727272,11.4,13.0,10.7,10.72,,
117,Фулхэм,Ливерпуль,Андре Марринер,8.0,5.5,1.33,14,1,0,730,2054,-1324,24,76,9,5,3,1,227,707,63,60,17,33,21,22,51,54,19,12,17,21,6,8,17,7,141,160,10,12,5,6,6,7,4,5,3-4-2-1,6.81,4-3-3,6.9,1.6666666666666667,18.0,13.6,12.636363636363637,9.8,10.181818181818182,32.42,6.21,,
118,Арсенал,Бернли,Грэм Скотт,1.4,4.75,8.0,16,0,0,1847,683,1164,64,36,5,11,2,1,557,307,61,80,38,17,9,9,36,46,10,25,12,12,13,4,8,17,163,128,18,10,6,2,12,7,6,3,4-2-3-1,6.86,4-4-1-1,6.74,3.0,23.25,10.2,10.181818181818182,11.2,10.636363636363637,9.5,14.85,,
119,Лестер,Брайтон,Мартин Аткинсон,2.0,3.5,3.75,19,3,0,1337,884,453,54,46,9,10,2,1,539,455,54,60,17,14,19,15,45,53,15,10,12,25,9,5,14,15,128,120,15,12,6,4,13,6,2,6,3-4-2-1,6.91,4-2-3-1,6.81,1.8888888888888888,19.55555555555556,12.0,9.363636363636363,14.6,13.181818181818182,13.05,9.39,,
120,Вулверхэмптон,Челси,Стюарт Аттвелл,5.25,3.8,1.66,24,0,0,918,1204,-286,45,55,12,12,2,2,418,494,55,57,17,34,23,19,69,48,27,12,17,14,5,6,14,7,135,128,12,13,4,3,6,7,6,6,3-4-1-2,6.85,4-3-3,7.02,5.166666666666667,23.0,13.666666666666666,12.25,12.166666666666666,12.333333333333334,19.69,7.83,,
121,Манчестер Сити,Вест Бромвич,Питер Бэнкс,1.09,11.0,21.0,13,1,1,3121,222,2899,77,23,5,8,2,3,752,224,33,63,32,5,15,11,47,38,19,15,11,13,13,2,8,12,132,120,26,5,7,1,17,3,9,2,4-2-3-1,6.97,4-1-4-1,6.71,3.0,23.5,12.666666666666666,11.083333333333334,11.333333333333334,11.666666666666666,6.93,35.0,,
122,Арсенал,Саутгемптон,Пол Тирни,2.1,3.5,3.4,26,0,1,670,2063,-1393,35,65,13,13,3,3,340,632,56,56,11,25,14,13,46,41,18,11,8,11,2,7,17,9,115,134,9,13,4,3,5,5,4,8,3-4-3,6.85,4-4-2,6.93,4.0,25.714285714285715,9.333333333333334,9.75,12.166666666666666,12.666666666666666,17.1,9.41,,
