Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
157,Ньюкасл,Ливерпуль,Пол Тирни,11.0,6.0,1.25,22,0,0,461,2223,-1762,26,74,9,13,2,3,241,661,60,68,18,37,6,13,56,53,20,27,19,10,5,12,14,15,124,162,8,11,2,4,5,6,3,5,5-4-1,6.79,4-3-3,6.98,4.333333333333333,26.55555555555556,10.571428571428571,10.933333333333334,9.285714285714286,9.6,26.87,5.05,,
158,Тоттенхэм,Фулхэм,Пол Тирни,1.61,3.8,6.0,28,1,0,1442,894,548,52,48,13,15,1,2,522,467,55,57,21,20,17,28,60,68,19,24,14,13,6,5,13,13,141,148,15,15,6,4,10,10,5,5,4-2-3-1,6.94,3-5-2,6.82,4.4,26.1,14.428571428571429,12.733333333333333,12.571428571428571,13.0,8.32,9.34,,
159,Эвертон,Манчестер Сити,Андре Марринер,11.0,5.5,1.29,16,1,1,273,2330,-2057,29,71,8,8,2,1,313,755,67,46,12,23,11,24,46,48,16,14,18,11,0,10,14,4,117,130,3,16,2,7,3,10,0,6,4-4-1-1,6.94,4-3-3,7.1,2.4444444444444446,17.444444444444443,10.857142857142858,10.466666666666669,9.714285714285714,10.266666666666667,27.0,10.18,,
160,Эвертон,Вест Хэм,Кевин Френд,2.2,3.5,3.25,16,0,0,1009,940,69,60,40,9,7,2,0,589,392,51,50,23,18,13,9,48,48,20,21,15,16,5,4,11,20,149,144,10,11,2,5,5,7,5,4,4-2-3-1,6.99,4-2-3-1,6.89,2.333333333333333,24.55555555555556,10.5,10.3125,10.5,10.6875,11.22,17.4,,
161,Манчестер Юнайтед,Астон Вилла,Майкл Оливер,1.66,4.0,4.75,32,1,0,1292,1357,-65,48,52,22,10,4,0,407,417,40,58,17,27,16,15,51,65,22,15,11,18,5,10,15,11,119,130,19,15,9,5,12,12,7,3,4-2-3-1,6.92,4-2-3-1,7.09,3.1666666666666665,22.416666666666668,11.125,12.25,10.875,11.3125,7.61,10.7,,
162,Тоттенхэм,Лидс,Дэвид Кут,1.83,4.0,4.0,28,2,0,885,1588,-703,36,64,15,13,4,1,347,591,56,46,8,24,26,27,70,55,14,8,24,20,3,5,11,14,135,158,20,18,7,5,14,10,6,8,4-2-3-1,6.92,4-1-4-1,6.93,4.125,26.125,14.25,12.75,10.25,10.4375,12.17,5.35,,
163,Кристал Пэлас,Шеффилд Юнайтед,Стюарт Аттвелл,2.05,3.25,3.9,26,2,0,714,858,-144,44,56,8,18,1,3,414,510,61,78,11,20,24,20,76,62,23,25,24,22,3,6,9,18,166,162,9,7,4,2,6,4,3,3,4-4-2,6.75,3-5-2,6.69,4.875,22.625,11.375,11.375,12.75,12.5,12.54,6.68,,
164,Брайтон,Вулверхэмптон,Энди Мэдли,2.8,3.0,2.75,21,1,3,1397,1008,389,54,46,13,8,2,1,548,461,53,60,19,14,12,23,54,51,19,9,21,13,5,7,15,10,117,132,13,11,4,4,10,7,3,4,3-4-2-1,6.83,4-2-3-1,6.86,2.4,24.8,11.5,12.125,10.875,12.5625,7.2,24.64,,
165,Вест Бромвич,Арсенал,Мартин Аткинсон,6.0,4.0,1.5699999999999998,11,0,2,567,2054,-1487,38,62,7,4,1,2,374,623,66,53,21,21,16,18,54,48,27,15,13,14,3,5,20,16,149,158,7,21,3,12,4,17,3,4,4-4-1-1,6.66,4-2-3-1,6.85,2.083333333333333,19.33333333333333,11.625,10.875,9.25,9.75,16.74,16.1,,
166,Ньюкасл,Лестер,Роберт Джонс,6.0,4.0,1.5699999999999998,21,0,0,771,1090,-319,43,57,10,11,0,2,371,492,74,51,19,21,15,18,62,52,24,19,16,14,3,6,15,20,165,147,8,9,2,3,5,4,3,5,5-4-1,6.81,4-2-3-1,6.91,2.6666666666666665,22.33333333333333,10.375,10.8125,8.0,9.6875,13.52,6.31,,
167,Челси,Манчестер Сити,Энтони Тейлор,3.3,3.5,2.15,21,0,3,963,1313,-350,54,46,11,10,3,1,654,554,55,36,19,7,24,16,43,52,7,14,11,18,5,3,18,15,112,94,9,18,2,6,5,14,4,4,4-3-3,6.99,4-3-3,7.0,2.909090909090909,22.181818181818183,12.75,12.3125,9.5,10.125,13.52,13.4,,
168,Саутгемптон,Ливерпуль,Андре Марринер,5.75,4.75,1.5,17,1,0,391,2198,-1807,33,67,5,12,1,3,352,675,84,79,4,43,16,23,56,54,14,21,18,16,1,10,16,11,169,198,7,17,3,1,1,12,6,5,4-4-2,6.92,4-3-3,6.99,2.5,17.3,13.0,12.625,9.75,9.8125,19.37,5.97,,
169,Бернли,Фулхэм,Джонатан Мосс,2.9,3.1,2.55,20,0,0,1220,729,491,46,54,7,13,1,1,400,477,78,63,21,14,10,13,56,63,27,33,10,14,5,5,8,8,183,178,8,8,3,3,7,5,1,3,4-4-2,6.82,4-4-1-1,6.86,2.636363636363636,21.454545454545453,10.625,11.5625,12.875,13.125,10.56,12.86,,
170,Шеффилд Юнайтед,Ньюкасл,Энди Мэдли,2.3,3.1,3.3,25,0,0,2155,334,1821,66,34,13,12,2,5,559,283,67,65,24,12,15,8,50,51,21,19,11,15,5,2,8,6,134,127,17,7,4,3,13,4,4,3,3-5-2,6.68,5-4-1,6.8,2.5,24.166666666666668,12.25,12.823529411764708,11.25,10.764705882352942,8.0,24.0,,
171,Вулверхэмптон,Эвертон,Мартин Аткинсон,2.5,2.8,3.25,17,1,1,1309,685,624,52,48,6,11,2,2,558,500,27,38,26,20,14,18,40,44,8,16,14,11,6,5,13,10,102,103,12,5,3,3,7,5,5,0,4-3-3,6.85,4-4-2,6.97,2.1538461538461537,18.692307692307693,14.25,12.294117647058824,10.125,10.235294117647058,15.1,18.44,,
172,Манчестер Сити,Брайтон,Англия Даррен,1.14,8.0,19.0,16,1,0,1907,237,1670,65,35,4,12,0,2,726,384,54,48,20,15,31,17,61,46,16,10,16,21,8,4,13,11,125,125,16,5,6,1,13,2,3,3,4-3-3,7.02,4-3-1-2,6.83,3.0,25.0,10.75,10.117647058823527,12.75,12.176470588235292,10.9,17.62,,
173,Арсенал,Кристал Пэлас,Андре Марринер,1.66,3.75,5.25,22,0,0,1767,537,1230,67,33,11,11,1,1,692,339,47,57,25,9,27,30,63,56,17,14,17,14,7,3,10,17,140,120,11,12,4,2,5,8,6,4,4-2-3-1,6.88,4-4-2,6.78,2.636363636363636,17.272727272727273,10.25,9.411764705882351,11.375,11.176470588235292,5.93,23.88,,
174,Вест Хэм,Вест Бромвич,Грэм Скотт,1.53,4.2,6.0,20,1,0,1546,727,819,59,41,10,10,0,1,541,375,63,81,24,16,20,7,48,47,22,16,5,19,3,1,3,8,149,138,14,6,6,2,8,2,6,4,4-2-3-1,6.91,4-4-1-1,6.66,2.857142857142857,21.428571428571427,10.875,10.470588235294118,10.125,10.647058823529411,13.92,16.47,,
175,Лестер,Челси,Крэйг Поусон,2.75,3.4,2.5,23,2,0,942,1115,-173,35,65,7,16,1,3,340,636,39,56,18,15,19,21,53,53,13,10,19,25,6,3,11,5,123,123,8,9,6,5,5,8,3,1,4-1-4-1,6.93,4-2-3-1,6.98,3.2222222222222223,24.666666666666668,11.375,9.764705882352942,11.875,12.235294117647058,18.05,8.55,,
176,Фулхэм,Манчестер Юнайтед,Мартин Аткинсон,5.5,4.0,1.6,16,1,1,696,1938,-1242,38,62,6,10,3,1,400,636,46,61,15,28,19,13,44,44,11,10,12,18,2,8,15,11,133,148,12,15,5,5,8,10,4,5,3-4-2-1,6.84,4-2-3-1,6.95,2.2857142857142856,18.571428571428573,13.375,13.117647058823527,13.375,12.823529411764708,17.79,7.33,,
177,Ливерпуль,Бернли,Майк Дин,1.28,6.0,10.0,19,0,0,2703,238,2465,71,29,11,8,2,1,686,274,64,84,40,10,9,6,35,44,15,21,6,10,12,0,4,14,161,127,27,6,6,4,16,5,11,1,4-3-3,6.99,4-4-2,6.78,4.0,23.727272727272727,9.875,9.941176470588236,12.5,11.294117647058824,8.71,28.91,,
178,Лидс,Саутгемптон,Андре Марринер,2.1,3.7,3.3,24,0,0,799,1046,-247,46,54,11,13,1,2,319,365,50,36,8,15,15,28,50,64,7,12,25,18,2,4,10,11,149,164,11,13,7,5,9,8,2,5,3-3-3-1,6.9,4-4-2,6.8,2.583333333333333,17.666666666666668,10.625,10.588235294117649,12.25,12.176470588235292,6.72,6.46,,
179,Астон Вилла,Тоттенхэм,Майк Дин,2.9,3.4,2.4,31,0,1,965,985,-20,50,50,18,13,3,2,416,421,49,48,25,17,21,29,64,74,18,19,24,18,5,8,12,8,152,152,8,9,1,3,4,6,4,3,4-2-3-1,7.02,4-4-2,6.92,3.9166666666666665,23.33333333333333,11.75,11.235294117647058,11.25,12.882352941176473,6.34,10.8,,
180,Вулверхэмптон,Вест Бромвич,Майкл Оливер,1.61,3.7,6.0,24,2,1,2473,603,1870,68,32,10,14,2,1,549,270,50,56,31,6,29,9,75,52,31,22,12,19,11,0,10,7,148,129,23,12,6,5,15,8,8,4,4-3-3,6.85,4-2-3-1,6.66,3.230769230769231,23.153846153846157,13.333333333333334,11.944444444444445,10.11111111111111,10.61111111111111,6.76,17.11,,
181,Лидс,Брайтон,Кевин Френд,2.2,3.5,3.2,17,0,1,1223,569,654,66,34,8,9,1,1,601,305,47,68,29,14,20,14,54,40,14,14,13,10,5,2,10,13,158,145,7,7,2,2,4,5,3,2,4-1-4-1,6.91,3-4-2-1,6.82,2.3,23.7,10.666666666666666,10.61111111111111,12.666666666666666,12.166666666666666,8.13,17.35,,
182,Вест Хэм,Бернли,Крис Кавана,1.75,3.7,4.75,21,1,0,1115,1048,67,44,56,12,9,2,1,364,454,70,81,32,28,27,8,65,56,31,26,8,13,7,4,10,15,171,168,15,10,4,2,12,3,3,7,4-2-3-1,6.9,4-4-2,6.79,3.0,24.6,10.77777777777778,10.444444444444445,12.0,11.11111111111111,9.62,9.16,,
183,Фулхэм,Челси,Питер Бэнкс,6.5,4.2,1.5,21,0,0,496,2442,-1946,30,70,11,10,2,3,328,757,56,58,11,30,15,19,62,49,22,14,20,17,1,12,18,8,147,156,10,21,3,6,7,13,3,8,5-4-1,6.83,4-3-3,6.97,3.8333333333333335,21.166666666666668,12.555555555555555,12.72222222222222,12.333333333333334,12.444444444444445,20.19,6.58,,
184,Лестер,Саутгемптон,Стюарт Аттвелл,1.66,3.9,5.0,21,1,0,920,750,170,47,53,10,11,2,2,445,493,57,65,15,17,20,27,71,54,24,16,22,13,2,5,10,8,172,189,16,8,5,3,13,5,3,3,4-2-3-1,6.91,4-4-2,6.93,4.777777777777778,23.0,10.88888888888889,9.61111111111111,12.333333333333334,12.22222222222222,9.82,9.52,,
185,Шеффилд Юнайтед,Тоттенхэм,Андре Марринер,4.5,3.6,1.83,17,0,2,929,1429,-500,42,58,13,4,4,0,413,580,51,53,22,13,13,23,56,59,26,17,19,17,5,7,13,11,145,145,15,14,5,5,7,5,8,9,3-5-2,6.7,3-4-3,6.94,2.6153846153846154,18.153846153846157,12.333333333333334,12.833333333333334,11.444444444444445,12.88888888888889,12.82,10.39,,
186,Ливерпуль,Манчестер Юнайтед,Пол Тирни,1.95,3.8,3.6,21,0,0,1633,535,1098,65,35,15,6,2,1,667,344,57,53,22,11,19,17,42,61,5,13,16,20,7,3,12,8,146,137,17,8,3,4,9,5,8,3,4-3-3,6.98,4-2-3-1,6.94,4.2727272727272725,26.272727272727277,10.0,10.0,13.0,12.666666666666666,5.43,19.26,,
187,Манчестер Сити,Кристал Пэлас,Ли Мейсон,1.16,8.0,15.0,17,1,0,2347,88,2259,72,28,9,8,0,0,747,288,48,49,29,5,13,12,45,39,14,12,18,15,11,1,8,8,131,120,13,2,6,0,7,1,6,1,4-3-3,7.03,4-1-4-1,6.79,2.0,19.428571428571427,10.0,9.77777777777778,11.333333333333334,11.166666666666666,5.17,82.2,,
188,Арсенал,Ньюкасл,Дэвид Кут,1.4,4.75,8.0,17,0,0,2193,255,1938,66,34,9,8,0,0,634,323,48,60,26,10,13,13,33,45,9,16,7,11,7,2,9,3,113,125,20,4,6,1,14,3,6,1,4-2-3-1,6.9,4-4-2,6.79,4.222222222222222,26.33333333333333,10.333333333333334,9.5,11.333333333333334,10.833333333333334,9.0,27.86,,
189,Астон Вилла,Эвертон,Мартин Аткинсон,3.0,3.3,2.4,21,0,0,1074,546,528,58,42,9,12,2,1,502,362,58,49,20,18,16,8,47,45,16,22,7,9,9,1,6,8,122,109,13,15,2,5,7,10,6,5,4-2-3-1,6.97,4-4-2,6.92,2.4,18.4,12.444444444444445,11.61111111111111,10.22222222222222,10.27777777777778,16.5,14.9,,
190,Кристал Пэлас,Вест Хэм,Стюарт Аттвелл,3.5,3.3,2.15,17,1,2,936,1361,-425,54,46,9,8,0,0,536,460,51,68,18,11,15,16,65,51,31,15,17,18,3,4,14,11,164,159,6,17,3,7,2,10,4,7,4-4-2,6.76,4-2-3-1,6.91,4.7,22.8,11.0,11.0,10.11111111111111,10.526315789473683,11.6,14.58,,
191,Ньюкасл,Лидс,Энтони Тейлор,3.9,4.0,1.83,25,0,1,1542,904,638,42,58,10,15,1,3,313,450,44,78,26,11,22,10,64,59,25,27,11,15,9,4,6,8,152,161,22,9,5,2,9,8,13,1,4-4-1-1,6.76,4-1-4-1,6.9,3.0,22.08333333333333,10.333333333333334,10.68421052631579,10.555555555555555,10.473684210526317,10.25,5.31,,
192,Саутгемптон,Арсенал,Кевин Френд,3.5,3.75,2.0,17,1,2,1100,797,303,58,42,11,6,1,2,493,353,40,59,19,16,19,18,47,49,10,11,17,15,4,5,12,7,123,136,13,9,5,5,8,7,5,2,4-4-2,6.91,4-2-3-1,6.91,2.272727272727273,23.09090909090909,12.11111111111111,12.157894736842104,8.666666666666666,9.473684210526317,6.68,16.3,,
193,Вест Бромвич,Манчестер Сити,Крис Кавана,18.0,8.0,1.14,16,0,4,128,2340,-2212,22,78,8,8,2,0,247,888,59,46,10,16,6,21,32,59,10,27,13,8,3,8,14,4,115,123,4,18,1,7,4,12,0,6,4-4-1-1,6.67,4-3-3,7.05,3.0,24.272727272727277,11.11111111111111,10.789473684210526,9.555555555555555,9.736842105263158,27.0,7.87,,
194,Бернли,Астон Вилла,Пол Тирни,4.2,3.6,1.8,23,0,1,615,1600,-985,38,62,16,7,1,0,290,475,79,92,18,22,6,20,57,51,25,23,22,6,2,4,10,7,158,165,10,18,5,10,5,14,5,4,4-4-2,6.81,4-2-3-1,7.07,4.166666666666667,25.83333333333333,10.22222222222222,11.0,10.77777777777778,11.473684210526317,8.07,12.13,,
195,Челси,Вулверхэмптон,Энди Мэдли,1.62,3.75,5.75,21,0,0,2482,86,2396,78,22,14,7,1,1,898,242,32,50,36,6,10,15,40,41,13,13,15,5,12,1,6,16,114,104,14,4,5,0,9,2,5,2,3-4-2-1,6.97,3-4-1-2,6.85,3.142857142857143,24.285714285714285,12.555555555555555,12.31578947368421,10.555555555555555,11.842105263157896,4.28,79.33,,
196,Брайтон,Фулхэм,Крэйг Поусон,2.0,3.4,4.0,24,0,0,1715,434,1281,49,51,10,14,2,1,411,439,64,56,34,11,17,20,78,58,28,26,23,12,10,0,14,16,176,169,16,10,5,3,12,8,4,2,3-5-2,6.83,3-4-3,6.83,3.3,24.5,11.666666666666666,12.0,12.88888888888889,12.63157894736842,6.85,8.56,,
197,Эвертон,Лестер,Майк Дин,3.0,3.25,2.4,22,1,0,624,1669,-1045,35,65,12,10,1,1,298,573,52,39,22,21,20,15,51,59,15,19,14,19,5,11,11,8,131,135,8,19,2,6,5,7,3,12,4-4-2,6.97,4-2-3-1,6.94,4.0,23.923076923076923,10.333333333333334,10.36842105263158,8.333333333333334,9.63157894736842,24.36,6.24,,
198,Манчестер Юнайтед,Шеффилд Юнайтед,Питер Бэнкс,1.25,5.75,10.0,22,0,1,2183,359,1824,75,25,10,12,1,1,803,257,80,59,23,7,25,13,72,33,23,5,21,15,7,2,4,16,143,131,16,5,4,3,10,5,6,0,4-2-3-1,6.95,3-5-2,6.7,4.0,21.142857142857142,12.333333333333334,12.31578947368421,13.333333333333334,12.842105263157896,5.68,17.12,,
199,Тоттенхэм,Ливерпуль,Мартин Аткинсон,3.6,3.9,1.95,20,0,1,555,1312,-757,49,51,9,11,1,2,592,587,57,41,5,12,16,16,46,41,12,11,14,10,1,2,11,16,133,131,3,14,2,7,1,11,2,3,3-4-3,6.95,4-3-3,6.98,2.4375,18.5625,14.333333333333334,12.421052631578949,10.0,10.263157894736842,14.81,14.56,,
200,Эвертон,Ньюкасл,Стюарт Аттвелл,1.55,4.0,6.5,19,0,0,1106,1074,32,60,40,13,6,3,4,488,301,57,61,25,30,9,15,49,46,21,12,17,14,7,12,9,10,131,137,11,13,3,3,8,9,3,4,4-2-3-1,6.96,4-3-1-2,6.77,4.2727272727272725,22.272727272727277,10.5,10.45,11.0,10.65,6.7,28.18,,
201,Кристал Пэлас,Вулверхэмптон,Саймон Хупер,2.9,3.1,2.55,17,0,0,664,799,-135,47,53,7,10,1,2,518,560,57,30,5,25,18,24,43,52,9,8,14,25,1,6,8,6,116,120,11,6,2,4,5,4,6,2,4-2-3-1,6.76,3-4-2-1,6.85,2.5,24.166666666666668,10.8,10.9,10.2,11.6,19.5,18.71,,
202,Манчестер Сити,Шеффилд Юнайтед,Дэвид Кут,1.14,7.5,19.0,17,1,0,2172,159,2013,75,25,7,10,0,3,805,273,73,53,21,3,16,6,44,40,14,14,12,15,10,0,4,10,119,99,10,4,5,1,6,0,4,4,4-3-3,7.08,5-3-2,6.7,3.8,25.4,9.9,9.65,13.2,12.8,10.27,35.42,,
203,Вест Бромвич,Фулхэм,Энтони Тейлор,3.5,3.3,2.15,19,0,1,680,1497,-817,37,63,9,10,1,0,336,574,77,62,17,18,11,15,50,63,20,36,13,8,2,3,14,6,165,166,5,12,3,7,4,8,1,4,3-5-2,6.64,3-4-3,6.84,3.076923076923077,22.307692307692307,10.8,10.65,13.0,12.7,14.5,8.76,,
204,Арсенал,Манчестер Юнайтед,Майкл Оливер,3.5,3.6,2.05,25,0,0,976,1409,-433,43,57,9,16,1,3,436,566,43,40,12,24,9,13,45,37,10,12,13,10,4,7,13,16,108,126,17,14,3,3,8,8,9,6,4-2-3-1,6.92,4-2-3-1,6.96,3.2142857142857144,23.214285714285715,10.2,9.3,12.3,12.2,18.69,11.55,,
205,Саутгемптон,Астон Вилла,Ли Мейсон,3.2,3.7,2.1,23,0,1,1618,672,946,59,41,12,11,1,0,487,336,46,58,24,10,25,13,57,55,11,17,24,23,7,1,8,16,153,143,20,8,5,4,11,7,9,1,4-4-2,6.89,4-2-3-1,7.04,1.75,19.125,12.0,12.1,10.4,11.25,9.06,10.54,,
206,Челси,Бернли,Грэм Скотт,1.3,5.25,10.0,16,1,0,2727,210,2517,71,29,7,9,0,1,723,287,62,77,14,11,17,8,44,50,13,22,13,15,4,2,9,10,139,140,19,1,8,0,11,1,8,0,3-4-2-1,6.98,4-4-2,6.82,2.625,21.25,12.7,12.4,11.7,11.25,6.35,17.09,,
207,Лестер,Лидс,Крис Кавана,1.8,3.8,4.2,33,1,1,1347,797,550,50,50,17,16,0,3,404,389,46,53,14,9,31,10,65,59,22,12,15,27,5,4,14,19,171,161,18,8,8,7,7,7,11,1,4-2-3-1,6.93,4-1-4-1,6.9,2.9166666666666665,23.58333333333333,10.8,9.65,11.0,10.7,8.18,7.23,,
208,Вест Хэм,Ливерпуль,Джонатан Мосс,3.5,3.75,2.0,15,0,0,416,1627,-1211,32,68,7,8,2,0,365,785,64,44,22,13,13,15,36,39,12,12,15,13,6,4,18,4,124,123,8,14,2,5,6,10,2,4,4-2-3-1,6.91,4-3-1-2,6.99,2.583333333333333,21.33333333333333,10.9,10.4,10.1,10.3,42.0,12.29,,
209,Брайтон,Тоттенхэм,Питер Бэнкс,3.2,3.3,2.3,22,1,0,1525,741,784,43,57,11,11,2,1,407,556,48,60,26,15,13,29,44,51,7,11,19,13,9,2,21,10,138,147,16,8,5,4,11,3,5,5,3-4-2-1,6.84,3-4-2-1,6.93,3.75,21.25,11.5,11.9,10.7,12.25,9.45,12.13,,
210,Шеффилд Юнайтед,Вест Бромвич,Пол Тирни,2.05,3.3,3.8,20,0,1,1839,567,1272,68,32,11,9,2,1,593,268,60,66,27,17,17,13,66,60,27,30,20,18,9,2,10,12,159,149,14,8,6,4,9,7,5,1,3-5-2,6.7,4-4-1-1,6.65,3.923076923076923,25.615384615384617,12.4,12.666666666666666,10.5,10.571428571428571,5.0,17.82,,
211,Вулверхэмптон,Арсенал,Крэйг Поусон,3.6,3.2,2.15,19,1,1,1682,1042,640,54,46,11,8,3,2,576,488,46,30,27,12,27,11,46,43,11,12,10,13,9,6,6,4,105,88,11,9,7,3,7,6,4,3,4-2-3-1,6.85,4-2-3-1,6.93,3.272727272727273,24.454545454545453,13.0,11.523809523809524,8.4,9.285714285714286,25.23,15.32,,
212,Манчестер Юнайтед,Саутгемптон,Майк Дин,1.44,4.75,6.5,17,4,0,3162,134,3028,74,26,11,6,2,3,626,215,38,42,22,4,15,9,38,40,12,8,13,20,5,3,8,13,128,118,24,3,14,1,14,1,10,2,4-2-3-1,6.96,4-4-2,6.89,3.857142857142857,23.785714285714285,12.1,12.38095238095238,12.2,12.095238095238097,4.56,14.5,,
213,Ньюкасл,Кристал Пэлас,Англия Даррен,2.88,3.3,2.5,25,1,2,2213,512,1701,61,39,14,11,1,3,610,397,68,61,33,8,22,15,56,50,23,15,12,14,9,1,7,11,144,135,21,6,5,3,15,3,6,3,4-3-1-2,6.79,4-4-2,6.76,2.8,23.2,10.3,10.428571428571429,11.0,10.714285714285714,9.48,21.0,,
214,Бернли,Манчестер Сити,Мартин Аткинсон,16.0,7.5,1.17,13,0,2,187,1865,-1678,25,75,8,5,2,1,271,804,61,42,10,10,8,17,41,40,14,17,17,8,1,3,8,6,100,108,2,13,0,6,1,8,1,5,4-4-2,6.81,4-3-3,7.09,2.4705882352941178,18.647058823529413,10.8,11.142857142857142,9.4,9.523809523809524,31.21,11.92,,
215,Фулхэм,Лестер,Роберт Джонс,3.75,3.3,2.05,27,0,2,1124,579,545,57,43,17,10,3,1,598,447,57,61,25,8,28,19,66,57,16,15,22,18,5,2,13,9,155,150,8,9,1,5,4,7,4,2,3-4-3,6.84,4-2-3-1,6.92,2.5,22.0,12.4,12.571428571428571,8.5,10.0,7.67,19.0,,
216,Лидс,Эвертон,Майкл Оливер,2.5,3.4,2.75,24,0,2,1893,694,1199,63,37,12,12,2,3,561,331,39,53,25,12,15,20,48,63,11,24,16,13,7,1,11,10,156,136,16,10,7,6,12,6,4,4,4-1-4-1,6.91,4-2-3-1,6.96,3.2666666666666666,23.33333333333333,10.4,10.952380952380953,10.4,10.571428571428571,5.61,14.55,,
217,Астон Вилла,Вест Хэм,Энди Мэдли,2.25,3.5,3.1,27,0,0,1320,1135,185,56,44,11,16,1,1,480,376,49,57,23,16,15,13,54,44,15,13,13,15,7,3,4,5,137,121,9,20,2,10,6,11,3,9,4-2-3-1,7.05,4-2-3-1,6.89,3.0,23.875,12.1,11.238095238095235,9.9,10.238095238095235,7.73,17.27,,
218,Ливерпуль,Брайтон,Кевин Френд,1.44,4.75,6.5,18,0,0,1201,611,590,63,37,12,6,1,0,697,404,47,64,27,12,9,9,32,47,9,18,12,13,5,3,12,15,162,142,11,13,1,4,5,12,6,1,4-3-3,6.99,3-5-2,6.86,2.333333333333333,22.58333333333333,10.5,10.19047619047619,12.3,11.857142857142858,10.71,29.08,,
219,Тоттенхэм,Челси,Андре Марринер,4.0,3.4,1.95,34,0,1,644,1769,-1125,42,58,20,14,2,3,457,630,53,44,11,19,17,18,55,62,14,19,13,10,2,7,13,13,118,113,7,16,2,2,3,12,4,4,4-2-2-2,6.93,3-4-1-2,6.99,2.7142857142857144,18.071428571428573,13.8,12.19047619047619,12.1,12.142857142857142,12.34,9.21,,
220,Астон Вилла,Арсенал,Крис Кавана,2.88,3.5,2.38,24,1,0,709,1597,-888,33,67,12,12,3,2,316,597,69,36,8,40,18,15,63,47,24,19,18,12,3,7,10,6,127,145,12,14,8,3,9,10,3,4,4-2-3-1,7.04,4-2-3-1,6.91,2.923076923076923,24.307692307692307,12.0,11.227272727272728,8.363636363636363,9.227272727272728,20.6,6.14,,
221,Бернли,Брайтон,Энтони Тейлор,3.6,3.2,2.15,18,0,1,1716,682,1034,54,46,8,10,2,0,444,379,64,70,29,14,14,7,59,40,31,22,8,7,8,7,6,10,143,131,20,10,7,2,12,5,8,5,4-4-2,6.8,3-4-1-2,6.87,2.9285714285714284,22.071428571428573,10.545454545454543,11.0,11.727272727272728,11.590909090909092,18.0,12.72,,
222,Ньюкасл,Саутгемптон,Крэйг Поусон,3.3,3.5,2.2,25,3,1,327,2312,-1985,26,74,11,14,4,1,221,610,67,45,6,30,20,13,60,46,19,14,16,17,0,7,12,11,140,158,6,14,4,5,4,10,2,4,4-3-1-2,6.79,4-4-2,6.83,3.4166666666666665,24.0,10.636363636363637,10.590909090909092,11.636363636363637,11.818181818181818,18.0,2.88,,
223,Фулхэм,Вест Хэм,Майк Дин,4.0,3.75,1.85,21,0,0,1691,671,1020,60,40,11,10,1,3,550,354,52,72,18,15,11,9,42,49,11,26,13,9,7,3,11,6,132,139,20,8,2,1,13,7,7,1,4-2-3-1,6.84,4-2-3-1,6.89,3.933333333333333,23.33333333333333,12.818181818181818,12.772727272727272,10.454545454545457,10.5,10.88,23.4,,
224,Манчестер Юнайтед,Эвертон,Джонатан Мосс,1.5699999999999998,4.2,5.5,24,2,0,1703,735,968,62,38,14,10,2,1,653,397,38,49,22,15,17,9,45,46,11,11,14,16,5,1,8,10,114,118,14,6,5,3,9,5,5,1,4-2-3-1,7.0,4-3-1-2,6.96,2.5384615384615383,20.846153846153847,12.0,12.318181818181818,10.545454545454543,10.636363636363637,10.67,35.1,,
225,Тоттенхэм,Вест Бромвич,Стюарт Аттвелл,1.36,5.0,8.5,28,0,0,1921,269,1652,65,35,16,12,1,2,589,303,35,65,20,11,23,15,53,68,14,25,17,24,8,0,4,5,148,128,13,4,6,1,9,4,4,0,4-2-3-1,6.92,4-1-4-1,6.65,4.5,22.0,14.363636363636363,12.545454545454543,10.363636363636363,10.5,7.68,24.36,,
226,Вулверхэмптон,Лестер,Мартин Аткинсон,3.2,3.25,2.3,26,0,0,946,959,-13,43,57,11,15,1,3,429,567,47,34,22,12,25,17,61,46,11,9,19,19,8,2,15,5,138,123,13,13,1,3,7,6,6,7,3-4-3,6.85,4-2-3-1,6.92,2.5,18.33333333333333,12.818181818181818,11.5,8.636363636363637,10.0,14.83,7.47,,
