,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Эйбар,Сельта,Валентин Писарро Гомес,2.62,3.1,2.8,30,0,0,1172,744,428,50,50,17,13,4,4,331,338,87,88,19,10,11,15,76,64,43,26,15,15,3,3,5,13,216,203,8,6,1,3,4,6,4,0,4-4-2,0.0,4-3-3,0.0,4.41,5.23,,,4.0,20,10,10,10,10
1,Гранада,Атлетик,Антонио Матеу,2.5,2.9,3.2,18,0,0,410,1235,-825,40,60,8,10,3,4,332,470,78,73,10,35,12,5,43,48,21,25,4,11,1,2,15,7,144,153,4,9,2,2,2,7,2,2,4-2-3-1,0.0,4-2-3-1,0.0,17.94,6.82,,,4.0,20,10,10,10,10
2,Кадис,Осасуна,Исидро Диас де Мера Эскудерос,3.2,2.9,2.5,35,0,1,1007,800,207,52,48,14,21,2,2,362,336,79,80,25,10,17,17,74,70,25,42,18,14,6,2,11,6,176,178,12,6,3,4,6,4,6,2,4-2-3-1,0.0,4-4-2,0.0,6.67,6.74,,,4.0,20,10,10,10,10
3,Алавес,Бетис,Пабло Гонсалес Фуэртес,3.3,3.1,2.35,36,0,0,614,1036,-422,41,59,19,17,3,3,299,428,57,68,14,12,16,9,57,47,24,8,12,15,6,4,14,7,129,131,7,11,2,4,6,4,1,7,3-1-4-2,0.0,4-2-3-1,0.0,8.56,9.94,,,4.0,20,10,10,10,10
4,Вальядолид,Реал Сосьедад,Марио Мелеро Лопес,3.0,3.0,2.55,32,1,0,651,1077,-426,40,60,15,17,4,1,262,393,71,60,16,18,11,15,50,61,21,26,12,12,5,3,8,7,126,143,8,8,3,2,8,4,0,4,4-2-3-1,0.0,4-1-4-1,0.0,10.29,6.05,,,4.0,20,10,10,10,10
5,Вильярреал,Уэска,Хавьер Эстрада Фернандес,1.5,4.333333333333334,6.5,32,0,1,2057,610,1447,65,35,10,22,1,1,549,280,53,62,30,21,14,15,55,45,14,14,11,15,6,6,12,16,144,125,15,10,4,3,11,8,4,2,4-4-1-1,0.0,4-2-3-1,0.0,5.62,13.24,,,4.0,20,10,10,10,10
6,Валенсия,Леванте,Хосе Мария Санчес Мартинес,2.45,3.3,2.9,23,2,2,693,1483,-790,44,56,9,14,1,4,370,460,71,37,10,21,16,21,56,40,15,12,16,6,3,4,13,7,109,117,14,19,8,8,8,11,6,8,4-4-2,0.0,4-4-2,0.0,14.5,9.91,,,4.0,20,10,10,10,10
7,Атл. Мадрид,Севилья,Хавьер Эстрада Фернандес,2.05,3.1,4.1,25,1,0,454,1797,-1343,33,67,14,11,2,0,324,615,60,45,11,37,9,17,38,49,11,8,14,13,3,12,4,13,100,118,5,13,4,2,4,9,1,4,3-5-2,7.01,4-3-3,6.95,17.35,9.33,,,2.0,32.0,10,10,10,10
8,Реал Мадрид,Хетафе,Хавьер Альберола Рохас,1.6,4.0,5.5,24,0,0,1975,123,1852,68,32,8,16,1,1,638,296,55,72,20,12,21,11,54,39,11,9,11,16,8,1,11,12,147,143,14,1,4,0,10,1,4,0,3-4-3,7.02,4-4-2,6.68,8.27,12.19,,,4.0,20,10,10,10,10
9,футбольный клуб Барселона,Эльче,Исидро Диас де Мера Эскудерос,1.11,9.0,21.0,16,0,0,1695,234,1461,65,35,8,8,0,0,772,405,36,39,8,10,26,6,56,28,9,5,21,14,6,3,7,18,103,103,9,6,5,1,7,4,2,2,4-3-3,7.04,3-4-2-1,6.74,11.52,31.13,,,4.0,35.0,10,10,10,10
10,Вильярреал,Эйбар,Хорхе Фигероа Васкес,1.66,3.8,5.25,17,0,0,1240,710,530,57,43,5,12,1,1,434,305,72,77,15,23,18,19,57,52,22,17,12,19,4,3,10,11,144,145,14,12,8,4,12,7,2,5,4-4-2,6.93,4-3-3,6.75,7.63,8.93,,,4.0,20,10.0,10.0,10,17.0
11,Хетафе,Осасуна,Алехандро Эрнандес,1.9,3.3,4.333333333333334,32,0,0,1027,790,237,55,45,19,13,4,2,418,346,94,104,28,13,9,6,58,74,33,42,7,11,4,1,10,8,218,201,6,10,1,3,4,3,2,7,4-4-2,0.0,4-4-2,0.0,6.17,12.5,,,4.0,20,10,16.0,21.0,21.0
12,Сельта,Валенсия,Хесус Хиль Мансано,2.1,3.5,3.4,25,1,0,1729,811,918,51,49,12,13,3,1,430,401,51,71,17,27,15,14,42,50,9,17,10,15,6,6,13,14,117,130,23,9,6,3,14,5,9,4,4-4-2,6.82,4-4-2,7.07,9.41,8.82,,,4.0,20,10,13.0,10,9.0
