Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
41,Брайтон,Бернли,Майкл Оливер,2.05,3.4,3.7,20,0,0,1516,579,937,62,38,13,7,0,2,491,284,62,70,16,18,13,12,60,59,27,25,21,17,3,6,12,11,182,170,14,7,5,1,11,5,3,2,3-4-3,6.73,4-4-2,6.81,2.6666666666666665,21.33333333333333,10.0,9.25,11.0,9.5,3.96,12.1,,
42,Манчестер Юнайтед,Лестер,Мартин Аткинсон,2.1,3.25,3.75,28,1,0,661,979,-318,41,59,14,14,1,2,345,471,41,72,9,24,29,23,57,72,11,16,19,30,3,9,12,10,145,161,10,9,5,3,4,3,6,6,4-2-3-1,6.94,4-1-4-1,6.91,4.0,23.0,11.5,9.5,10.0,8.0,9.72,4.77,,
43,Шеффилд Юнайтед,Саутгемптон,Ли Мейсон,2.4,3.3,3.0,17,0,0,1351,1029,322,48,52,10,7,1,1,414,467,69,60,33,20,22,26,59,67,16,20,21,18,12,6,10,9,171,165,17,11,4,7,13,8,4,3,3-5-2,6.75,3-4-2-1,6.68,5.0,22.0,13.5,14.25,11.0,12.25,12.52,12.82,,
44,Тоттенхэм,Кристал Пэлас,Крэйг Поусон,1.36,5.0,8.0,30,4,0,1657,471,1186,64,36,19,11,4,3,640,357,48,48,18,10,14,9,51,56,20,15,11,15,4,3,14,18,125,125,13,11,5,6,7,9,6,2,4-2-2-2,6.87,4-5-1,6.91,1.5,23.0,11.5,11.5,14.5,15.0,6.55,17.08,,
45,Вулверхэмптон,Челси,Грэм Скотт,3.0,3.4,2.37,19,0,3,1129,1392,-263,45,55,8,11,1,2,449,555,49,53,24,14,19,20,57,65,17,22,17,20,7,5,14,17,158,135,11,15,4,6,8,14,3,1,3-5-2,6.73,3-4-2-1,6.83,2.0,19.0,13.0,12.75,11.0,9.25,13.11,7.1,,
46,Норвич,Манчестер Сити,Кевин Френд,23.0,11.0,1.08,15,2,1,343,2572,-2229,31,69,8,7,3,1,318,671,62,42,6,46,17,29,42,62,11,19,16,15,3,16,16,7,117,142,7,25,3,8,6,18,1,7,4-2-3-1,6.65,4-2-3-1,7.26,5.0,26.33333333333333,9.0,9.25,13.0,12.5,18.43,7.96,,
47,Борнмут,Эвертон,Пол Тирни,3.2,3.5,2.2,19,1,1,741,1290,-549,40,60,5,14,0,4,336,488,53,72,7,22,14,16,61,56,23,24,18,18,7,7,13,13,163,174,13,14,6,5,8,9,5,5,4-4-2,6.74,4-2-3-1,6.82,4.5,26.0,8.5,10.25,16.0,13.75,12.09,5.52,,
48,Уотфорд,Арсенал,Энтони Тейлор,4.0,3.9,1.85,18,0,2,2148,575,1573,52,48,14,4,3,3,499,466,34,42,22,3,22,19,45,42,8,4,17,13,7,1,10,11,97,119,31,7,10,4,16,4,15,3,4-2-3-1,6.67,4-3-1-2,6.9,4.5,21.5,13.5,12.25,6.0,9.5,9.07,21.42,,
49,Астон Вилла,Вест Хэм,Майк Дин,2.7,3.5,2.5,25,0,0,809,715,94,46,54,13,12,2,3,408,470,41,61,17,18,19,15,58,60,16,17,19,21,2,4,12,8,130,132,10,13,5,1,5,6,5,7,4-3-3,6.84,4-1-4-1,6.81,4.0,20.5,10.0,11.25,10.5,10.75,9.68,10.09,,
50,Саутгемптон,Борнмут,Крис Кавана,2.15,3.5,3.3,17,0,2,2034,521,1513,64,36,8,9,1,3,554,300,70,67,24,10,11,26,68,54,22,26,30,8,4,5,9,15,178,189,25,6,6,3,13,3,12,3,4-2-2-2,6.76,4-4-2,6.8,1.0,23.666666666666668,13.5,11.2,12.0,9.2,4.09,17.94,,
51,Лестер,Тоттенхэм,Пол Тирни,2.62,3.4,2.6,29,0,1,1187,1098,89,44,56,16,13,1,2,380,491,67,48,19,22,17,16,59,56,12,15,23,18,8,2,12,8,155,163,16,11,7,4,10,9,6,2,4-1-4-1,6.86,4-3-1-2,6.96,4.333333333333333,23.666666666666668,6.0,9.2,11.5,13.0,10.64,5.62,,
52,Бернли,Норвич,Дэвид Кут,2.0,3.75,3.5,21,2,0,1339,663,676,41,59,11,10,0,1,357,528,63,61,25,10,13,15,43,53,13,13,14,19,7,3,10,5,137,139,13,11,6,2,8,5,5,6,4-4-2,6.8,4-2-3-1,6.7,4.0,27.0,8.0,9.0,9.5,9.0,11.68,14.9,,
53,Эвертон,Шеффилд Юнайтед,Саймон Хупер,1.72,3.6,5.0,18,0,1,2274,212,2062,69,31,9,9,1,3,520,227,72,69,42,13,25,12,52,52,19,24,10,15,12,3,4,14,169,131,16,2,3,1,9,2,7,0,4-2-3-1,6.78,3-5-2,6.75,3.0,20.0,11.5,13.8,15.0,13.4,5.65,13.15,,
54,Манчестер Сити,Уотфорд,Майк Дин,1.08,11.0,23.0,14,5,0,2584,234,2350,68,32,5,9,2,2,727,336,46,58,23,4,22,18,56,28,11,4,18,12,5,4,6,12,107,108,28,5,11,4,20,4,8,1,4-3-3,7.17,4-4-1-1,6.73,4.2,21.4,12.0,11.4,11.0,12.6,11.33,35.83,,
55,Ньюкасл,Брайтон,Мартин Аткинсон,2.37,3.2,3.1,20,0,0,481,1303,-822,28,72,12,8,2,1,280,718,53,55,19,17,17,12,56,50,19,18,18,14,5,3,11,11,129,139,11,16,4,3,7,9,4,7,5-4-1,6.77,3-4-3,6.75,3.8,24.0,8.5,7.4,8.5,10.0,22.9,6.1,,
56,Кристал Пэлас,Вулверхэмптон,Стюарт Аттвелл,2.7,3.1,2.8,17,0,0,1081,645,436,49,51,7,10,2,3,456,442,52,56,9,22,32,18,76,61,20,17,24,31,6,7,14,15,158,152,13,13,4,4,6,7,7,6,4-5-1,6.82,3-4-3,6.66,2.5,18.5,15.5,14.2,12.5,11.8,13.95,12.52,,
57,Вест Хэм,Манчестер Юнайтед,Энтони Тейлор,3.0,3.5,2.3,17,1,0,624,855,-231,46,54,8,9,2,2,424,479,67,43,13,20,6,14,50,45,21,13,16,13,3,7,10,5,139,135,8,9,6,3,3,5,5,4,4-1-4-1,6.84,4-2-3-1,6.92,4.8,20.8,11.0,11.0,7.5,10.4,14.95,17.18,,
58,Арсенал,Астон Вилла,Джонатан Мосс,1.4,5.0,7.0,28,0,1,1765,975,790,58,42,13,15,7,1,465,326,49,49,20,25,19,21,47,53,9,5,12,20,9,4,8,12,122,107,21,14,6,9,14,8,7,6,4-2-3-1,6.86,4-3-3,6.86,3.6666666666666665,23.666666666666668,13.0,8.4,12.5,11.6,9.1,11.0,,
59,Челси,Ливерпуль,Майкл Оливер,3.2,3.75,2.1,21,0,2,1379,906,473,55,45,8,13,3,3,492,415,69,71,26,10,9,10,55,44,20,18,15,11,6,4,15,12,162,158,13,6,2,3,7,4,6,2,4-3-3,6.88,4-3-3,7.1,2.5,21.0,7.5,9.6,11.0,8.8,11.63,7.91,,
60,Шеффилд Юнайтед,Ливерпуль,Энтони Тейлор,9.0,5.25,1.33,12,0,0,507,1910,-1403,29,71,8,4,1,1,291,708,65,76,17,23,11,12,43,52,20,26,11,11,6,5,12,6,140,149,12,16,2,4,11,8,1,8,3-5-2,6.79,4-3-3,7.05,4.666666666666667,20.166666666666668,12.333333333333334,12.666666666666666,11.666666666666666,9.5,24.24,11.27,,
61,Астон Вилла,Бернли,Ли Мейсон,2.25,3.4,3.2,26,1,0,1363,767,596,60,40,10,16,1,4,416,281,58,72,27,12,16,11,56,47,19,21,14,13,7,3,9,9,148,139,16,10,3,3,6,8,10,2,4-3-3,6.83,4-4-2,6.86,3.5,19.5,11.0,12.166666666666666,9.666666666666666,9.333333333333334,6.05,9.05,,
62,Борнмут,Вест Хэм,Стюарт Аттвелл,2.37,3.6,2.8,15,1,1,961,1024,-63,49,51,7,8,3,1,456,478,63,78,17,20,19,12,51,61,24,25,8,23,6,6,12,12,164,149,13,17,5,6,11,11,2,6,4-4-2,6.8,4-1-4-1,6.87,3.333333333333333,18.0,7.333333333333333,9.166666666666666,11.0,10.5,11.25,13.1,,
63,Челси,Брайтон,Крис Кавана,1.4,4.75,7.5,18,0,0,1942,555,1387,52,48,5,13,2,3,568,502,42,58,12,13,15,13,45,42,10,10,18,21,5,2,13,14,130,139,24,8,10,1,16,5,8,3,4-3-3,6.86,3-5-1-1,6.79,1.75,22.0,7.666666666666667,9.333333333333334,8.333333333333334,9.666666666666666,14.54,12.77,,
64,Кристал Пэлас,Норвич,Джонатан Мосс,1.9,3.75,3.75,24,1,0,1339,747,592,44,56,14,10,3,1,415,524,58,60,21,13,15,21,54,53,15,11,18,17,5,5,8,13,138,140,15,10,3,3,12,7,3,3,4-5-1,6.82,4-2-3-1,6.69,4.75,24.75,12.666666666666666,13.0,9.666666666666666,9.166666666666666,12.78,9.11,,
65,Тоттенхэм,Саутгемптон,Грэм Скотт,1.36,5.25,7.5,21,2,1,694,1742,-1048,41,59,5,16,2,2,369,518,52,49,9,25,25,14,68,52,18,17,23,24,6,6,11,11,138,139,9,14,4,6,6,8,3,6,4-2-3-1,6.92,3-4-1-2,6.75,2.25,19.0,14.0,13.0,9.666666666666666,10.666666666666666,31.75,5.65,,
66,Вулверхэмптон,Уотфорд,Пол Тирни,1.9,3.4,4.2,11,1,0,379,1585,-1206,39,61,5,6,0,1,404,628,55,58,11,20,14,16,46,50,12,22,21,15,1,6,17,5,129,154,6,14,2,5,6,10,0,4,3-4-2-1,6.67,4-3-3,6.57,4.0,25.0,11.333333333333334,11.5,10.333333333333334,12.0,22.94,11.38,,
67,Эвертон,Манчестер Сити,Майкл Оливер,8.0,5.5,1.33,12,1,1,746,1520,-774,37,63,4,8,2,2,358,619,62,51,19,13,20,17,57,40,16,11,19,15,5,2,11,8,116,103,12,19,8,8,10,13,2,6,4-2-3-1,6.75,4-3-3,7.28,3.2,21.0,10.666666666666666,13.0,11.0,10.333333333333334,32.67,9.71,,
68,Лестер,Ньюкасл,Крэйг Поусон,1.5,4.0,7.0,21,1,0,1993,120,1873,68,32,12,9,1,1,724,328,48,40,28,8,16,16,47,49,9,13,24,17,9,0,15,12,141,137,13,3,5,0,9,1,4,2,4-1-4-1,6.86,4-2-3-1,6.81,3.333333333333333,25.33333333333333,9.333333333333334,10.333333333333334,6.666666666666667,8.166666666666666,5.56,35.73,,
69,Манчестер Юнайтед,Арсенал,Кевин Френд,2.2,3.6,3.1,31,1,0,1043,695,348,54,46,18,13,4,2,440,364,50,59,19,20,17,16,45,54,10,11,15,19,8,7,11,8,142,134,16,10,4,5,4,7,12,3,4-2-3-1,6.87,4-3-3,6.86,4.75,23.5,12.333333333333334,10.166666666666666,5.333333333333333,9.166666666666666,5.93,10.13,,
70,Брайтон,Тоттенхэм,Джонатан Мосс,4.75,3.9,1.7,18,2,0,1227,657,570,47,53,11,7,2,1,494,547,58,44,16,15,20,19,52,55,13,10,22,23,4,4,14,11,146,148,17,8,6,3,10,3,7,5,4-4-2,6.79,4-2-3-1,6.92,4.6,24.6,11.0,10.142857142857142,12.0,11.857142857142858,8.14,15.24,,
