Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
0,Ливерпуль,Норвич,Майкл Оливер,1.14,9.5,21.0,18,4,0,1971,465,1506,57,43,9,9,0,2,477,363,57,52,32,2,15,16,56,38,15,7,21,12,11,2,14,11,145,130,15,12,7,5,11,8,4,4,4-3-3,0.0,4-2-3-1,0.0,3.0,20.0,10.0,10.0,10.0,10.0,5.94,21.45,,
1,Вест Хэм,Манчестер Сити,Майк Дин,12.0,7.0,1.25,19,0,1,532,1342,-810,42,58,6,13,2,2,403,547,47,44,12,6,12,18,57,54,18,17,18,18,1,1,9,13,129,114,5,14,3,9,4,10,1,4,4-2-3-1,0.0,4-3-3,0.0,3.0,20.0,10.0,10.0,10.0,10.0,16.4,6.94,,
2,Борнмут,Шеффилд Юнайтед,Кевин Френд,1.95,3.7,4.2,29,0,0,1082,1011,71,52,48,10,19,2,1,485,428,58,79,14,18,17,15,56,49,14,21,18,14,3,4,13,14,151,145,13,8,3,3,7,3,6,5,3-4-2-1,0.0,3-5-2,0.0,3.0,20.0,10.0,10.0,10.0,10.0,13.6,9.13,,
3,Бернли,Саутгемптон,Грэм Скотт,2.7,3.25,2.9,18,0,0,985,1046,-61,46,54,6,12,0,0,332,393,83,98,14,10,15,11,68,41,23,22,21,7,2,7,14,10,201,205,10,11,4,3,8,5,2,6,4-4-2,0.0,3-4-2-1,0.0,3.0,20.0,10.0,10.0,10.0,10.0,9.28,5.5,,
4,Кристал Пэлас,Эвертон,Джонатан Мосс,3.4,3.5,2.25,30,0,0,569,1278,-709,35,65,16,14,2,3,268,500,48,64,14,17,12,14,71,53,30,18,21,14,6,2,10,14,166,169,6,10,2,3,6,7,0,3,4-4-2,0.0,4-2-3-1,0.0,3.0,20.0,10.0,10.0,10.0,10.0,11.31,4.07,,
5,Уотфорд,Брайтон,Крэйг Поусон,2.1,3.25,4.2,26,0,1,1040,647,393,48,52,15,11,0,1,414,442,44,77,14,12,15,12,46,62,14,19,12,24,5,2,12,11,145,146,11,5,3,3,4,3,7,2,4-2-2-2,0.0,3-4-3,0.0,3.0,20.0,10.0,10.0,10.0,10.0,9.79,11.5,,
6,Тоттенхэм,Астон Вилла,Крис Кавана,1.36,5.5,9.0,22,0,1,2772,156,2616,70,30,13,9,1,0,587,256,44,49,38,8,25,8,47,58,10,12,17,29,14,0,5,9,131,95,31,7,7,4,17,4,14,3,4-3-1-2,0.0,4-1-4-1,0.0,3.0,20.0,10.0,10.0,10.0,10.0,5.25,13.42,,
7,Лестер,Вулверхэмптон,Андре Марринер,2.4,3.25,3.3,16,0,0,2220,396,1824,70,30,3,13,0,2,665,291,39,62,29,6,28,20,71,55,24,22,20,19,12,3,7,9,164,146,16,8,1,2,3,5,13,3,4-1-4-1,0.0,3-5-2,0.0,3.0,20.0,10.0,10.0,10.0,10.0,6.43,18.67,,
8,Ньюкасл,Арсенал,Мартин Аткинсон,3.4,3.6,2.2,19,0,0,699,943,-244,38,62,12,7,1,3,378,616,61,51,15,10,18,25,65,48,21,14,26,11,5,3,20,6,143,149,9,8,2,2,4,7,5,1,3-5-2,0.0,4-2-3-1,0.0,3.0,20.0,10.0,10.0,10.0,10.0,13.21,11.05,,
9,Манчестер Юнайтед,Челси,Энтони Тейлор,2.05,3.5,4.0,28,1,0,890,1459,-569,46,54,15,13,3,4,449,523,53,38,14,19,20,24,55,58,13,9,16,21,3,5,12,15,140,133,11,18,5,7,7,9,4,9,4-2-3-1,0.0,4-2-3-1,0.0,3.0,20.0,10.0,10.0,10.0,10.0,9.06,6.45,,
10,Арсенал,Бернли,Майк Дин,1.33,5.25,9.0,24,1,1,1521,851,670,67,33,13,11,2,1,529,234,50,58,17,30,20,10,55,51,21,20,12,16,10,7,9,6,141,129,15,18,9,5,8,13,7,5,4-2-3-1,6.85,4-4-2,7.25,4.0,19.0,10.0,7.0,10.0,6.0,5.31,11.38,,
11,Астон Вилла,Борнмут,Мартин Аткинсон,2.2,3.6,3.1,23,0,2,1865,518,1347,62,38,10,13,0,2,490,295,59,72,31,14,10,5,57,49,28,22,7,15,10,5,9,11,147,125,21,12,7,4,11,8,10,4,4-3-3,6.71,4-4-1-1,6.87,4.0,19.0,10.0,9.0,10.0,10.0,13.0,10.72,,
12,Брайтон,Вест Хэм,Энтони Тейлор,2.2,3.4,3.3,21,0,0,1471,518,953,57,43,11,10,0,2,497,377,62,68,25,14,16,23,67,66,31,14,20,22,8,6,12,15,160,167,16,8,4,3,12,4,4,4,3-4-3,7.17,4-1-4-1,6.12,7.0,28.0,10.0,11.0,10.0,6.0,5.49,8.87,,
13,Эвертон,Уотфорд,Ли Мейсон,1.8,3.6,4.5,22,1,0,564,1157,-593,44,56,11,11,2,3,303,388,55,68,11,20,29,17,76,79,28,27,20,34,4,7,6,9,171,168,12,8,2,2,7,5,5,3,4-2-3-1,6.82,4-2-2-2,6.4,3.0,20.0,10.0,14.0,10.0,15.0,8.86,3.93,,
14,Норвич,Ньюкасл,Стюарт Аттвелл,2.1,3.4,3.5,20,1,0,1436,719,717,63,37,9,11,1,3,603,336,53,61,15,21,15,13,49,38,14,9,14,14,7,5,5,11,119,116,15,12,8,4,12,10,3,2,4-2-3-1,6.46,3-5-2,6.82,3.0,20.0,10.0,9.0,10.0,12.0,13.93,17.5,,
15,Саутгемптон,Ливерпуль,Андре Марринер,6.5,4.5,1.45,16,0,1,1082,1707,-625,36,64,10,6,2,1,296,530,73,67,19,24,11,18,44,45,15,19,15,7,5,9,10,10,150,172,14,15,3,6,9,9,5,6,3-5-2,6.3,4-3-3,7.23,2.0,16.0,10.0,12.0,10.0,9.0,12.0,9.43,,
16,Манчестер Сити,Тоттенхэм,Майкл Оливер,1.33,5.5,8.0,18,2,1,2406,197,2209,55,45,14,4,1,0,610,506,47,48,31,5,17,20,43,53,15,10,15,17,13,2,10,6,113,121,30,3,10,2,22,1,8,2,4-2-3-1,7.44,4-2-3-1,7.15,2.0,18.0,10.0,13.0,10.0,13.0,8.98,47.14,,
17,Шеффилд Юнайтед,Кристал Пэлас,Дэвид Кут,2.45,3.3,2.9,27,0,0,1003,928,75,42,58,16,11,3,1,354,498,73,62,21,12,20,20,62,74,23,27,20,21,8,4,14,13,145,156,15,6,3,4,10,2,5,4,3-5-2,6.71,4-4-2,6.95,3.0,20.0,10.0,19.0,10.0,16.0,11.12,11.6,,
18,Челси,Лестер,Грэм Скотт,1.7,3.75,5.0,23,1,0,1282,1051,231,50,50,9,14,1,0,454,455,46,61,20,16,19,23,72,64,23,13,25,29,4,5,10,15,167,168,14,12,5,3,9,6,5,6,4-3-3,6.43,4-1-4-1,6.98,0.0,18.0,10.0,13.0,10.0,3.0,10.58,6.3,,
19,Вулверхэмптон,Манчестер Юнайтед,Джонатан Мосс,2.87,3.3,2.45,25,0,1,547,1582,-1035,34,66,17,8,2,2,350,668,64,61,13,17,21,15,42,67,10,20,17,23,4,6,14,5,146,142,6,9,2,2,5,5,1,4,3-5-2,6.82,4-2-3-1,7.29,5.0,30.0,10.0,13.0,10.0,15.0,19.95,8.36,,
20,Астон Вилла,Эвертон,Майкл Оливер,3.0,3.4,2.37,28,1,0,273,1556,-1283,35,65,10,18,2,3,301,539,89,49,7,24,17,15,56,66,16,28,12,16,0,6,13,5,141,160,7,12,3,1,3,7,4,5,4-1-4-1,6.79,4-2-3-1,6.84,1.5,18.0,10.0,9.5,14.0,12.5,13.25,5.41,,
21,Норвич,Челси,Мартин Аткинсон,4.333333333333334,3.75,1.8,18,2,2,646,1650,-1004,46,54,9,9,1,1,481,543,50,40,7,18,20,24,39,72,12,17,16,26,1,8,11,11,140,142,6,23,5,8,5,12,1,11,4-2-3-1,6.79,4-3-3,6.62,3.0,21.0,9.0,9.0,13.0,11.0,10.0,13.73,,
22,Брайтон,Саутгемптон,Кевин Френд,2.3,3.25,3.3,19,0,0,1127,846,281,50,50,9,10,1,3,394,395,63,54,18,7,20,16,61,53,24,15,16,19,8,5,15,4,160,145,12,12,3,4,9,6,3,6,3-4-3,6.96,4-2-2-2,6.47,3.0,29.0,11.0,11.0,12.0,11.0,9.17,10.75,,
23,Манчестер Юнайтед,Кристал Пэлас,Пол Тирни,1.33,5.25,9.0,26,0,1,2700,322,2378,71,29,8,18,2,4,562,231,49,57,27,7,16,12,57,56,23,15,9,25,8,1,6,16,139,122,22,5,3,3,14,5,8,0,4-2-3-1,7.09,4-5-1,6.87,3.0,20.0,15.0,11.5,11.0,13.5,6.86,15.28,,
24,Шеффилд Юнайтед,Лестер,Энди Мэдли,3.25,3.3,2.25,17,0,1,1134,684,450,49,51,11,6,1,0,421,452,75,53,32,14,14,15,58,54,25,21,16,13,7,4,15,11,169,144,7,10,2,2,4,5,3,5,3-5-2,6.85,4-3-3,6.88,3.0,20.0,16.0,17.5,14.0,8.5,11.39,8.94,,
25,Уотфорд,Вест Хэм,Крис Кавана,2.15,3.5,3.3,23,1,1,1303,932,371,54,46,12,11,1,1,465,386,39,55,26,14,13,15,53,56,16,17,17,17,8,7,11,11,123,122,23,16,3,10,19,13,4,3,4-3-1-2,6.57,4-2-3-1,6.45,1.0,22.0,15.0,13.0,10.0,8.0,9.29,12.95,,
26,Ливерпуль,Арсенал,Энтони Тейлор,1.45,5.0,6.0,13,1,0,1582,503,1079,52,48,8,5,1,1,553,516,53,47,27,13,15,21,45,48,7,11,25,16,6,4,9,7,136,129,25,9,5,3,17,4,8,5,4-3-3,7.07,4-3-1-2,6.96,4.5,24.5,9.0,7.5,7.0,10.0,9.78,28.43,,
27,Борнмут,Манчестер Сити,Андре Марринер,17.0,7.5,1.16,20,1,2,611,1482,-871,26,74,7,13,1,3,249,728,60,45,15,10,13,9,42,46,15,16,8,16,4,5,16,8,122,118,10,18,7,5,8,14,2,4,5-4-1,6.9,4-3-3,7.21,2.5,16.0,10.0,11.5,13.0,13.5,22.9,5.17,,
28,Тоттенхэм,Ньюкасл,Майк Дин,1.25,6.0,11.0,15,0,1,2058,185,1873,80,20,10,5,2,2,763,190,27,48,36,8,17,9,37,44,10,16,10,15,6,6,7,11,138,94,17,8,2,3,8,7,9,1,4-2-3-1,7.03,5-4-1,6.71,3.5,21.5,13.0,8.5,11.0,11.5,4.84,32.3,,
29,Вулверхэмптон,Бернли,Крэйг Поусон,1.75,3.4,5.25,20,0,1,1106,782,324,65,35,9,11,0,2,586,306,77,76,21,19,14,10,69,50,41,24,9,12,4,3,6,11,161,146,17,13,2,4,9,8,8,5,3-5-2,6.73,4-4-2,7.02,1.0,26.0,17.0,15.0,11.0,8.5,11.83,14.62,,
30,Саутгемптон,Манчестер Юнайтед,Майк Дин,4.0,3.5,1.9,24,0,1,806,1731,-925,41,59,17,7,3,2,375,537,64,45,19,22,16,19,55,70,18,27,25,19,2,3,19,7,161,183,10,21,2,8,5,13,5,8,4-2-2-2,6.63,4-2-3-1,6.94,3.6666666666666665,19.33333333333333,10.0,10.666666666666666,8.0,10.333333333333334,6.67,13.57,,
31,Челси,Шеффилд Юнайтед,Стюарт Аттвелл,1.36,4.75,8.0,17,2,0,1282,669,613,62,38,6,11,0,1,719,429,69,79,14,14,21,15,62,51,20,23,16,15,3,4,14,17,133,129,13,8,5,2,8,3,5,5,4-3-3,6.83,3-5-2,6.8,4.0,20.0,9.0,10.333333333333334,19.0,15.333333333333334,14.88,20.92,,
32,Кристал Пэлас,Астон Вилла,Кевин Френд,2.2,3.4,3.3,31,0,0,2153,525,1628,52,48,15,16,2,6,407,379,41,53,30,14,14,12,50,57,13,13,18,19,13,2,7,15,123,112,22,10,5,2,14,3,8,7,4-3-3,6.85,4-3-3,6.86,3.5,24.0,16.0,15.0,9.0,9.666666666666666,9.0,9.04,,
33,Лестер,Борнмут,Питер Бэнкс,1.61,4.0,5.25,20,2,1,1080,628,452,55,45,9,11,1,3,541,432,60,46,14,17,16,21,55,59,15,21,22,14,4,5,14,22,156,163,15,8,6,2,7,3,8,5,4-1-4-1,6.87,4-4-2,6.76,3.0,20.0,3.0,7.666666666666667,13.0,10.0,6.91,10.0,,
34,Манчестер Сити,Брайтон,Джонатан Мосс,1.08,11.0,26.0,16,2,0,1419,208,1211,53,47,10,6,1,1,598,523,51,44,13,10,12,12,33,41,6,6,15,18,8,1,10,8,106,113,15,6,6,2,10,5,5,1,4-3-3,7.21,3-4-3,6.84,4.5,27.5,14.0,13.333333333333334,11.0,10.333333333333334,11.44,21.63,,
35,Ньюкасл,Уотфорд,Грэм Скотт,2.55,3.1,2.9,16,1,1,992,651,341,48,52,5,11,2,3,468,498,62,68,23,13,19,11,52,50,18,24,11,14,6,5,12,12,164,160,13,13,5,3,8,8,5,5,5-4-1,6.81,3-4-2-1,6.63,0.5,20.5,12.0,9.333333333333334,11.0,12.666666666666666,19.6,12.0,,
36,Вест Хэм,Норвич,Пол Тирни,1.85,4.0,3.75,26,1,0,1367,669,698,48,52,16,10,2,1,474,500,52,33,14,14,28,27,77,56,17,8,29,14,8,2,11,7,121,124,18,8,8,3,14,5,4,3,4-1-4-1,6.68,4-2-3-1,6.69,6.0,26.0,6.0,9.0,9.0,9.0,7.84,8.74,,
37,Бернли,Ливерпуль,Крис Кавана,8.5,5.25,1.33,26,0,2,528,1424,-896,36,64,10,16,0,0,318,568,81,79,13,18,10,18,56,54,21,24,14,11,6,4,11,9,170,176,7,15,2,7,4,7,3,8,4-4-2,6.91,4-3-3,7.05,1.5,22.5,6.0,9.333333333333334,6.0,7.666666666666667,16.26,6.21,,
38,Эвертон,Вулверхэмптон,Энтони Тейлор,2.0,3.25,4.0,24,2,1,1347,778,569,58,42,12,12,1,6,451,320,71,73,25,17,16,21,71,70,26,26,24,19,7,7,7,11,154,172,15,8,6,5,11,6,4,2,4-2-3-1,6.77,3-5-2,6.82,3.6666666666666665,20.666666666666668,11.0,14.333333333333334,13.0,13.0,5.33,20.17,,
39,Арсенал,Тоттенхэм,Мартин Аткинсон,2.55,3.6,2.62,32,1,2,1995,919,1076,54,46,13,19,3,5,453,388,45,58,25,11,17,16,71,46,16,13,23,13,11,6,11,6,128,128,26,13,8,9,13,6,13,7,4-3-3,6.82,4-2-2-2,6.94,2.6666666666666665,20.0,13.0,8.333333333333334,4.0,9.0,6.79,12.18,,
40,Ливерпуль,Ньюкасл,Андре Марринер,1.18,7.5,13.0,9,2,1,3068,169,2899,75,25,5,4,0,0,847,282,45,57,34,5,18,17,52,47,25,13,13,20,10,1,8,11,151,128,21,8,9,1,18,4,3,4,4-3-3,7.06,5-4-1,6.83,3.0,17.333333333333332,8.5,9.75,8.0,8.25,6.96,41.9,,
