Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
165,Специя,Лечче,Даниэле Чиффи,2.38,3.1,3.3,29,0,0,1225,1032,193,57,43,14,15,0,1,429,312,65,80,20,23,5,4,40,44,15,13,10,18,5,7,8,9,196,170,10,15,2,4,8,10,2,5,19,29,301,200,3-5-2,6.7,4-3-3,6.77,6.86,8.4,,
166,Сампдория,Наполи,Росарио Абиссо,7.5,4.333333333333334,1.44,27,0,2,201,2351,-2150,34,66,15,12,3,2,329,666,50,53,12,15,8,13,49,39,12,12,22,12,2,5,7,4,115,111,9,24,2,8,3,17,6,7,23,11,248,608,3-4-1-2,6.68,4-3-3,7.02,16.9,8.14,,
167,Милан,Рома,Давиде Масса,1.8,3.7,4.333333333333334,32,2,2,1658,703,955,61,39,19,13,4,6,507,316,50,41,15,16,10,18,54,46,9,10,28,12,3,4,10,9,108,120,12,12,5,3,7,4,5,8,15,17,438,255,4-2-3-1,6.96,3-4-2-1,6.88,4.57,15.62,,
168,Верона,Кремонезе,Маурицио Мариани,2.2,3.2,3.5,27,2,0,871,1024,-153,47,53,16,11,3,4,389,436,63,74,11,18,15,11,74,61,40,21,18,21,3,5,11,6,175,176,9,14,4,5,7,5,2,9,27,8,276,315,3-4-2-1,6.69,4-2-3-1,6.77,9.17,9.28,,
169,Болонья,Аталанта,Марко Ди Белло,3.4,3.3,2.2,31,1,2,1073,597,476,51,49,16,15,3,2,532,515,57,56,17,18,19,13,55,51,9,15,19,16,4,0,11,18,163,153,12,7,3,3,4,6,8,1,13,20,422,412,4-2-3-1,6.77,3-4-1-2,6.84,14.56,10.92,,
170,Наполи,Ювентус,Даниэле Довери,2.0,3.4,3.8,19,5,1,1632,628,1004,60,40,10,9,0,1,566,364,44,38,13,17,18,23,45,58,3,13,26,27,2,5,8,9,116,122,14,11,10,2,10,7,4,4,13,13,500,297,4-3-3,7.02,3-5-2,7.01,9.45,10.31,,
171,Кремонезе,Монца,Давиде Масса,2.75,3.1,2.7,24,2,3,1478,828,650,50,50,12,12,2,4,403,420,60,78,25,11,9,22,58,54,18,18,25,16,4,2,8,13,187,170,11,8,7,3,8,7,3,1,13,28,296,315,3-4-2-1,6.76,3-4-2-1,6.81,8.0,10.67,,
172,Лечче,Милан,Даниэле Орсато,5.0,3.75,1.7,23,2,2,947,1360,-413,36,64,11,12,1,2,273,501,65,69,18,14,13,20,53,65,14,24,23,22,8,4,16,7,149,165,17,12,3,5,7,9,10,3,21,15,184,396,4-3-3,6.78,4-2-3-1,6.95,14.33,4.57,,
173,Интер,Верона,Майкл Фаббри,1.33,5.0,8.5,24,1,0,935,567,368,57,43,11,13,0,3,507,375,58,59,17,21,5,20,50,47,14,19,20,12,3,4,1,8,133,152,11,6,3,1,7,3,4,3,25,15,422,289,3-5-2,6.91,3-4-2-1,6.71,9.94,17.94,,
174,Сассуоло,Лацио,Лука Дж. Пайретто,3.6,3.75,1.95,27,0,2,870,733,137,50,50,17,10,5,3,538,560,68,57,17,8,8,10,37,57,5,12,20,24,7,3,9,13,137,121,12,12,2,3,7,8,5,4,11,16,446,482,4-2-3-1,6.77,4-1-4-1,6.91,11.89,16.33,,
175,Торино,Специя,Давиде Герсини,1.7,3.5,5.0,25,0,1,1578,807,771,67,33,13,12,3,3,588,288,61,63,27,11,11,8,44,61,18,24,9,22,7,2,4,8,179,147,11,13,4,5,8,10,3,3,11,26,475,196,3-4-2-1,6.81,3-5-2,6.71,9.14,22.13,,
176,Удинезе,Болонья,Мануэль Вольпи,1.85,3.3,4.333333333333334,27,1,2,1469,906,563,51,49,10,17,1,3,379,366,66,46,21,14,24,12,45,44,6,5,13,25,6,4,7,4,146,140,20,15,4,2,15,8,5,7,17,23,297,274,3-5-2,6.86,4-3-3,6.77,12.69,8.04,,
177,Аталанта,Салернитана,Джанлука Аурелиано,1.33,5.25,8.5,22,8,2,1811,384,1427,58,42,10,12,1,0,530,393,37,58,11,8,14,7,40,37,8,10,13,16,5,2,13,10,117,119,19,7,13,2,13,4,6,3,1,23,463,309,3-4-3,6.84,3-4-1-2,6.76,11.0,27.75,,
178,Рома,Фиорентина,Антонио Джуа,2.1,3.3,3.6,27,2,0,1185,608,577,52,48,15,12,3,4,450,422,46,51,13,15,4,13,40,32,10,4,18,10,5,9,6,1,91,109,10,7,4,3,9,5,1,2,15,9,396,358,3-4-1-2,6.86,4-2-3-1,6.84,11.22,22.5,,
179,Эмполи,Сампдория,Альберто Санторо,2.15,3.1,3.75,31,1,0,1087,1040,47,50,50,15,16,5,6,422,410,56,57,12,25,15,8,59,45,15,8,22,21,3,3,7,9,123,143,16,16,5,7,15,9,1,7,20,6,355,330,4-3-1-2,6.77,3-4-1-2,6.68,9.81,8.03,,
180,Верона,Лечче,Федерико Ла Пенна,2.2,3.1,3.6,27,2,0,678,840,-162,42,58,15,12,3,0,320,446,68,72,15,23,14,26,81,67,35,23,32,24,5,4,11,6,169,188,11,9,4,3,3,6,8,3,21,16,206,329,3-4-2-1,6.71,4-3-3,6.78,9.0,5.74,,
181,Салернитана,Наполи,Даниэле Чиффи,9.5,5.5,1.3,29,0,2,248,2140,-1892,25,75,14,15,2,2,269,795,56,40,9,23,5,12,36,44,11,15,10,11,3,4,8,6,123,132,5,9,2,4,3,6,2,3,22,7,184,713,4-5-1,6.74,4-3-3,7.03,35.85,6.7,,
182,Фиорентина,Торино,Федерико Диониси,1.83,3.4,4.5,32,0,1,1560,490,1070,62,38,9,23,2,2,554,347,65,61,29,9,7,11,57,41,18,14,13,16,5,3,6,11,141,130,19,9,5,3,14,6,5,3,6,21,469,258,4-2-3-1,6.81,3-4-2-1,6.8,9.65,12.76,,
183,Сампдория,Удинезе,Маурицио Мариани,3.2,3.25,2.25,32,0,1,1106,1111,-5,55,45,15,17,3,1,404,344,44,62,24,15,9,22,60,54,12,19,27,15,6,6,4,5,132,133,9,14,1,5,8,10,1,4,14,21,334,265,3-4-1-2,6.68,3-5-2,6.85,8.43,11.17,,
184,Монца,Сассуоло,Алессандро Пронтера,2.15,3.4,3.4,35,1,1,1678,584,1094,62,38,17,18,2,2,497,318,44,57,32,11,21,17,55,55,11,11,15,17,10,4,9,10,150,123,14,13,3,1,11,5,3,8,11,33,408,245,3-4-2-1,6.81,4-2-3-1,6.75,5.23,8.79,,
185,Специя,Рома,Симона Соцца,5.25,3.4,1.75,28,0,2,770,934,-164,52,48,17,11,3,1,509,485,46,59,13,4,12,13,47,52,14,12,22,18,4,0,7,10,154,147,8,13,0,3,1,4,7,9,11,12,409,384,3-4-2-1,6.73,3-4-2-1,6.88,9.09,13.86,,
186,Ювентус,Аталанта,Ливио Маринелли,2.15,3.25,3.4,15,3,3,1269,1008,261,47,53,9,6,1,2,481,554,47,42,21,13,16,17,45,45,14,8,17,18,6,4,8,13,146,134,15,14,8,4,8,7,7,7,16,19,391,461,3-5-1-1,6.98,3-4-2-1,6.86,14.05,12.26,,
