Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
204,Вест Хэм,Эвертон,Стюарт Аттвелл,1.83,3.5,4.5,15,2,0,836,1652,-816,32,68,9,6,1,1,346,729,39,56,18,36,20,11,47,51,18,19,17,19,4,9,13,7,124,152,11,5,4,2,9,4,2,1,50,12,275,639,3-4-2-1,6.83,3-4-2-1,6.83,21.2,10.53,,
205,Кристал Пэлас,Ньюкасл,Крэйг Поусон,4.5,3.6,1.8,20,0,0,285,2334,-2049,39,61,13,7,4,2,316,488,69,60,14,26,10,15,57,58,18,20,29,19,3,15,16,9,150,168,6,16,1,7,4,14,2,2,30,22,212,386,4-2-3-1,6.78,4-3-3,6.98,7.87,6.84,,
206,Лидс,Брентфорд,Питер Бэнкс,2.3,3.6,3.0,28,0,0,1169,402,767,59,41,10,18,2,2,501,346,47,64,13,15,12,13,60,49,18,18,17,14,2,3,7,14,176,178,9,6,5,0,2,3,7,3,18,23,369,223,4-2-3-1,6.75,3-5-2,6.83,7.26,7.04,,
207,Манчестер Сити,Вулверхэмптон,Дэвид Кут,1.25,6.5,9.0,20,3,0,1701,769,932,55,45,10,10,1,2,587,478,50,52,24,17,13,11,38,39,14,9,8,15,5,7,6,11,108,101,13,10,7,1,10,6,3,4,16,20,526,409,3-2-4-1,7.09,4-3-3,6.78,20.07,19.0,,
208,Арсенал,Манчестер Юнайтед,Энтони Тейлор,1.83,3.75,4.2,17,3,2,1791,758,1033,57,43,8,9,1,2,520,396,40,52,22,9,19,17,52,52,11,16,21,21,12,4,9,16,153,142,25,6,5,4,20,3,5,3,10,36,423,307,4-3-3,7.02,4-2-3-1,6.92,11.83,13.78,,
209,Фулхэм,Тоттенхэм,Пол Тирни,3.25,3.75,2.1,20,0,1,1395,833,562,53,47,10,10,1,3,485,446,65,43,31,12,10,18,42,59,9,21,19,23,3,8,10,7,158,146,10,10,5,3,6,7,4,3,14,31,398,349,4-2-3-1,6.86,3-4-2-1,6.91,9.28,12.95,,
210,Челси,Фулхэм,Стюарт Аттвелл,1.5699999999999998,4.0,6.0,28,0,0,1483,448,1035,67,33,16,12,1,4,662,313,54,50,16,21,14,24,56,60,13,12,24,19,6,2,9,19,153,152,12,10,3,4,8,5,4,5,14,20,568,226,4-3-3,6.89,4-2-3-1,6.85,4.27,19.73,,
211,Эвертон,Арсенал,Дэвид Кут,8.5,4.2,1.44,21,1,0,718,1518,-800,30,70,13,8,4,1,252,639,57,56,24,16,16,21,49,50,17,12,18,14,7,5,11,2,122,140,12,15,4,3,7,12,5,3,20,12,180,553,4-5-1,6.82,4-3-3,7.02,18.0,5.78,,
212,Астон Вилла,Лестер,Англия Даррен,2.05,3.5,3.5,20,2,4,1788,770,1018,63,37,10,10,0,3,564,333,40,37,26,10,24,17,42,56,12,10,9,23,11,3,5,9,141,124,19,9,4,5,10,7,9,2,7,29,489,249,4-4-2,6.82,4-2-3-1,6.81,7.72,13.33,,
213,Брентфорд,Саутгемптон,Даррен Бонд,1.7,3.8,5.0,19,3,0,1358,967,391,48,52,10,9,1,2,396,427,78,59,17,18,6,8,45,54,20,25,13,15,4,4,7,18,164,156,14,14,4,6,14,5,0,9,18,29,274,323,4-3-3,6.84,4-2-3-1,6.73,12.06,8.58,,
