Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
28,Кадис,Атлетик Бильбао,Мигель Анхель Ортис Ариас,3.75,3.25,2.1,22,0,4,193,2119,-1926,37,63,18,4,2,1,334,569,57,64,13,19,14,19,38,57,19,11,12,15,0,6,9,6,135,116,9,20,3,8,4,13,5,7,14,16,257,497,4-4-2,6.66,4-2-3-1,6.97,15.4,12.67,,
29,Валенсия,Атл. Мадрид,Гильермо Куадра Фернандес,4.2,3.3,1.95,32,0,1,1615,689,926,71,29,15,17,4,3,583,245,70,41,28,6,18,4,43,44,11,11,5,18,6,2,7,8,125,96,12,13,2,7,5,9,7,4,3,30,513,180,4-2-3-1,6.73,5-3-2,6.96,8.06,19.29,,
30,Сельта,Кадис,Хуан Луис Пулидо Сантана,1.6,3.75,6.0,36,3,0,1305,521,784,58,42,13,23,1,2,530,382,79,52,15,12,17,13,61,51,10,16,22,18,2,2,7,9,126,139,9,7,5,0,4,4,5,3,10,9,452,299,4-1-3-2,6.7,4-1-4-1,6.54,12.73,8.36,,
31,Мальорка,Жирона,Исидро Диас де Мера Эскудерос,2.1,3.1,3.9,32,1,1,913,962,-49,52,48,22,10,4,2,410,390,40,32,19,9,9,19,43,52,12,14,17,11,6,3,7,9,100,102,10,10,4,4,8,3,2,7,15,13,347,328,5-3-2,6.89,3-4-3,6.78,7.7,11.56,,
32,Реал Мадрид,Бетис,Хосе Мария Санчес Мартинес,1.36,5.25,7.0,20,2,1,1861,578,1283,50,50,8,12,0,1,495,519,37,49,16,5,20,25,54,47,10,6,24,28,9,2,12,8,105,110,22,8,5,4,13,4,9,4,3,16,446,456,4-3-3,7.04,4-2-3-1,7.0,10.27,14.11,,
33,Реал Сосьедад,Атл. Мадрид,Сесар Сото Градо,2.9,3.0,2.7,31,1,1,1414,1070,344,55,45,18,13,5,4,437,362,71,59,14,14,16,13,51,62,11,22,21,16,7,6,8,8,150,140,12,15,5,7,8,9,4,6,8,19,343,270,4-3-1-2,6.8,3-1-4-2,6.96,6.79,13.39,,
34,Севилья,футбольный клуб Барселона,Антонио Матеу Лаос,4.5,3.75,1.73,29,0,3,805,1448,-643,46,54,15,14,2,4,367,447,58,65,15,10,5,17,41,40,5,7,21,11,4,4,17,13,126,128,9,18,4,7,7,11,2,7,8,10,286,372,4-3-3,6.73,4-3-3,7.16,7.65,8.78,,
35,Осасуна,Райо Вальекано,Алехандро Мунис Руис,2.1,3.0,4.0,30,2,1,1442,519,923,46,54,14,16,2,2,329,389,70,71,18,12,13,16,55,52,17,16,16,14,4,0,10,11,144,136,13,5,6,3,8,2,5,3,12,21,233,302,4-4-2,6.86,4-2-3-1,6.77,8.68,7.15,,
36,Атлетик Бильбао,Эспаньол,Хуан Мартинес Мунуэра,1.5,4.2,6.5,24,0,1,1732,450,1282,67,33,12,12,3,2,558,288,45,78,31,9,7,11,42,56,14,19,14,16,4,2,6,21,162,141,17,9,2,2,9,7,8,2,12,36,467,192,4-2-3-1,7.12,4-3-3,6.72,6.72,15.22,,
37,Вильярреал,Эльче,Мигель Анхель Ортис Ариас,1.36,4.75,8.5,19,4,0,2048,599,1449,53,47,10,9,1,3,472,403,58,39,15,25,10,6,45,37,8,8,21,19,6,4,3,11,114,110,18,7,10,0,17,5,1,2,14,20,411,356,4-4-2,7.02,4-4-2,6.6,9.21,11.8,,
38,Валенсия,Хетафе,Хосе Луис Мунуэра Монтеро,1.91,3.1,4.5,33,5,1,2129,284,1845,70,30,11,22,3,6,546,224,62,53,22,15,11,10,56,38,15,16,10,6,9,1,8,4,102,101,24,7,9,4,18,6,6,1,7,15,482,161,4-3-3,6.74,4-4-2,6.61,8.13,13.82,,
39,Вальядолид,Альмерия,Пабло Гонсалес Фуэртес,2.2,3.4,3.3,30,1,0,1125,644,481,52,48,11,19,1,6,361,326,62,64,20,25,12,22,58,53,14,21,20,12,2,8,12,9,124,139,14,12,6,1,8,9,6,3,16,17,282,244,4-3-3,6.58,4-2-3-1,6.85,6.0,6.89,,
40,Жирона,Вальядолид,Сесар Сото Градо,2.0,3.4,4.0,26,2,1,1091,1129,-38,45,55,11,15,0,2,358,437,40,63,13,27,17,11,62,46,17,14,23,16,3,12,9,16,120,139,14,14,5,4,10,6,4,8,25,17,277,367,3-4-2-1,6.78,4-1-4-1,6.71,9.12,5.64,,
41,Райо Вальекано,Валенсия,Хесус Хиль Мансано,2.75,3.0,2.88,33,2,1,1495,999,496,46,54,22,11,5,2,289,345,70,57,24,23,20,21,41,72,9,19,16,17,7,7,11,6,145,141,14,17,6,4,8,13,6,4,19,28,206,266,4-2-3-1,6.74,4-2-3-1,6.85,4.97,8.07,,
42,Эспаньол,Севилья,Гильермо Куадра Фернандес,2.5,3.2,2.9,25,2,3,1911,1000,911,59,41,11,14,3,5,406,298,73,58,38,9,18,12,48,43,17,8,11,18,9,3,9,8,146,121,19,11,5,7,12,10,7,1,12,34,332,222,4-2-3-1,6.79,4-2-3-1,6.72,6.04,10.85,,
43,Кадис,футбольный клуб Барселона,Карлос Дель Серро Гранде,8.5,5.25,1.33,25,0,4,358,1702,-1344,30,70,12,13,0,3,219,568,54,72,15,10,8,28,47,51,13,17,17,9,5,6,12,7,129,131,6,16,0,8,4,13,2,3,16,18,142,482,4-2-3-1,6.51,4-3-3,7.14,11.88,5.82,,
44,Атл. Мадрид,Сельта,Алехандро Эрнандес,1.85,3.4,4.5,17,4,1,738,1348,-610,46,54,11,6,2,3,464,541,64,56,7,24,21,18,47,41,12,10,15,13,4,7,12,9,118,122,10,14,4,3,8,9,2,5,24,11,384,471,5-3-2,6.93,4-1-3-2,6.81,17.55,11.88,,
45,Реал Мадрид,Мальорка,Хорхе Фигероа Васкес,1.3,5.75,8.5,22,4,1,2043,286,1757,68,32,7,15,3,5,649,294,29,51,7,12,30,12,53,39,5,4,12,20,4,3,4,12,99,91,22,5,7,2,6,5,16,0,5,17,596,241,4-3-3,7.06,5-3-2,6.87,10.65,16.25,,
46,Эльче,Атлетик Бильбао,Марио Мелеро Лопес,4.5,3.6,1.75,24,1,4,690,1131,-441,47,53,15,9,3,0,385,447,51,65,21,17,13,13,43,44,10,9,18,15,5,5,16,8,124,138,9,16,2,8,4,13,5,3,10,13,315,364,4-2-3-1,6.55,4-2-3-1,7.03,9.25,12.41,,
47,Хетафе,Реал Сосьедад,Хуан Луис Пулидо Сантана,4.2,3.1,2.0,25,2,1,734,1724,-990,33,67,9,16,4,1,250,503,54,55,11,26,8,11,55,53,18,21,18,18,3,7,11,3,124,130,8,13,3,6,4,9,4,4,21,17,171,425,5-3-2,6.5,4-3-1-2,6.8,13.32,7.93,,
48,Бетис,Вильярреал,Рикардо де Бургос Бенгоэчеа,2.9,3.3,2.4,25,1,0,1354,1040,314,47,53,11,14,1,1,376,413,35,35,21,24,15,19,47,51,10,13,16,17,9,8,11,9,104,111,16,14,5,3,11,8,5,6,25,19,322,357,4-2-3-1,6.93,4-4-2,7.04,8.61,7.76,,
49,Альмерия,Осасуна,Хавьер Иглесиас Вильянуэва,2.9,3.1,2.55,13,0,1,756,1080,-324,61,39,4,9,0,2,535,323,68,66,19,27,11,15,44,39,19,13,13,15,5,10,10,10,144,141,7,15,2,4,4,14,3,1,22,19,445,234,4-3-3,6.8,4-2-3-1,6.85,12.75,25.14,,
50,Вальядолид,Кадис,Хосе Мария Санчес Мартинес,2.0,3.4,3.8,31,0,1,1955,391,1564,58,42,12,19,1,4,413,312,69,58,33,16,16,10,56,48,9,14,21,18,8,2,2,2,130,135,18,7,6,1,11,2,7,5,16,25,352,235,4-3-3,6.72,4-2-3-1,6.49,6.56,11.41,,
51,Мальорка,Альмерия,Хуан Мартинес Мунуэра,1.95,3.25,4.5,29,1,0,685,1019,-334,45,55,15,14,3,6,389,485,65,53,15,16,12,11,38,45,9,6,10,18,5,2,7,5,111,113,5,9,2,3,3,3,2,6,13,8,323,422,5-3-2,6.77,5-3-2,6.79,14.57,9.92,,
52,футбольный клуб Барселона,Эльче,Алехандро Мунис Руис,1.07,12.0,26.0,20,3,0,3281,1,3280,77,23,11,9,2,2,708,213,38,63,22,3,14,11,36,37,9,7,15,14,6,0,12,12,115,120,25,1,9,1,18,1,7,0,1,19,642,143,4-3-3,7.16,5-4-1,6.55,3.77,30.25,,
53,Валенсия,Сельта,Пабло Гонсалес Фуэртес,2.3,3.1,3.3,41,3,0,1839,632,1207,66,34,18,23,3,2,462,239,61,49,20,12,13,10,60,54,13,15,16,20,5,4,4,9,131,121,14,6,7,2,10,5,4,1,12,19,390,161,4-3-3,6.86,4-1-3-2,6.76,4.91,7.76,,
54,Атлетик Бильбао,Райо Вальекано,Антонио Матеу Лаос,1.6,3.8,6.0,26,3,2,1176,1372,-196,39,61,13,13,1,2,318,491,55,55,12,31,13,17,50,48,15,10,12,16,2,7,12,9,131,136,14,11,7,2,11,6,3,5,22,10,235,413,4-2-3-1,6.99,4-2-3-1,6.72,13.05,6.88,,
55,Осасуна,Хетафе,Исидро Диас де Мера Эскудерос,1.67,3.4,6.5,30,0,2,1438,685,753,56,44,15,15,7,3,456,379,60,59,35,11,11,9,50,55,17,28,11,9,8,1,3,10,148,116,12,10,4,4,10,4,2,6,15,38,369,302,4-2-3-1,6.87,5-3-2,6.57,11.6,17.07,,
56,Вильярреал,Севилья,Алехандро Эрнандес,1.7,3.6,5.0,27,1,1,1334,677,657,46,54,15,12,1,5,376,455,42,59,21,16,21,16,57,41,10,7,20,13,6,4,7,11,125,123,17,12,7,1,11,6,6,6,16,24,305,386,4-4-2,6.98,4-2-3-1,6.72,11.42,6.63,,
57,Бетис,Жирона,Мигель Анхель Ортис Ариас,1.7,3.75,5.0,17,2,1,637,1102,-465,44,56,9,8,0,3,429,547,51,42,15,18,8,15,38,43,6,6,19,22,2,4,12,9,113,115,9,9,3,3,6,6,3,3,18,11,364,477,4-2-3-1,6.98,3-4-2-1,6.85,14.08,13.0,,
58,Реал Сосьедад,Эспаньол,Карлос Дель Серро Гранде,1.73,3.6,5.25,26,2,1,1416,1177,239,63,37,18,8,3,0,527,297,73,75,13,19,9,5,51,63,24,25,14,18,4,2,6,16,145,142,14,14,6,4,9,10,5,4,22,10,428,201,4-1-3-2,6.79,5-3-2,6.78,6.18,14.24,,
59,Атл. Мадрид,Реал Мадрид,Хосе Луис Мунуэра Монтеро,3.0,3.3,2.38,31,1,2,1428,411,1017,53,47,15,16,4,2,565,507,30,59,21,4,17,16,43,45,5,8,11,12,8,1,9,17,103,88,12,6,4,3,7,4,5,2,8,15,508,451,3-5-2,6.94,4-3-3,7.07,13.54,16.86,,
60,Атлетик Бильбао,Альмерия,Хуан Луис Пулидо Сантана,1.36,5.0,9.0,25,4,0,2016,447,1569,59,41,17,8,1,3,458,319,43,51,24,8,14,13,35,34,7,1,14,13,11,2,8,12,120,117,17,8,4,2,11,6,6,2,9,20,395,245,4-2-3-1,6.96,5-3-2,6.78,7.26,23.2,,
61,Кадис,Вильярреал,Хавьер Иглесиас Вильянуэва,5.25,3.6,1.7,21,0,0,683,1452,-769,40,60,13,8,2,3,300,481,49,44,22,19,13,16,45,49,14,12,20,16,6,5,11,2,122,135,10,14,2,6,6,10,4,4,18,17,236,400,4-4-2,6.55,4-4-2,6.96,8.7,13.08,,
62,Хетафе,Вальядолид,Алехандро Мунис Руис,2.4,2.9,3.4,36,2,3,1165,1076,89,44,56,23,13,2,5,320,435,55,71,22,9,12,16,48,57,14,12,17,14,4,2,2,7,125,114,14,14,6,7,12,5,2,9,15,33,245,365,5-3-2,6.66,4-3-3,6.73,9.07,9.94,,
63,Севилья,Атл. Мадрид,Рикардо де Бургос Бенгоэчеа,3.2,3.1,2.38,21,0,2,1471,1061,410,61,39,9,12,3,2,629,410,46,51,29,18,5,16,37,46,9,12,13,15,5,7,10,7,127,125,14,20,3,6,5,14,9,6,22,27,556,328,4-2-3-1,6.72,4-1-4-1,6.9,7.25,28.25,,
64,Мальорка,футбольный клуб Барселона,Хесус Хиль Мансано,9.0,5.0,1.36,22,0,1,508,1460,-952,28,72,9,13,2,4,283,770,53,39,20,15,13,11,38,43,4,18,14,11,5,5,5,6,99,99,13,11,3,3,9,7,4,4,13,9,226,715,5-4-1,6.78,4-3-3,7.17,39.91,6.52,,
65,Эспаньол,Валенсия,Валентин Писарро Гомес,2.75,3.25,2.63,31,2,2,1015,980,35,38,62,16,15,2,1,294,499,76,62,16,16,9,10,50,42,18,10,13,11,6,4,11,12,137,134,10,12,5,5,8,7,2,5,21,24,202,412,4-2-3-1,6.77,4-3-3,6.89,12.5,5.48,,
66,Сельта,Бетис,Сесар Сото Градо,2.4,3.25,3.1,29,1,0,979,1091,-112,46,54,26,3,4,3,368,435,49,77,14,18,17,17,36,70,9,15,20,17,5,3,11,9,129,139,11,9,4,4,5,8,6,1,16,17,302,357,4-1-3-2,6.71,4-2-3-1,6.95,6.5,13.33,,
