Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
151,Труа,Нант,Стефани Фраппар,2.7,3.5,2.5,21,0,0,799,1059,-260,56,44,9,12,0,2,575,447,46,54,15,30,20,5,44,47,9,17,15,20,4,4,7,15,141,126,6,19,2,5,3,11,3,8,22,23,484,376,4-2-3-1,6.77,4-1-4-1,6.78,14.19,17.22,,
152,Осер,Монако,Марк Болленджер,5.25,4.2,1.62,24,2,3,876,1207,-331,38,62,9,15,1,0,342,561,69,60,12,17,14,14,60,42,18,15,21,13,1,3,14,5,125,164,11,6,6,3,7,4,4,2,16,14,264,458,4-4-1-1,6.77,4-4-2,6.89,20.0,8.74,,
153,Клермон,Лилль,Франсуа Летексье,4.333333333333334,3.4,1.85,26,0,2,876,1113,-237,43,57,9,17,4,2,372,519,52,46,14,6,20,16,54,51,16,9,18,27,3,3,15,10,154,143,9,14,3,3,8,5,1,9,10,18,287,429,3-4-2-1,6.82,3-4-2-1,6.84,15.35,6.29,,
154,ПСЖ,Страсбург,Клемент Терпин,1.2,7.0,15.0,22,2,1,1714,384,1330,71,29,9,13,4,1,765,309,46,49,16,11,24,12,41,59,3,10,18,35,8,3,3,17,140,98,10,12,6,3,8,8,2,4,7,24,690,249,4-3-1-2,7.15,4-3-1-2,6.79,9.24,21.21,,
155,Брест,Лион,Бастьен Дешепи,3.3,3.5,2.15,27,2,4,1024,1338,-314,43,57,8,19,2,2,343,475,40,56,27,16,11,19,53,39,15,6,16,18,6,6,9,15,132,122,17,17,5,9,9,14,8,3,19,19,264,404,4-3-3,6.74,4-2-3-1,6.9,17.65,7.35,,
156,Лорьян,Монпелье,Вилли Делайод,1.85,3.75,3.8,30,0,2,1090,956,134,48,52,15,15,3,4,443,498,39,67,21,13,16,17,58,55,16,14,19,13,5,2,15,4,137,158,12,14,4,6,9,8,3,6,8,15,364,386,4-2-3-1,6.86,4-2-3-1,6.75,8.11,26.8,,
157,Реймс,Ренн,Хаким Бен эль Салем Хадж,3.2,3.4,2.25,16,3,1,765,1454,-689,33,67,8,8,2,2,287,598,53,63,13,20,9,20,45,49,14,16,20,13,4,6,10,10,138,148,10,11,4,5,9,9,1,2,13,14,203,504,4-2-3-1,6.8,4-3-3,6.91,25.85,7.88,,
158,Ницца,Ленс,Бенуа Милло,2.9,3.2,2.5,29,0,0,712,1230,-518,41,59,11,18,2,3,400,577,46,34,9,16,10,16,46,47,7,10,14,18,4,6,7,4,111,108,9,10,5,2,5,6,4,4,8,10,335,522,3-4-3,6.85,3-4-2-1,6.96,20.33,8.61,,
159,Марсель,Тулуза,Джереми Пиньяр,1.4,5.0,7.0,22,6,1,974,972,2,51,49,14,8,1,2,458,438,42,43,10,19,15,17,52,51,15,8,19,20,1,6,11,18,133,145,13,10,7,6,11,5,2,5,23,10,375,353,3-4-2-1,6.9,4-3-3,6.84,8.81,11.0,,
160,Анже,Лорьян,Флоран Батта,2.5,3.4,2.75,25,1,2,1155,1244,-89,42,58,16,9,3,0,339,491,60,42,19,15,24,18,51,63,13,14,18,27,7,7,6,9,132,140,15,10,6,5,10,5,5,5,20,13,271,408,4-2-3-1,6.67,4-2-3-1,6.85,16.1,11.59,,
161,Монако,Брест,Джереми Стинат,1.5,4.5,5.75,37,1,0,1491,1065,426,51,49,23,14,3,4,434,411,49,57,17,18,16,22,73,68,23,18,27,20,7,5,9,16,140,150,17,13,5,6,9,8,8,5,17,15,356,315,4-4-2,6.87,4-3-3,6.73,7.48,9.63,,
162,Нант,Осер,Бенуа Бастьен,1.83,3.4,4.75,29,1,0,1008,1525,-517,51,49,10,19,1,2,412,398,61,65,14,21,21,17,75,56,27,29,17,10,3,7,8,15,140,155,10,14,3,6,6,8,4,6,23,17,319,304,4-4-2,6.8,4-4-1-1,6.76,8.23,11.0,,
163,Тулуза,Аяччо,Пьер Гайюст,2.05,3.3,3.6,30,2,0,1711,244,1467,63,37,15,15,3,1,569,339,67,79,19,11,11,13,52,45,20,15,12,12,5,2,11,18,155,156,11,1,4,0,9,1,2,0,8,16,463,234,4-3-3,6.8,4-4-2,6.72,6.65,14.17,,
