Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
173,Фрайбург,Штутгарт,Саша Стегеманн,2.0,3.5,3.7,23,2,1,1154,755,399,52,48,13,10,3,3,486,438,58,51,12,16,18,8,45,52,15,20,10,11,4,3,5,8,131,127,9,15,5,3,7,10,2,5,16,20,398,357,4-2-3-1,6.82,4-3-3,6.8,11.04,19.85,,
174,Хоффенхайм,Леверкузен,Тобиас Стилер,2.63,3.5,2.63,24,1,3,841,1191,-350,50,50,15,9,3,1,484,491,46,54,15,20,20,25,46,65,15,12,19,26,5,8,14,11,139,139,11,12,6,4,4,7,7,5,19,16,397,408,3-4-2-1,6.77,3-4-3,6.79,8.43,11.69,,
175,Майнц 05,Аугсбург,Свен Яблонски,1.8,4.0,4.2,18,3,1,1287,1276,11,50,50,12,6,1,1,383,370,73,82,15,28,18,23,75,72,40,28,18,21,4,12,7,8,198,211,15,13,7,3,12,11,3,2,29,17,261,220,3-4-2-1,6.8,4-3-3,6.76,6.3,9.83,,
176,Бремен,Дортмунд,Феликс Брых,4.333333333333334,4.2,1.7,14,0,2,585,1587,-1002,43,57,7,7,1,0,406,534,60,60,13,17,15,33,48,47,13,11,19,8,3,7,12,11,142,144,9,18,4,9,6,14,3,4,17,12,291,444,3-5-2,6.81,4-1-4-1,6.92,14.64,10.29,,
177,РБ Лейпциг,Юнион Берлин,Даниэль Шлагер,1.8,3.5,4.75,28,1,2,1034,800,234,64,36,15,13,4,4,648,358,79,60,10,14,13,8,54,51,21,25,13,10,3,4,9,8,137,159,10,6,2,3,4,2,6,4,18,18,551,243,3-4-2-1,6.89,3-5-2,6.82,12.86,17.63,,
178,Герта,Боруссия Мгладбах,Кристиан Дингерт,2.8,3.4,2.5,23,4,1,1348,1356,-8,31,69,12,11,1,1,268,646,58,38,21,13,18,21,55,57,9,17,26,16,4,6,16,10,140,157,18,8,6,3,15,7,3,1,17,24,185,555,3-5-2,6.72,4-2-3-1,6.91,11.28,6.1,,
179,Кельн,Э. Франкфурт,Дэниел Зиберт,2.7,3.4,2.55,26,3,0,663,890,-227,43,57,15,11,3,2,410,550,63,53,16,18,13,34,69,59,19,16,30,12,3,9,7,5,147,179,8,6,4,1,6,5,2,1,21,19,309,439,4-2-3-1,6.77,3-4-2-1,6.85,10.36,14.35,,
180,Аугсбург,Хоффенхайм,Патрик Иттрих,2.6,3.6,2.55,27,1,0,1192,670,522,46,54,13,14,3,3,373,449,66,74,17,14,12,11,41,55,12,22,12,18,6,1,9,2,168,165,13,8,3,2,8,3,5,5,10,19,257,331,4-4-2,6.75,3-4-1-2,6.75,11.29,10.78,,
181,Бохум,Фрайбург,Феликс Цвайер,2.8,3.3,2.5,25,0,2,1055,1175,-120,47,53,15,10,4,2,357,404,73,82,16,20,11,20,76,66,38,28,20,13,5,5,15,19,180,172,16,19,5,5,11,15,5,4,13,23,229,282,4-2-3-1,6.72,4-2-3-1,6.83,5.54,5.89,,
182,Боруссия Мгладбах,Бавария,Тобиас Вельц,7.0,5.0,1.4,18,3,2,1436,917,519,54,46,9,9,0,1,581,506,44,43,14,9,17,29,46,57,8,7,21,21,4,0,14,5,112,127,17,13,7,5,13,6,4,7,8,7,514,426,4-2-3-1,6.89,3-1-4-2,7.07,8.05,17.7,,
