Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Clearances,Team2_Clearances,Team1_Accurate_passes,Team2_Accurate_passes,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA
164,Крылья Советов,Оренбург,Сергей Иванов,0,0,0,18,1,1,1278,443,835,51,49,6,12,2,1,377,381,64,59,27,5,7,7,44,35,14,7,13,18,13,2,6,14,153,129,17,13,5,3,14,8,3,5,7,15,285,288,4-4-2,6.79,4-3-3,6.85,17.92,7.52,,
165,Факел,ЦСКА,Павел Кукуян,0,0,0,32,0,2,1174,1446,-272,50,50,14,18,1,1,367,371,78,74,18,15,12,18,62,52,17,19,25,11,4,2,11,10,193,195,11,11,2,6,5,7,6,4,17,20,218,237,3-4-1-2,6.76,3-4-3,6.93,6.38,10.58,,
166,Ростов,Торпедо,Алексей Амелин,0,0,0,25,2,1,1431,1443,-12,38,62,14,11,1,1,264,434,77,85,15,11,5,12,54,45,19,10,23,15,7,4,11,4,146,166,16,12,9,2,7,5,9,7,15,10,162,315,4-3-3,6.9,4-4-2,6.67,7.0,9.9,,
167,Торпедо,Факел,Сергей Карасёв,0,0,0,22,2,0,630,1500,-870,49,51,8,14,2,1,397,407,89,64,10,21,12,6,55,60,25,22,13,26,5,2,25,12,194,219,12,14,4,4,6,8,6,6,45,8,262,263,4-3-1-2,6.67,3-4-1-2,6.75,10.29,5.48,,
168,Ахмат,Урал,Шадыханов Павел,0,0,0,25,2,0,860,931,-71,42,58,12,13,1,3,401,552,73,74,11,17,14,7,55,59,15,19,19,27,2,1,17,15,176,177,9,5,5,1,7,2,2,3,14,8,282,433,4-2-3-1,6.8,4-3-3,6.8,11.21,5.0,,
169,Спартак,Динамо,Сергей Иванов,0,0,0,27,3,3,1661,621,1040,58,42,13,14,2,4,471,334,64,60,20,16,13,13,62,45,23,10,15,16,8,4,12,10,150,123,20,10,7,4,18,8,2,2,14,24,368,254,4-3-1-2,6.95,4-3-3,6.89,9.82,12.1,,
170,Сочи,Крылья Советов,Кирилл Левников,0,0,0,20,1,2,1454,1024,430,59,41,16,4,1,1,557,378,55,69,22,20,11,13,40,49,19,13,13,15,7,5,13,11,145,141,11,12,4,3,8,9,3,3,17,23,464,285,3-4-3,6.79,4-4-2,6.8,7.5,24.62,,
171,ЦСКА,Химки,Роман Галимов,0,0,0,15,3,0,2193,204,1989,60,40,7,8,1,1,589,385,61,74,18,7,13,12,39,35,11,10,12,12,5,1,9,6,137,141,22,8,8,1,13,3,9,5,5,22,495,287,3-4-2-1,6.93,3-4-2-1,6.69,13.12,18.13,,
172,Краснодар,Пари НН,Сергей Чебан,0,0,0,29,3,1,990,940,50,59,41,11,18,2,3,536,351,68,55,4,20,15,10,57,44,20,13,12,15,1,5,5,14,125,120,7,11,4,5,5,5,2,6,24,11,449,275,4-3-3,6.91,5-4-1,6.75,10.44,11.65,,
173,Локомотив,Зенит,Павел Кукуян,0,0,0,18,1,2,447,1617,-1170,43,57,12,6,1,1,413,558,63,56,16,15,10,33,40,77,14,17,16,22,3,9,20,16,142,136,8,21,1,5,5,9,3,12,16,15,319,470,4-2-3-1,6.79,4-3-3,7.15,8.77,10.81,,
174,Оренбург,Ростов,Роман Сафян,0,0,0,25,2,2,1086,1333,-247,52,48,15,10,5,6,382,356,78,72,18,19,13,9,42,55,10,17,12,17,5,4,15,7,140,142,14,12,8,5,11,8,3,4,21,15,298,263,4-3-3,6.85,3-4-3,6.9,6.35,9.62,,
